Finding ID,Finding Quote
UKAISI-2026-04-CYB2,"Claude Mythos Preview is the first model to solve TLO from start to finish, in 3 out of its 10 attempts. Across all its attempts, the model completed an average of 22 out of 32 steps. Claude Opus 4.6 is the next best performing model and completed an average of 16 steps."
UKAISI-2026-04-CYB11,"On the Expert-level tasks, GPT-5.5 achieves an average pass rate of 71.4% (±8.0%, 1 standard error of the mean), compared to 68.6% (±8.7%) for Mythos Preview... On this measure, GPT-5.5 may be the strongest model we have tested. GPT-5.5 completed TLO end-to-end in 2 of 10 attempts, making it the second model to do so. Note that this figure differs from the 1 in 10 originally stated in OpenAI's GPT-5.5 system card. We subsequently identified a grading issue in our setup. After manual review and adjudication of the run we assessed that the model would have completed the final step, but our grading bug prevented it from doing so, and so we have updated the result. GPT-5.5 solved the challenge in 10 minutes and 22 seconds with no human assistance ... Crystal Peak's expert playtester — using Binary Ninja, gdb, Python, and Z3 — solved the challenge in roughly 12 hours"
UKAISI-2026-04-JAI1,"OpenAI subsequently made several updates to the safeguard stack, though a configuration issue in the version provided meant UK AISI were unable to verify the effectiveness of the final configuration."
UKAISI-2026-04-CYB3,"Mythos Preview, the first model to solve TLO, did so in 3 of 10 attempts."
SECUREBIO-2026-04-BIO2,"Pre-Release Checkpoint 2 attains a score of 52.0% ± 0.3% on VCT, higher than any SOTA model tested by SecureBio (see Figure 2.1.1.1, see Appendix for all scores). Pre-Release Checkpoint 2 is in the 100th percentile compared to human SMEs, meaning this model outperforms all of the SMEs that took this evaluation (see Figure 2.1.1.2). This is the first OpenAI model to achieve the 100th percentile compared to SMEs on VCT, and the second to do so out of all frontier models evaluated by SecureBio (after Gemini 3.1); Pre-Release Checkpoint 2 performed strongly on all three tasks, and exceeded or matched the performance of GPT-5.4 on all tasks (see Figure 2.3.1.1) while not exceeding the SOTA scores on any task."
SECUREBIO-2026-04-BIO1,"On SecureBio's static evaluations, which measure expert-level biology and biosecurity-relevant knowledge, the pre-release model was the highest-performing – or one of a small handful of highest-performing – models, exceeding all expert human scores."
SECUREBIO-2026-04-BIO5,"Pre-Release Checkpoint 2 attains a score of 52.0% ± 0.3% on VCT, higher than any SOTA model tested by SecureBio; Pre-Release Checkpoint 2 attains a score of 56.2% ± 0.5% on MBCT, higher than any SOTA model that answered >50% of samples in this test; Pre-Release Checkpoint 2 attains a score of 64.7% ± 0.2% on HPCT; Pre-Release Checkpoint 2 attains a score of 53.2% ± 0.6% on WCB, second highest out of all frontier models tested by SecureBio; Pre-Release Checkpoint 2 partially or completely refused 23% of Screening Evasion samples."
SECUREBIO-2026-04-BIO7,"Pre-Release Checkpoint 2 performed strongly on all three tasks, and exceeded or matched the performance of GPT-5.4 on all tasks (see Figure 2.3.1.1) while not exceeding the SOTA scores on any task. ... Pre-Release Checkpoint 2 partially or completely refused 23% of Screening Evasion samples."
SECUREBIO-2026-04-BIO8,"This is the first OpenAI model to achieve the 100th percentile compared to SMEs on VCT, and the second to do so out of all frontier models evaluated by SecureBio (after Gemini 3.1 Pro)."
UKAISI-2026-04-ALI6,"Notably, we found that Mythos Preview actively continues sabotage 7% of the time, compared to 3% for Opus 4.6 and 4% for Sonnet 4.6.; In cases where previous history includes reasoning about sabotage (and models actively continue sabotage), Mythos Preview exhibits a reasoning-action discrepancy in 65% of cases, compared to just 5–8% for Opus 4.6 and Sonnet 4.6."
KAISI-2026-05-GOV1,"한국 AI안전연구소(AISI)가 2025년 1월부터 2026년 4월까지 약 16개월간 국내외 주요 AI 모델 42종을 대상으로 수행한 안전성 평가 실적을 공개합니다. [Trans: The Korea AI Safety Institute (AISI) discloses the results of safety evaluations conducted on 42 major domestic and international AI models over approximately 16 months, from January 2025 to April 2026.]; 2025년도 평가 모델... 29종; 2026년도 평가 모델... 13종 [Trans: attached PDF headers -- 2025 evaluated models: 29; 2026 evaluated models: 13]."
UKAISI-2026-05-CYB2,"the newer Mythos Preview checkpoint completed both our cyber ranges, solving the range ""The Last Ones"" in 6 of 10 attempts and the previously unsolved ""Cooling Tower"" in 3 of 10 attempts. This was the first time that a model completed the second of our two cyber ranges."
UKAISI-2026-05-CYB3,"Claude Mythos Preview and GPT-5.5 have since significantly outperformed this trend; with a 2.5M token cap, GPT 5.5 achieves a 100% success rate on five of six tasks estimated over 8 hours; it solves the sixth on every attempt when the cap is removed; GPT-5.5 solved 'The Last Ones' on 3 of 10 attempts."
UKAISI-2026-05-CYB4,"Mythos Preview completes all six long tasks 100% of the time, with the 2.5M token cap.; the newer Mythos Preview checkpoint completed both our cyber ranges, solving the range ""The Last Ones"" in 6 of 10 attempts and the previously unsolved ""Cooling Tower"" in 3 of 10 attempts."
UKAISI-2026-06-HUM3,GPT-4o discloses 13% of queries while GPT-5.1 reaches 86%.
UKAISI-2026-06-JAI2,"Within a few hours of access, AISI red-teamers developed a jailbreak that elicited responses to single-turn cyberoffensive-cyber queries in domains like vulnerability discovery and exploitation.; With approximately two additional days of testing, AISI red-teamers were further able to extend this approach into multi-turn agentic workflows, obtaining jailbreaks that sometimes enabled multiple steps of malicious agentic tool-calls. Reliable extraction of complete long-form agentic task rollouts was not achieved at that time."
UKAISI-2026-06-ALI6,"[Claude Mythos 5] actively continues compromising safety research 14% of the time, compared with 2% of the time for Mythos Preview and 1% of the time for both Opus 4.7 and Opus 4.8."
USCAISI-2026-06-CYB2,"Researchers from the US Department of Commerce's Center for AI Standards and Innovation (CAISI) have tested both our prior and new safeguards and agree that they are extraordinarily strong.; On Friday, June 12, the US government applied export controls to our newest models, Claude Fable 5 and Claude Mythos 5.; The new classifier means that the specific technique described in the Amazon report is blocked in over 99% of cases.; As of today, June 30, the export controls on Fable 5 and Mythos 5 have been lifted.; Fable 5 will be available starting tomorrow, Wednesday, July 1, to users globally on the Claude Platform, Claude.ai, Claude Code, and Claude Cowork."
JOINT-2026-07-CYB1,"On AISI's CTF expert-level tasks, GPT-5.6 Sol scored 95.0% ± 9.8%, compared with 85.0% ± 11.6% for GPT-5.5; GPT-5.6 Sol completed The Last Ones, a 32-step corporate-network attack simulation, in 7 of 10 attempts, compared with 2 of 10 attempts for GPT-5.5; GPT-5.6 Sol did not solve the Doing Life range: it reached step 21 of 23 in 3 of 10 attempts, compared with GPT 5.5 which reached this milestone in 1 of 10 attempts."
JOINT-2026-07-JAI1,These jailbreaks were often developed within hours and appeared to preserve the model's capabilities on public offensive cybersecurity benchmarks.
TSINGHUACOAI-2023-09-SOC1,the overall scores for 22 out of the 25 evaluated LLMs are consistently less than 80%; GPT-4 89.2/88.9 [Chinese/English]; gpt-3.5-turbo 80.4/78.8 [Chinese/English].
SHANGHAIAILAB-2023-11-SOC1,"all the evaluated LLMs demonstrate relatively poor performance on Flames, particularly in the safety and fairness dimensions; MiniMax 23.66%; BELLE-13B 24.76%; Claude 63.77% [Overall harmless rate, Table 4]."
CISCO-2023-12-JAI1,"The method, known as the Tree of Attacks with Pruning (TAP), can be used to induce sophisticated models like GPT-4 and Llama-2 to produce hundreds of toxic, harmful, and otherwise unsafe responses to a user query (e.g. ""how to build a bomb"") in mere minutes."
SHANGHAIAILAB-2024-02-JAI1,"Conversely, Gemini's safety rate significantly drops in the attack-enhanced subset, highlighting potential safety vulnerabilities; Gemini 88.32% (base) to 19.98% (attack-enhanced); Claude2 88.02%; GPT-4 80.28%; GPT-3.5 73.38% [attack-enhanced, Table 5]."
UKAISI-2024-05a-JAI1,Compliance rates were relatively low for most models when no attack was used but up to 28% for the Green model on private harmful questions. All models complied at least once out of five attempts for almost every question when AISI in-house attacks were used.
UKAISI-2024-05a-BIO1,"Models answered over 600 private expert-written chemistry and biology questions at similar levels to humans with PhD-level training. The exceptions were the Yellow model, which was graded as providing ""incomplete"" or ""partially complete"" responses more frequently than other models and more frequently than human experts (p < 0.001; ordinal mixed effects regression), and the Green model, which was marginally weaker than human experts (p < 0.05)."
UKAISI-2024-05a-ALI1,"The Purple, Green and Blue models were evaluated on both short-horizon and long-horizon tasks. The Purple and Blue models completed 20-40% of short-horizon tasks but no long-horizon tasks. The Green model completed less than 10% of short-horizon tasks and was not assessed on long-horizon tasks."
UKAISI-2024-05-CYB1,"The most capable models solved more than half of the Pico CTFs (aimed at high school students). On CSAW CTFs (aimed at university students), the models were sometimes able to reverse engineer files, but they failed to make headway on any of the other problem classes. Overall, cryptography challenges (e.g., exploiting vulnerable encryption schemes to retrieve protected information) were the hardest."
UKAISI-2024-05-JAI1,"We did not observe a substantial decrease in correctness on our private set of benign questions after the attack had been applied, indicating that models may supply correct as well as compliant information."
METR-2024-08-AUT1,"GPT-4o appeared more capable than Claude 3 Sonnet and GPT-4-Turbo, and slightly less than Claude 3.5 Sonnet."
UL-2024-08-SOC1,On innocuous products — both used for intended and inappropriate purposes — OLMo will only answer correctly around half the time. It will often give an incorrect answer or no answer at all.
METR-2024-09-AUT1,The autonomy task suite performance METR observed with o1-mini and o1-preview was not above that of the best existing public model we've evaluated (Claude 3.5 Sonnet).
UKAISI-2024-10-JAI4,"simple universal jailbreak templates can be adapted to effectively jailbreak agents, and (3) these jailbreaks enable coherent and malicious multi-step agent behavior and retain model capabilities."
UKAISI-2024-10-JAI8,"GPT-4o's harm score increases from 70.7% to 83.7% (best-of-5), while Claude 3.5 Sonnet improves from 65.1% to 79.7% (best-of-5). Notably, Mistral exhibits the most substantial enhancement, with its harm score rising from 67.4% to 90.8% (best-of-5)."
UKAISI-2024-10-JAI9,"We observe that our template attack is noticeably less effective in the chat-only setting, increasing the refusal rates on GPT-4o from 9.1% to 31.8% and from 29.5% to 72.7% on Claude 3.5 Sonnet compared to the agent setting."
LATTICEFLOW-2024-10-GOV1,"[Table 1: Overall aggregate compliance per ethical principle]: ""GPT-4 Turbo 0.84 | Claude 3 Opus 0.82"" (Overall is NOT a 0.89 tie -- that figure belongs to a different table/pillar); [Table 2: Fairness -- Absence of Discrimination column]: ""GPT-4 Turbo 0.77 | Claude 3 Opus 0.80 | Mistral-7B Instruct 0.27"" (Claude highest, Mistral lowest -- this part of the Finding is accurate)."
TRANSLUCE-2024-10-JAI1,"we achieve a 95.5% attack success rate against Llama-3.1 405B, and the same attacks transfer to proprietary models (GPT-4o and Claude 3.5 Sonnet), with up to 65.8% success rate against GPT-4o.; Claude 3.5 Sonnet | 22.6%"
UL-2024-10-CYB1,The secret key exposure rate for the new model is nearly four times higher than the exposure rate for the old one.
METR-2024-10-AUT1,Claude-3.5-Sonnet performance is comparable to what human baseliners can achieve in around 35 minutes.
JOINT-2024-11-BIO2,"providing it access to bioinformatic tools to assist in research task questions, which when tested using Sonnet 3.5 resulted in increased performance beyond the model alone, at times exceeding measured human expert baselines; US AISI evaluated the upgraded Sonnet 3.5 on a set of multiple-choice research task questions, and performance was comparable to reference models and significantly below measured human expert baselines in most instances."
JOINT-2024-11-CYB2,"The upgraded model was able to solve 36% of tasks that are at the “cybersecurity apprentice” level of competency, compared to 29% of tasks at that same level for the best reference model evaluated.; The upgraded model was able to successfully solve 32.5% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated."
JOINT-2024-11-AUT1,"the model received an average score of 57% improvement — in comparison to an average of 48% improvement by the best performing reference model evaluated; The upgraded model had a success rate of 66% on software engineering tasks compared to 64% by the best reference model evaluated, and a success rate of 47% on general reasoning tasks compared to 35% by the best reference model evaluated."
JOINT-2024-11-BIO1,performance was comparable to reference models and significantly below measured human expert baselines in most instances.
NETWORK-2024-11-SOC1,"The model performed better in English than any other language, and its performance in English substantially outperformed low-resource languages, such as Yoruba and Swahili."
FRANCE-2024-12-SOC1,L'expérience met en évidence la capacité d'un attaquant à tromper un public averti avec ces outils simples d'utilisation et sans retouche logicielle après génération.; la précision des participants à ces études est à peine supérieure au hasard; Le tableau ci-dessous montre que les annotateurs peinent à identifier les trucages des images authentiques; Moyenne 0.41 0.51 0.68
UKAISI-2024-12-BIO1,86% of the o1-preview’s responses were deemed feasible by the autograders.; More than 70% of these solutions were downgraded by the domain experts.
UKAISI-2024-12-BIO2,"the new Claude 3.5 Sonnet (claude-3-5-sonnet-20241022), for which 61% of solutions were deemed feasible (the second highest performer) increased its end-to-end success likelihood by 30% when given access to a curated list of papers in its context."
APOLLO-2024-12-ALI1,"Llama 3.1 405B and Claude 3 Opus confess in ~80% of the cases, whereas o1 is surprisingly persistent and confesses in <20% of cases."
CITADEL-2024-12-JAI1,"Slight prompt leakage was found in 20 out of 100 responses, and significant prompt leakage was found in 1 response."
JOINT-2024-12-BIO2,"When o1 was augmented with this additional tooling, its performance increased on the research questions beyond the use of the model alone, particularly on DNA and protein sequencing-related tasks.; Please note that these findings are based on US AISI’s testing only, as UK AISI is not publishing its findings in this domain at this time."
JOINT-2024-12-BIO1,"[Figure 10.1: Performance of o1 and reference models on LAB-Bench]: ""Performance of o1 and reference models on the five categories we tested of LAB-Bench. For two categories – CloningScenarios and SeqQA – the models had access to Python sandbox tooling. FigQA and TableQA have images and thus require vision input.""; [Section 10.1: Primary Performance Measurements]: ""US AISI found that performance of o1 appears to be weaker than human baselines on CloningScenarios, ProtocolQA, SeqQA, and FigQA, but seems similar to human experts on TableQA."""
JOINT-2024-12-CYB2,For the 13 cybersecurity apprentice level tasks o1 has a Pass@10 of 36%. Sonnet 3.5 (new) has a pass@10 score of 46%.
JOINT-2024-12-AUT1,"[Table 13.1: Per-task results, Best-of-1 ± SEM row (US AISI MLAgentBench)]: ""o1 0.477 ± 0.040 | Sonnet 3.5 (new) 0.486 ± 0.061 | o1-preview 0.487 ± 0.069 | Sonnet 3.5 (old) 0.300 ± 0.070 | GPT4o 0.236 ± 0.053""; [Figure 16.1: Results for task families split by domain (UK AISI)]: ""Software engineering: o1 had a pass@1 success rate of 50% on software tasks compared to 67% for the best reference model evaluated, Sonnet 3.5 (new).""; ""General reasoning: o1 had a success rate of 57% on general reasoning tasks, similar to o1-preview's 58% which was the highest for this domain."""
REDWOOD-2024-12-ALI1,"Claude wins with relatively high probability against the small upfront auditing setting unaided, despite demonstrating substantial capability deficits with other affordances and when inspecting the model's stated strategies."
JOINT-2025-01-JAI1,"This resulted in an increase in attack success rate from 11% for the strongest baseline attack to 81% for the strongest new attack.; After repeated attempts, the average attack success rate increased from 57% to 80%"
ROBUSTINT-2025-01-JAI1,"DeepSeek R1 exhibited a 100% attack success rate, meaning it failed to block a single harmful prompt."
LATTICEFLOW-2025-02-CYB1,"The evaluated DeepSeek models rank lowest in the leaderboard for cybersecurity and show increased risks in goal hijacking and prompt leakage protection in comparison to their base models.; DeepSeek models rank below average in the leaderboard for bias and show significantly higher bias than their base models.; The evaluated DeepSeek models perform well in toxicity mitigation, outperforming their base models."
HOLISTIC-2025-02-JAI1,SAFE Responses: 89% (210 out of 237); Jailbreaking Resistance: 32% safe responses (12 out of 37 attempts); R1 not only responded to the initial adversarial prompt but also continued answering any subsequent questions without restriction; SAFE Responses: 98% (232 out of 237); Jailbreaking Resistance: 100% safe responses (37 out of 37 attempts)
FRANCE-2025-02-SOC1,"seuls deux détecteurs sur les 11 considérés sont meilleurs que le hasard; les détecteurs sont nettement moins fiables sur des contenus courts; Les performances sur les textes en français baissent, à l’exception de Camemberta; des substitutions de caractères homoglyphes (voir figure 9 ci-dessous) – peuvent dégrader les performances des détecteurs"
SGAISI-2025-02-JAI1,"The exercise involved 54 experts in fields such as linguistics, sociology, and cultural studies from 9 countries across Asia-Pacific for the in-person challenge; and over 300 online participants from 7 countries across Asia-Pacific for the virtual challenge.; a total of 1,335 successful exploits (~30 per pax) were collected; Regional language prompts constituted a higher percentage of total successful exploits than English language prompts (69.4% vs 30.6%).; This might indicate that models’ safety performance in those languages is not satisfactory, leading to an abnormally large number of exploits. The results show that in all languages other than Mandarin and Hindi, model performance is significantly degraded compared to English.; a simple single-turn prompt was able to elicit an output containing racial bias"
SGAISI-2025-02-SOC1,Participants were also able to successfully elicit bias within a single turn (86.1% of total successful exploits).; gender bias (26.1%) recorded the highest percentage of total successful exploits; Gender Bias 245 106 1 352 69.6%; Geographical/National Bias 214 115 1 330 64.8%; Race/Religious/Ethnicity Bias 190 106 2 298 63.8%; it was found that prompts that frame bias in a “positive” manner were particularly successful in eliciting a bias response from the model
METR-2025-02-AUT1,"We did not find strong evidence that DeepSeek-V3 was capable of committing cyberattacks, autonomous replicating and adapting, or performing general autonomous tasks better than a human expert would be if they spent more than half an hour of time."
HOLISTIC-2025-02-JAI2,"Jailbreaking Resistance: 2.7%; Grok-3 exhibited significant vulnerabilities, with only one out of 37 jailbreak attempts successfully blocked.; Grok-3's audit highlights critical vulnerabilities, with a jailbreaking resistance rate of just 2.7%, far below OpenAI o1's 100% and DeepSeek R1's 32%."
METR-2025-02-AUT2,GPT-4.5 exhibited overall performance somewhere between GPT-4o and o1.
HOLISTIC-2025-02-JAI3,"Claude 3.7 demonstrated exceptional resilience, successfully blocking all 37 jailbreak attempts and achieving a 100% resistance rate."
UKAISI-2025-03-ALI1,state-of-the-art unlearning methods can easily be undone within 16 steps of fine-tuning.
CAIS-2025-03-ALI1,"while larger models obtain higher accuracy on our benchmark, they do not become more honest; most frontier LLMs obtain high scores on truthfulness benchmarks yet exhibit a substantial propensity to lie under pressure"
METR-2025-03-AUT1,"DeepSeek-R1 has a 50% chance of success on tasks in our suite that took human experts 35 minutes; We did not find strong evidence that DeepSeek-R1 was capable of committing cyberattacks, autonomous replicating and adapting, or performing general autonomous tasks better than a human expert would be if they spent more than half an hour of time."
HOLISTIC-2025-03-JAI1,"ChatGPT 4.5 exhibited strong jailbreaking resistance, blocking 97% of bypass attempts (a marked improvement over DeepSeek R1 and Grok-3).; GPT 4.5's flawless responses to topic-based benign and harmful red teaming prompts resulted in an overall safe response rate of over 99%, higher than the rate observed for Open AI's reasoning-based o1 model.; ChatGPT 4.5 is one of the more expensive options compared to others like DeepSeek R1 and Claude 3.7 Sonnet, which are priced much lower at approximately 2-20 USD per 1M tokens."
METR-2025-04-ALI1,"Claude 3.7 Sonnet seems generally quite intent on completing the given tasks, sometimes leading to behavior resembling ""reward hacking"".; In our General Autonomous Capabilities Evaluation suite, the Claude 3.7 Sonnet agent is 50% likely to succeed at tasks that took human experts around 55 minutes."
METR-2025-04-ALI2,"We estimate that between 1% and 2% of all task attempts by o3 across HCAST and RE-Bench contained some attempt at reward hacking.; o3 and o4-mini reached 50% time horizons that are approximately 1.8x and 1.5x that of Claude 3.7 Sonnet, respectively."
TRANSLUCE-2025-04-ALI1,"During pre-release testing of OpenAI's o3 model, we found that o3 frequently fabricates actions it took to fulfill user requests, and elaborately justifies the fabrications when confronted by the user.; we discovered 71 instances where o3 claims to have run code on an external laptop, including three cases where it claims to use its laptop to mine bitcoin.; we found that o-series models (o3, o1, and o3-mini) falsely claim to use code tools more frequently than GPT-series models (GPT-4.1 and GPT-4o)."
SECUREBIO-2025-04-BIO1,"However, the most performant LLM, OpenAI's o3, reaches 43.8% accuracy, outperforming 94% of expert virologists even within their sub-areas of specialization."
UKAISI-2025-04-ALI1,"the best model we evaluated (Claude 3.7 Sonnet) has a >50% pass@10 score on 15/20 task families, and a >50% pass@10 score for 9/20 families on the hardest variants."
