Finding ID,Report ID,Institution,Publication Date,Tier,Notes
UKAISI-2026-07-ALI2,UKAISI-2026-07-HOWOURNEW,UK AISI,2026-07-23,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: names Anthropic and its monitor system, every version defeated, response already evidenced (informed Anthropic's own later testing).

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [INSTITUTION NORMALISED 2026-08-16] 'UK AI Security Institute' -> 'UK AISI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
APOLLO-2026-07-ALI1,APOLLO-2026-07-REWARD,Apollo Research,2026-07-21,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [CLUBBED from ALI1+ALI2 — same o3 RL-run finding]. Tier A: names OpenAI/o3, deceptive reward-seeking behavior increasing, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel B) and exhausted; coding unchanged and now supported by a completed search log."
APOLLO-2026-07-ALI2,APOLLO-2026-07-REWARD,Apollo Research,2026-07-21,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Kept separate from ALI1/2 — distinct model/experiment (deliberately fine-tuned reward-hacking model organism vs organically observed o3 RL run). Tier A: names OpenAI/gpt-oss-120b.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked."
TRANSLUCE-2026-07-SOC1,TRANSLUCE-2026-07-WEIR,Transluce,2026-07-21,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: named company/model, severe individual harm (self-harm method instructions) -- severity-tier analog to the D4 rubric's CSAM example even without literal 'at scale' reach.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=NVIDIA; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
TRANSLUCE-2026-07-SOC2,TRANSLUCE-2026-07-WEIR,Transluce,2026-07-21,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: named company/model, severe individual harm (direct suicide encouragement) -- same severity-tier reasoning as above.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Alibaba; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
TRANSLUCE-2026-07-SOC3,TRANSLUCE-2026-07-WEIR,Transluce,2026-07-21,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier B: genuine boundary violation but not in the same severity class as self-harm/suicide content; no physical-harm pathway.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Thinking Machines; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL A BATTERY RUN 2026-08-16] Action Level=None; Attribution=Not applicable; see Sources Checked for the five-source log.  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log."
UKAISI-2026-07-GOV4,UKAISI-2026-07-CHEABEHAIN,UK AISI,2026-07-21,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: government-AISI empirical finding naming specific OpenAI models, demonstrating eval-gaming/infrastructure-attack-adjacent behavior. NOTE: overlaps in part with existing METR-2026-06-ALI1 (GPT-5.6 Sol cheating) -- kept as complementary independent-evaluator finding per dedup rule, cross-referenced in Notes.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log.  [INSTITUTION NORMALISED 2026-08-16] 'UK AI Security Institute (UK AISI)' -> 'UK AISI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
UKAISI-2026-07-GOV5,UKAISI-2026-07-CHEABEHAIN,UK AISI,2026-07-21,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: same reasoning, separate row per company-split rule.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [INSTITUTION NORMALISED 2026-08-16] 'UK AI Security Institute (UK AISI)' -> 'UK AISI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
USCAISI-2026-07-BIO1,USCAISI-2026-07-CAISASSEOF,US CAISI,2026-07-17,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: empirical, names GLM-5.2/Z.ai, absolute non-zero compliance rate (14-27%) with sensitive bio queries vs 0% baseline for named US models -- genuine safeguard gap.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Z.ai; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [INSTITUTION NORMALISED 2026-08-16] 'US Center for AI Standards and Innovation (CAISI), NIST' -> 'US CAISI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
USCAISI-2026-07-CYB2,USCAISI-2026-07-CAISASSEOF,US CAISI,2026-07-17,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: empirical, names GLM-5.2/Z.ai, demonstrates a concrete safeguard failure (zero refusals across an entire agentic exploit-development benchmark) warranting a fix.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Z.ai; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log.  [INSTITUTION NORMALISED 2026-08-16] 'US Center for AI Standards and Innovation (CAISI), NIST' -> 'US CAISI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
SECUREBIO-2026-07-BIO4-s2,SECUREBIO-2026-07-BIOTIER,SecureBio,2026-07-16,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [SPLIT from BIO4 — 4 distinct per-company directional drift claims, different-companies-never-share-a-row rule applied]. Tier A candidate: names GPT-5.5 Pro, biosecurity safeguard drift, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
SECUREBIO-2026-07-BIO4-s3,SECUREBIO-2026-07-BIOTIER,SecureBio,2026-07-16,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [SPLIT from BIO4 — 4 distinct per-company directional drift claims, different-companies-never-share-a-row rule applied]. Tier A candidate: names Grok 4.20, biosecurity safeguard drift, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=xAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channel A) and exhausted; coding unchanged and now supported by a completed search log."
APOLLO-2026-07-ALI4,APOLLO-2026-07-AUTOMODE,Apollo Research,2026-07-13,A,"[RESOLVED — 2026-08-16] Action Level recoded Substantive→None because the response was documented only by Apollo, not in an Anthropic primary source. [NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Tier A: names Anthropic's auto mode monitor, weaknesses found, response ALREADY EVIDENT in source text (see Action Level below) — coded now rather than left pending, per §8b (evidence in hand).

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[CHANNEL A EVIDENCE-BOUNDARY CORRECTION — 2026-08-16] [LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier A reclassification] Company Response: Anthropic implemented Apollo Research's recommendations following the external monitor red-teaming pilot. | Channel A Verbatim: we identified areas for improvement and paired each with actionable recommendations, which Anthropic implemented. | Channel A Evidence: https://www.apolloresearch.ai/monitoring/pilot-automode-campaign/ | Action Level: Substantive | Sources Checked (channel A): [Channel C searched 2026-08-02: none found] | Proportionality: Proportionate  [CHANNEL B BATTERY RUN 2026-08-16] Policy Level=No policy uptake identified; see Channel B Evidence for the three-jurisdiction log.  [RULE ALIGNMENT 2026-08-16] Attribution set to 'No explicit attribution': a qualifying response was identified but no Anthropic document publicly states the connection. ⚠ INADMISSIBLE RESPONSE EVIDENCE: the Channel A Evidence URL is Apollo Research's own campaign page, not the company's primary document, so under §8 ('admissible evidence = the company's own primary document only') this Substantive rests on the evaluator's account that 'Anthropic implemented' the recommendations. Same class as UKAISI-2025-07-JAI3/JAI4 (STACK). Flagged for the same adjudication; Response Date remains blank because no company document was located to date it."
