url_key,title,venue,reason
deploymentsafety.openai.com/gpt-5-6,GPT-5.6 System Card,OpenAI,"§1 company self-report — company venue, no separate external-evaluator entry"
palisaderesearch.org/blog/automated-deception-is-here,Automated deception is here,Palisade Research,removed 2026-08-31 — non-frontier / no named model
labs.scale.com/papers/improving-the-accuracy-robustness-trade-off-of-classifiers-via-adaptive-smoothing,Improving the Accuracy-Robustness Trade-Off of Classifiers via Adaptive Smoothing,Scale AI,removed 2026-08-31 — non-frontier / no named model
arxiv.org/abs/2105.08920,OpenMEVA: A Benchmark for Evaluating Open-ended Story Generation Metrics,Tsinghua University CoAI Group,university-only author — standing scope exclusion
arxiv.org/pdf/2108.12960.pdf,LOT: A Story-Centric Benchmark for Evaluating Chinese Long Text Understanding and Generation,Tsinghua University CoAI Group,university-only author — standing scope exclusion
arxiv.org/abs/2201.06025,COLD: A Benchmark for Chinese Offensive Language Detection,Tsinghua University CoAI Group,university-only author — standing scope exclusion
aisi.gov.uk/blog/safety-case-template-for-inability-arguments,Safety case template for 'inability' arguments,UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
aisi.gov.uk/research/principles-for-evaluating-misuse-safeguards-of-frontier-ai-systems,Principles for evaluating misuse safeguards of frontier AI systems,UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
aisi.gov.uk/blog/making-safeguard-evaluations-actionable,Making safeguard evaluations actionable,UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
aisi.gov.uk/research/how-are-ai-agents-used-evidence-from-177-000-mcp-tools,"How are AI agents used? Evidence from 177,000 MCP tools",UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
aisi.gov.uk/research/infusion-shaping-model-behaviour-by-editing-training-data-via-influence-functions,Infusion: Shaping model behaviour by editing training data via influence functions,UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
aisi.gov.uk/research/automated-alignment-is-harder-than-you-think,Automated alignment is harder than you think,UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
aisi.gov.uk/research/ai-alignment-is-a-human-problem,AI alignment is a human problem,UK AI Security Institute (UK AISI),removed 2026-08-31 — non-frontier / no named model
nist.gov/aisi/guidelines,NIST AI 800-2 (Initial Public Draft): Practices for Automated Benchmark Evaluations of Language Models,"US Center for AI Standards and Innovation (CAISI, NIST)",removed 2026-08-31 — non-frontier / no named model
static.scale.com/uploads/654197dc94d34f66c0f5184e/sweap_eval_scale%20(9).pdf,SWEAP Eval Scale,Scale AI,removed 2026-08-31 — non-frontier / no named model
