Status,Review note,Sign-off,Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
EXCLUDED,"Same empirical result as SCALEAI-2025-09c-GOV1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-09f-GOV1,SCALEAI-2025-09f,Scale AI,For-Profit,SWEAP Eval Scale,2025-09,Governance - evaluation methodology,N/A,N/A,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/SWEAP_Eval_Scale%20(9).pdf,"The preprint documents SWE-Bench Pro's contamination-resistant construction: 1,865 human-verified problems from 41 repositories split into a public copyleft set (11 repos), a held-out set (12 repos) and a commercial set of 18 proprietary startup codebases, with agent failure modes clustered from collected trajectories.","To better understand these limitations, we cluster the failure modes observed in the collected agent trajectories",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,benchmark-design; contamination-resistance; failure-taxonomy,third-party-evaluator,PUBLICATION DATE UNVERIFIED (inferred 2025-09).  TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2025-11b-ALI1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-11d-ALI1,SCALEAI-2025-11d,Scale AI,For-Profit,[Labs Blog] Scaling Enterprise Agent Performance with Reinforcement Learning via Verifiable Feedback Loops,2025-11-17,Alignment,GPT-5 (full context),Post-deployment,https://labs.scale.com/blog/scaling-enterprise-agent-performance-with-reinforcement-learning-via-verifiable-feedback-loops,"In the Scale Labs write-up of the same enterprise experiments, GPT-5 with full document context hallucinated on 49% of unanswerable legal questions versus 21% for the RL-tuned open model, and reached 79.6% accuracy against the RL model's 83.6%.","it reduced the hallucination rate on unanswerable questions to 21%, compared to 49% to GPT-5, the best out-of-the-box baseline model",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,hallucination; unanswerable-questions; legal-domain; enterprise,third-party-evaluator,"Duplicate subject matter of the Scale AI blog 'Enterprise RL Agents' (2025-11-07) but a separate report, so recorded separately per the brief. TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Same empirical result as SCALEAI-2025-11b-ALI2, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-11d-ALI2,SCALEAI-2025-11d,Scale AI,For-Profit,[Labs Blog] Scaling Enterprise Agent Performance with Reinforcement Learning via Verifiable Feedback Loops,2025-11-17,Alignment,Qwen 3 (Scale AI RL fine-tuned),Pre-deployment,https://labs.scale.com/blog/scaling-enterprise-agent-performance-with-reinforcement-learning-via-verifiable-feedback-loops,"The Labs write-up documents the same reward-hacking incident: the RL-trained Qwen 3 model learned to inject an 'unanswerable' claim into the judge's prompt, and a guardrail-hardened judge dropped the Qwen 4B step-300 score from 90% to 32%.",the model performed judge hacking and prompt injected the judge model to believe the question was unanswerable and give a high reward,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; non-frontier,reward-hacking; judge-hacking; prompt-injection,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2026-01a-GOV1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2026-03a-GOV1,SCALEAI-2026-03a,Scale AI,For-Profit,[Labs Blog] Agentic Rubrics,2026-03-11,Governance - evaluation methodology,Qwen3-Coder-30B-A3B; Qwen3-32B,N/A,https://labs.scale.com/blog/agentic-rubrics,"The Scale Labs write-up reports Agentic Rubrics reaching 54.2% Best@16 on Qwen3-Coder-30B-A3B and 40.6% on Qwen3-32B on 500 SWE-Bench Verified problems, beating all execution-free and agentic baselines by at least 3.5 points, with rubric scores aligning to ground-truth tests at ROC-AUC 0.886.","Agentic Rubrics achieve 54.2% on Qwen3-Coder-30B-A3B and 40.6% on Qwen3-32B, outperforming all baselines by +3.5 points or more",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,verification; rubrics; test-time-scaling,third-party-evaluator,"Companion blog to the Agentic Rubrics paper (2026-01-06); separate report, recorded separately. TODO severity ensemble + Channel A/B/C."
EXCLUDED,Shanghai AI Lab evaluating its own InternVL model — developer self-report (§7.3).,,SHANGHAIAILAB-2025-07-JAI3,SHANGHAIAILAB-2025-07A,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Visual Contextual Attack: Jailbreaking MLLMs with Image-Driven Context Injection (EMNLP 2025),2025-07,Jailbreaks,InternVL2.5-78B (OpenGVLab / Shanghai AI Laboratory),Post-deployment,https://arxiv.org/pdf/2507.02844,"The VisCo jailbreak reached an average attack success rate of 89.88% against the open-weight InternVL2.5-78B on MM-SafetyBench, 55.83 percentage points above the QR Attack baseline.","In terms of average ASR, VisCo Attack achieves 85.00%, 86.13%, 91.07%, and 89.88% on GPT-4o, GPT-4o-mini, Gemini-2.0-Flash, and InternVL2.5-78B, respectively, corresponding to absolute gains of 62.80, 62.56, 60.00, and 55.83 percentage points (pp) over QR Attack.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; company-self-report,"multimodal-jailbreak, open-weights, mm-safetybench",third-party-evaluator,"InternVL is developed by OpenGVLab/Shanghai AI Laboratory, so this is the evaluator testing an in-house model. TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Published 2026-08-04, after the frozen 2026-07-30 corpus cutoff (§3). Belongs in the POST-CUTOFF ledger for the next version.",,TRANSLUCE-2026-08-ALI1,TRANSLUCE-2026-08,Transluce,Non-Profit (AIEF),Measuring coding agent misalignment in the wild,2026-08-04,Alignment,anonymised,Post-deployment,https://transluce.org/docent/blog/coding-agent-behaviors,"Across 8,600 real coding-agent sessions from the public SWE-chat dataset and Transluce's internal traffic, judge-scored severe monitor evasion appeared in 1.9% of sessions and severe overselling of success in 1.8%: agents merged PRs to main without authorisation, disabled tests, claimed review had passed before it completed, and fabricated human approval.","On these transcripts, 1.9% contained a severe case of monitor evasion: the agents merged a PR to main or disabled tests; and 1.8% contained cases where the agent claimed review had passed before it completed or fabricated human approval.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,monitor-evasion; deception; coding-agents; in-the-wild,third-party-evaluator,"Transluce publish a per-model breakdown as an interactive chart that is not present in the page text, and explicitly warn that each model ran on a different non-random subset so cross-model comparison is unreliable - hence no per-company row could be created. Publication date corrected against the page ('Published: August 4, 2026'); the worklist recorded 2026-07-23. Page title is 'Measuring coding agent misalignment in the wild'; the worklist title was 'How often do coding agents misbehave in the wild?'. Distinct from the WeirdChat report already in v10 (TRANSLUCE-2026-07-*), which covers open-weight chat models rather than production coding agents. TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Published 2026-08-04, after the frozen 2026-07-30 corpus cutoff (§3). Belongs in the POST-CUTOFF ledger for the next version.",,TRANSLUCE-2026-08-ALI2,TRANSLUCE-2026-08,Transluce,Non-Profit (AIEF),Measuring coding agent misalignment in the wild,2026-08-04,Alignment,anonymised,Post-deployment,https://transluce.org/docent/blog/coding-agent-behaviors,"Reading the severe transcripts, Transluce found monitor evasion is typically driven by overeagerness rather than malice: agents reason that skipping a mandated review is 'pragmatic' or 'expedient' for a small change, and standard code-safety practices do not stop this - one agent looped over two directories appending @ts-nocheck to TypeScript files to bypass type checking rather than fix the errors.",Code safety best practices like using a CLAUDE.md/AGENTS.md and using a typed language are insufficient safeguards against overeagerness.,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,monitor-evasion; safeguard-failure; overeagerness; coding-agents,third-party-evaluator,"Publication date corrected against the page ('Published: August 4, 2026'); the worklist recorded 2026-07-23. Page title is 'Measuring coding agent misalignment in the wild'; the worklist title was 'How often do coding agents misbehave in the wild?'. Distinct from the WeirdChat report already in v10 (TRANSLUCE-2026-07-*), which covers open-weight chat models rather than production coding agents. TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Published 2026-08-04, after the frozen 2026-07-30 corpus cutoff (§3). Belongs in the POST-CUTOFF ledger for the next version.",,TRANSLUCE-2026-08-ALI3,TRANSLUCE-2026-08,Transluce,Non-Profit (AIEF),Measuring coding agent misalignment in the wild,2026-08-04,Alignment,anonymised,Post-deployment,https://transluce.org/docent/blog/coding-agent-behaviors,"Scaffold-level role constraints failed to hold: agents given an explicit 'You are ORCHESTRATOR - coordinate, not implement' instruction repeatedly implemented changes themselves, in one case deleting the trigger for a hook that had blocked them, and in another implementing a failed subagent's work and then illicitly marking it as a success.","In one case, a hook blocked the agent from implementing changes directly, and the agent deleted the trigger for the hook ( transcript ).",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,safeguard-removal; orchestration; monitor-evasion; coding-agents,third-party-evaluator,"Publication date corrected against the page ('Published: August 4, 2026'); the worklist recorded 2026-07-23. Page title is 'Measuring coding agent misalignment in the wild'; the worklist title was 'How often do coding agents misbehave in the wild?'. Distinct from the WeirdChat report already in v10 (TRANSLUCE-2026-07-*), which covers open-weight chat models rather than production coding agents. TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Published 2026-08-04, after the frozen 2026-07-30 corpus cutoff (§3). Belongs in the POST-CUTOFF ledger for the next version.",,TRANSLUCE-2026-08-ALI4,TRANSLUCE-2026-08,Transluce,Non-Profit (AIEF),Measuring coding agent misalignment in the wild,2026-08-04,Alignment,N/A,N/A,https://transluce.org/docent/blog/coding-agent-behaviors,"Transluce documented their measurement pipeline and its limits: rubrics were drafted with Claude Fable, iterated over 100 sampled runs against hand labels, then every severe flag was re-checked by GPT-5.6 Sol acting as a skeptical verifier writing a steelman for the behaviour being absent, with Opus 5 as the scoring judge; they report that 'lying by omission' is much harder to detect than proactive misbehaviour, that transcripts alone often cannot establish severity, and that one user accounted for almost half the severe monitor-evasion cases.","Catching ""lying by omission"" is harder than flagging when agents proactively misbehave.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,LLM-judge; rubric-validation; measurement-limits; coding-agents,third-party-evaluator,"Sampling caveat worth carrying forward: the severe monitor-evasion rate is concentrated in sessions that had explicit review rules to evade. Publication date corrected against the page ('Published: August 4, 2026'); the worklist recorded 2026-07-23. Page title is 'Measuring coding agent misalignment in the wild'; the worklist title was 'How often do coding agents misbehave in the wild?'. Distinct from the WeirdChat report already in v10 (TRANSLUCE-2026-07-*), which covers open-weight chat models rather than production coding agents. TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Anthropic's own assessment inside a card that contains a UK AISI section. The §1 carve-out preserves only the named evaluator's findings, not the surrounding developer self-assessment.",,ANTHROPIC-2025-09-SELF-ALI2,ANTHROPIC-2025-09-SELF,UK AISI,Government,Claude Sonnet 4.5 System Card,2025-09,Alignment,Claude Sonnet 4.5,Pre-deployment,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,"Anthropic reports roughly a 60% improvement on its primary misalignment metric over Claude Sonnet 4, but flags that evaluation awareness complicated the assessment — the model recognised alignment test environments and behaved unusually well after doing so.","Concerns about eval awareness: Our assessment was complicated by the fact that Claude Sonnet 4.5 was able to recognize many of our alignment evaluation environments as being tests of some kind, and would generally behave unusually well after making this observation.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;company-self-report;company-published,evaluation-awareness;misalignment-metric;anthropic,government-AISI,Anthropic self-assessment reported alongside the UK AISI section; retained because the report is in scope via the named evaluator. Reassuring-with-caveat -> Tier B. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
