Report / group,Evaluator,Rows,Sheet rows,What to check,Source URL
CIP-2025-12-ANNUAL,Collective Intelligence Project (Weval),1,212,• CIP-2025-12-SOC1: QUOTE: verbatim passage not located in cited source,https://www.cip.org/s/CIP-2025-Annual-Report.pdf
CISCO-2024-05,Cisco (Robust Intelligence / Foundation AI),1,201,"• CISCO-2024-05-JAI1: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit; NUMBERS: 250, 2, 7, 1.66, 1.73, 1.72, 0.54, 26.4%, 26.8%, 27.6%, 1.6%",https://www.robustintelligence.com/blog-posts/fine-tuning-llms-breaks-their-safety-and-security-alignment
FARAI-2023-07,FAR.AI,1,226,"• FARAI-2023-07-ALI1: NUMBERS: 4,096",https://www.far.ai/blog/even-superhuman-go-ais-have-surprising-failure-modes
FARAI-2023-09,FAR.AI,1,230,• FARAI-2023-09-ALI2: QUOTE: verbatim passage not located in cited source,https://www.far.ai/blog/uncovering-latent-human-wellbeing-in-llm-embeddings
FARAI-2024-06,FAR.AI,1,232,"• FARAI-2024-06-ALI1: NUMBERS: 2022, 4,096",https://www.far.ai/blog/beyond-the-board-exploring-ai-robustness-through-go
HAL-2024-07,Princeton Holistic Agent Leaderboard (HAL),4,"354, 355, 356, 357","• HAL-2024-07-AUT1: QUOTE: verbatim passage not located in cited source; NUMBERS: 50%, 50
• HAL-2024-07-AUT2: QUOTE: verbatim passage not located in cited source
• HAL-2024-07-AUT3: QUOTE: verbatim passage not located in cited source; NUMBERS: 35.8%
• HAL-2024-07-GOV1: QUOTE: verbatim passage not located in cited source",https://arxiv.org/abs/2407.01502
HAL-2024-09,Princeton Holistic Agent Leaderboard (HAL),3,"358, 359, 360","• HAL-2024-09-AUT1: DATE: exact source-visible day unresolved
• HAL-2024-09-AUT2: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source
• HAL-2024-09-AUT3: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source",https://arxiv.org/abs/2409.11363
HAL-2024-11,Princeton Holistic Agent Leaderboard (HAL),3,"361, 362, 363","• HAL-2024-11-AUT1: DATE: exact source-visible day unresolved; NUMBERS: 4
• HAL-2024-11-AUT2: DATE: exact source-visible day unresolved
• HAL-2024-11-AUT3: DATE: exact source-visible day unresolved",https://arxiv.org/abs/2411.17501
HAL-2026-02b,Princeton Holistic Agent Leaderboard (HAL),6,"365, 366, 367, 368, 369, 370","• HAL-2026-02b-AUT2: QUOTE: verbatim passage not located in cited source
• HAL-2026-02b-AUT3: QUOTE: verbatim passage not located in cited source
• HAL-2026-02b-AUT4: QUOTE: verbatim passage not located in cited source
• HAL-2026-02b-AUT5: QUOTE: verbatim passage not located in cited source
• HAL-2026-02b-AUT6: QUOTE: verbatim passage not located in cited source
• HAL-2026-02b-AUT7: QUOTE: verbatim passage not located in cited source; NUMBERS: 26",https://arxiv.org/abs/2602.16666
HAL-2026-05,Princeton Holistic Agent Leaderboard (HAL),3,"371, 372, 373","• HAL-2026-05-AUT1: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source; NUMBERS: 20.8%, 40.0%
• HAL-2026-05-AUT2: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source
• HAL-2026-05-GOV1: DATE: exact source-visible day unresolved",https://arxiv.org/abs/2605.08545
HAL-2026-06,Princeton Holistic Agent Leaderboard (HAL),7,"374, 375, 376, 377, 378, 379, 380","• HAL-2026-06-AUT1: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source; NUMBERS: 39, 19
• HAL-2026-06-AUT2: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source; NUMBERS: 12
• HAL-2026-06-AUT3: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source; NUMBERS: 17, 39, 4.5, 12
• HAL-2026-06-AUT4: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source
• HAL-2026-06-AUT5: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source
• HAL-2026-06-AUT6: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source
• HAL-2026-06-AUT7: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source; NUMBERS: 20, 50, 0.09, 0.00176, 25, 19",https://arxiv.org/abs/2606.26158
HOLISTIC-2023-01,Holistic AI,1,259,• HOLISTIC-2023-01-GOV1: NUMBERS: 1.0,https://www.holisticai.com/blog/nyc-bias-audit-impact-ratio-regression
HOLISTIC-2025-05,Holistic AI,2,"261, 262","• HOLISTIC-2025-05-CYB1: QUOTE: verbatim passage not located in cited source
• HOLISTIC-2025-05-GOV1: QUOTE: verbatim passage not located in cited source",https://www.holisticai.com/papers/libvulnwatch
JAISI-2026-04,Japan AI Safety Institute (J-AISI),1,266,• JAISI-2026-04-GOV1: NUMBERS: 025,https://aisi.go.jp/output/output_information/260415/
JAISI-2026-07,Japan AI Safety Institute (J-AISI),1,267,• JAISI-2026-07-CYB1: QUOTE: verbatim passage not located in cited source,https://aisi.go.jp/activity/activity_notes/260708/
METR-2023-07,METR,1,276,• METR-2023-07-GOV2: QUOTE: verbatim passage not located in cited source; NUMBERS: 6%,https://metr.org/language-model-pilot-report/
METR-2025-02k,METR,1,293,"• METR-2025-02-AUT5: NUMBERS: 1,200",https://metr.org/blog/2025-02-14-measuring-automated-kernel-engineering/
METR-2025-03a,METR,1,295,"• METR-2025-03-AUT3: QUOTE: verbatim passage not located in cited source; NUMBERS: 1,500",https://arxiv.org/abs/2503.17354
METR-2025-06,METR,1,299,"• METR-2025-06-GOV1: NUMBERS: 2,752",https://metr.org/blog/2025-06-05-recent-reward-hacking/
METR-2025-10a,METR,1,315,• METR-2025-10-ALI2: NUMBERS: 24.2%,https://metr.org/notes/2025-10-06-early-results-on-monitorability-in-qa-settings/
METR-2026-02b,METR,1,330,"• METR-2026-02-SOC1: NUMBERS: 5,305",https://metr.org/notes/2026-02-17-exploratory-transcript-analysis-for-estimating-time-savings-from-coding-agents/
OPENAI-2024-05-SELF,METR,1,351,• OPENAI-2024-05-SELF-AUT1: DATE: exact source-visible day unresolved,https://cdn.openai.com/gpt-4o-system-card.pdf
OPENAI-2025-02b-SELF-GPT45,Apollo Research; METR,2,"164, 352","• OPENAI-2025-02b-SELF-ALI1: QUOTE: verbatim passage not located in cited source
• OPENAI-2025-02b-SELF-GOV1: QUOTE: verbatim passage not located in cited source; NUMBERS: 4.5",https://openai.com/index/gpt-4-5-system-card
OPENAI-2025-04-SELF,Pattern Labs,1,2,• OPENAI-2025-04-SELF-CYB1: DATE: exact source-visible day unresolved,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf
OPENAI-2025-11-SELF,Irregular (formerly Pattern Labs),1,137,• OPENAI-2025-11-SELF-CYB1: DATE: exact source-visible day unresolved,https://deploymentsafety.openai.com/gpt-5-1-codex-max
OPENAI-2025-12b-SELF-CODEX,Irregular,1,132,• OPENAI-2025-12b-SELF-CYB2: QUOTE: verbatim passage not located in cited source,https://deploymentsafety.openai.com/gpt-5-2-codex
OPENAI-2026-04-SELF-GPT55,"Apollo Research; US Center for AI Standards and Innovation (CAISI), NIST",2,"170, 563","• OPENAI-2026-04-SELF-ALI2: QUOTE: verbatim passage not located in cited source
• OPENAI-2026-04-SELF-CYB3: QUOTE: verbatim passage not located in cited source",https://deploymentsafety.openai.com/gpt-5-5
OPENAI-2026-06-SELF-GPT56PREV,Apollo Research,1,172,• OPENAI-2026-06-SELF-ALI2: QUOTE: verbatim passage not located in cited source,https://deploymentsafety.openai.com/gpt-5-6-preview/
RAND-2025-09-GRI,RAND Europe (with the Centre for Long-Term Resilience),1,386,• RAND-2025-09-GOV1: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit,https://www.rand.org/pubs/external_publications/EP71093.html
RAND-2025-09-SUICIDE,RAND,3,"381, 382, 383","• RAND-2025-09-SOC1: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit; NUMBERS: 9,000, 30
• RAND-2025-09-SOC2: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit
• RAND-2025-09-SOC3: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit",https://www.rand.org/pubs/external_publications/EP71040.html
RAND-2026-06-CYBAGENTS,RAND Europe,3,"40, 384, 385","• RAND-2026-06-CYB1: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit; NUMBERS: — RAND blocks automated access; independent indexing supports the claim but primary manual check remains
• RAND-2026-06-CYB2: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit
• RAND-2026-06-GOV1: QUOTE: verbatim passage not located in cited source; SOURCE: primary URL inaccessible to this audit",https://www.rand.org/pubs/research_reports/RRA3892-2.html
SCALEAI-2025-02c,Scale AI,1,429,"• SCALEAI-2025-02c-AUT1: QUOTE: verbatim passage not located in cited source; NUMBERS: 1,184",https://labs.scale.com/papers/enigma_eval
SCALEAI-2025-11b,Scale AI,1,450,"• SCALEAI-2025-11b-GOV1: NUMBERS: 1,000",https://scale.com/blog/enterprise-rl-agents
SCALEAI-2026-03c,Scale AI,1,469,• SCALEAI-2026-03c-SOC2: NUMBERS: 58.97,https://labs.scale.com/blog/multichallenge-update
SCALEAI-2026-05ae,Scale AI,1,120,"• SCALEAI-2026-05ae-AUT1: NUMBERS: 43.49%, 41.89%",https://static.scale.com/uploads/6691558a94899f2f65a87a75/Coding_Agent_Eval%20(5).pdf
SCALEAI-2026-05b,Scale AI,1,476,• SCALEAI-2026-05b-AUT1: NUMBERS: 26%,https://labs.scale.com/leaderboard/scipredict
SCALEAI-2026-05d,Scale AI,1,479,• SCALEAI-2026-05d-SOC1: NUMBERS: 57%,https://labs.scale.com/leaderboard/audiomc
SCALEAI-2026-05h,Scale AI,1,485,• SCALEAI-2026-05h-SOC1: NUMBERS: 55%,https://labs.scale.com/leaderboard/visual_language_understanding
SCALEAI-2026-05j,Scale AI,1,487,• SCALEAI-2026-05j-AUT1: NUMBERS: 64%,https://labs.scale.com/leaderboard/tool_use_chat
SCALEAI-2026-07c,Scale AI,1,516,"• SCALEAI-2026-07c-SOC1: NUMBERS: 15.80%, 8.33%, 6.25%, 3%, 0.83%",https://labs.scale.com/leaderboard/rli
SECUREBIO-2023-06,"SecureBio (MIT Media Lab, Esvelt group)",1,524,• SECUREBIO-2023-06-BIO1: DATE: exact source-visible day unresolved,https://arxiv.org/abs/2306.03809
SECUREBIO-2026-06b-ABCBENCH,SecureBio,2,"518, 519","• SECUREBIO-2026-06b-BIO1: QUOTE: verbatim passage not located in cited source
• SECUREBIO-2026-06b-BIO4: QUOTE: verbatim passage not located in cited source",https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/
SHANGHAIAILAB-2024-02B,Shanghai AI Laboratory (AI45 Lab),2,"525, 526","• SHANGHAIAILAB-2024-02-ALI1: DATE: exact source-visible day unresolved
• SHANGHAIAILAB-2024-02-ALI2: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source",https://arxiv.org/pdf/2402.19465
SHANGHAIAILAB-2024-06A,Shanghai AI Laboratory (AI45 Lab),2,"528, 529","• SHANGHAIAILAB-2024-06-HUM1: DATE: exact source-visible day unresolved
• SHANGHAIAILAB-2024-06-HUM2: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source",https://arxiv.org/pdf/2406.14952
SHANGHAIAILAB-2024-06B,Shanghai AI Laboratory (AI45 Lab),1,527,• SHANGHAIAILAB-2024-06-AUT1: DATE: exact source-visible day unresolved,https://arxiv.org/pdf/2406.19131v1
SHANGHAIAILAB-2025-04,Shanghai AI Laboratory (AI45 Lab),2,"530, 531","• SHANGHAIAILAB-2025-04-SOC1: DATE: exact source-visible day unresolved
• SHANGHAIAILAB-2025-04-SOC2: DATE: exact source-visible day unresolved",https://research.ai45.shlab.org.cn/Blog_pics/94-Building%20intelligence%20identification%20system%20via%20large%20language%20model%20watermarking%20a%20survey%20and%20beyond.pdf
SHANGHAIAILAB-2025-07B,Shanghai AI Laboratory (AI45 Lab),2,"532, 533","• SHANGHAIAILAB-2025-07-ALI2: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source
• SHANGHAIAILAB-2025-07-ALI3: DATE: exact source-visible day unresolved; QUOTE: verbatim passage not located in cited source",https://aclanthology.org/2025.acl-long.590.pdf
SHANGHAIAILAB-2025-07C,Shanghai AI Laboratory (AI45 Lab),1,534,• SHANGHAIAILAB-2025-07-SOC1: DATE: exact source-visible day unresolved,https://aclanthology.org/2025.findings-acl.754.pdf
UKAISI-2026-08a,UK AISI,1,558,• UKAISI-2026-08a-GOV1: DATE: exact source-visible day unresolved,https://www.aisi.gov.uk/research/existing-large-language-model-unlearning-evaluations-are-inconclusive
UKAISI-2026-08b,UK AISI,1,559,• UKAISI-2026-08b-ALI1: DATE: exact source-visible day unresolved,https://www.aisi.gov.uk/research/inoculation-prompting-eliciting-traits-from-llms-during-training-can-suppress-them-at-test-time
UKAISI-2026-08c,UK AISI,1,560,• UKAISI-2026-08c-ALI1: DATE: exact source-visible day unresolved,https://www.aisi.gov.uk/research/a-decision-theoretic-formalisation-of-steganography-with-applications-to-llm-monitoring
