category,finding_id,field,old_value,new_value,reason
evidence-restoration,SGAISI-2026-01-AUT1,Sources Checked (channel A),,https://sgaisi.sg/resources/testing-ai-agents-for-data-leakage-risks-in-realistic-tasks/,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SGAISI-2026-01-AUT1,Notes,"anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): https://sgaisi.sg/resources/testing-ai-agents-for-data-leakage-risks-in-realistic-tasks/ | Media Outlets: BABL AI (babl.ai coverage of the SG-KR data-leakage test) (https://babl.ai/korea-and-singapore-test-ai-agents-for-data-leakage-in-realistic-workplace-scenario/)

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): https://sgaisi.sg/resources/testing-ai-agents-for-data-leakage-risks-in-realistic-tasks/ | Media Outlets: BABL AI (babl.ai coverage of the SG-KR data-leakage test) (https://babl.ai/korea-and-singapore-test-ai-agents-for-data-leakage-in-realistic-workplace-scenario/)

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-01-ALI1,Sources Checked (channel A),,Models anonymized (6.9B research models) -- Trackable=no for lack of accountable company.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-01-ALI1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Models anonymized (6.9B research models) -- Trackable=no for lack of accountable company. | Media Outlets: Quantum Zeitgeist (https://quantumzeitgeist.com/percent-ai-alignment-pretraining-reduces-misalignment-positive/) | Social Highlights: LessWrong (204 karma, 25 comments) named-researcher engagement (https://www.lesswrong.com/posts/TcfyGD2aKdZ7Rt3hk/alignment-pretraining-ai-discourse-causes-self-fulfilling) | Channel C Verbatim: the team discovered a substantial reduction in misalignment scores, from 45% to 9%, when upsampling documents that described aligned behaviours.

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Models anonymized (6.9B research models) -- Trackable=no for lack of accountable company. | Media Outlets: Quantum Zeitgeist (https://quantumzeitgeist.com/percent-ai-alignment-pretraining-reduces-misalignment-positive/) | Social Highlights: LessWrong (204 karma, 25 comments) named-researcher engagement (https://www.lesswrong.com/posts/TcfyGD2aKdZ7Rt3hk/alignment-pretraining-ai-discourse-causes-self-fulfilling) | Channel C Verbatim: the team discovered a substantial reduction in misalignment scores, from 45% to 9%, when upsampling documents that described aligned behaviours.

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12-BIO1,Policy Response,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-BIO1,Channel B Evidence,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026); DSIT committed to making report a regular publication.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-BIO1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication. | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026); DSIT committed to making report a regular publication. | Media Outlets: Transformer News (https://www.transformernews.ai/p/aisi-ai-security-institute-frontier-ai-trends-report-biorisk-self-replication); BABL AI (https://babl.ai/uk-report-warns-frontier-ai-capabilities-are-advancing-faster-than-safety-safeguards/)

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication. | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026); DSIT committed to making report a regular publication. | Media Outlets: Transformer News (https://www.transformernews.ai/p/aisi-ai-security-institute-frontier-ai-trends-report-biorisk-self-replication); BABL AI (https://babl.ai/uk-report-warns-frontier-ai-capabilities-are-advancing-faster-than-safety-safeguards/)

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12-CYB1,Policy Response,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-CYB1,Channel B Evidence,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026); UK Parliament Written Question 102361 (January 2 2026); DSIT committed to making report a regular publication.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-CYB1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication. | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026); UK Parliament Written Question 102361 (January 2 2026); DSIT committed to making report a regular publication. | Media Outlets: Transformer News (https://www.transformernews.ai/p/aisi-ai-security-institute-frontier-ai-trends-report-biorisk-self-replication); BABL AI (https://babl.ai/uk-report-warns-frontier-ai-capabilities-are-advancing-faster-than-safety-safeguards/) | Channel C Verbatim: The length of cyber tasks (expressed as how long they would take a human expert) that models can complete unassisted is doubling roughly every eight months.

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication. | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026); UK Parliament Written Question 102361 (January 2 2026); DSIT committed to making report a regular publication. | Media Outlets: Transformer News (https://www.transformernews.ai/p/aisi-ai-security-institute-frontier-ai-trends-report-biorisk-self-replication); BABL AI (https://babl.ai/uk-report-warns-frontier-ai-capabilities-are-advancing-faster-than-safety-safeguards/) | Channel C Verbatim: The length of cyber tasks (expressed as how long they would take a human expert) that models can complete unassisted is doubling roughly every eight months.

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12-GOV5,Sources Checked (channel A),,No company published formal response to Trends Report specifically,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-GOV5,Policy Response,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-GOV5,Channel B Evidence,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026); DSIT committed to making report a regular publication.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-GOV5,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): No company published formal response to Trends Report specifically | Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication. | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026); DSIT committed to making report a regular publication. | Channel C Verbatim: There is little correlation between model capability and safeguard strength. -- AISI Frontier AI Trends Report

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): No company published formal response to Trends Report specifically | Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) referenced the Trends Report generally; DSIT committed to regular publication. | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026); DSIT committed to making report a regular publication. | Channel C Verbatim: There is little correlation between model capability and safeguard strength. -- AISI Frontier AI Trends Report

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12-JAI2,Sources Checked (channel A),,One unnamed model required 40x more expert effort to jailbreak vs predecessor (Anthropic improvements documented September 2025 -- predates report),Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-JAI2,Policy Response,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026) directly cited Trends Report,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-JAI2,Channel B Evidence,,UK House of Lords 'AI Systems: Risks' debate (January 8 2026) directly cited Trends Report,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-JAI2,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): One unnamed model required 40x more expert effort to jailbreak vs predecessor (Anthropic improvements documented September 2025 -- predates report) | Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) directly cited Trends Report | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) directly cited Trends Report

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): One unnamed model required 40x more expert effort to jailbreak vs predecessor (Anthropic improvements documented September 2025 -- predates report) | Policy Level: Non-binding policy uptake | Policy Response: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) directly cited Trends Report | Channel B Evidence: UK House of Lords 'AI Systems: Risks' debate (January 8 2026) directly cited Trends Report

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,USCAISI-2025-12-GOV1,Sources Checked (channel A),,"model card, blog, release notes, news search -- 2026-06-28",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,USCAISI-2025-12-GOV1,Policy Response,,Cited in US national security briefings; referenced in Senate Intelligence Committee briefings on PRC AI capabilities,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,USCAISI-2025-12-GOV1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→B; subject=model behavior/capability trend; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Moonshot; concerning=Yes; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Level: Non-binding policy uptake | Policy Response: Cited in US national security briefings; referenced in Senate Intelligence Committee briefings on PRC AI capabilities | Channel C Verbatim: CAISI scores systematically lower than Kimi K2's self-reported benchmark numbers. -- CAISI Evaluation report

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier C→B; subject=model behavior/capability trend; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Moonshot; concerning=Yes; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): model card, blog, release notes, news search -- 2026-06-28 | Policy Level: Non-binding policy uptake | Policy Response: Cited in US national security briefings; referenced in Senate Intelligence Committee briefings on PRC AI capabilities | Channel C Verbatim: CAISI scores systematically lower than Kimi K2's self-reported benchmark numbers. -- CAISI Evaluation report

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12-SOC2,Policy Response,,International AI Safety Report 2026 (Bengio et al.) cites study,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-SOC2,Channel B Evidence,,International AI Safety Report 2026 (Bengio et al.) cites Hackenburg et al. 2025,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-SOC2,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: International AI Safety Report 2026 (Bengio et al.) cites study | Channel B Evidence: International AI Safety Report 2026 (Bengio et al.) cites Hackenburg et al. 2025 | Media Outlets: MIT Technology Review (https://www.technologyreview.com/2025/12/05/1128837/the-era-of-ai-persuasion-in-elections-is-about-to-begin/) | Channel C Verbatim: For less than a million dollars, anyone can generate personalized, conversational messages for every registered voter in America. The deeper threat isn't that AI can just imitate people -- it's that it can actively persuade people. -- MIT Technology Review

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: International AI Safety Report 2026 (Bengio et al.) cites study | Channel B Evidence: International AI Safety Report 2026 (Bengio et al.) cites Hackenburg et al. 2025 | Media Outlets: MIT Technology Review (https://www.technologyreview.com/2025/12/05/1128837/the-era-of-ai-persuasion-in-elections-is-about-to-begin/) | Channel C Verbatim: For less than a million dollars, anyone can generate personalized, conversational messages for every registered voter in America. The deeper threat isn't that AI can just imitate people -- it's that it can actively persuade people. -- MIT Technology Review

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12-SOC3,Policy Response,,International AI Safety Report 2026 cites study,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,UKAISI-2025-12-SOC3,Channel B Evidence,,International AI Safety Report 2026 (Bengio et al.) cites study,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2025-12-SOC3,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: International AI Safety Report 2026 cites study | Channel B Evidence: International AI Safety Report 2026 (Bengio et al.) cites study | Media Outlets: MIT Technology Review (https://www.technologyreview.com/2025/12/05/1128837/the-era-of-ai-persuasion-in-elections-is-about-to-begin/) | Social Highlights: Tom Stafford (independent psychology researcher) Substack 'Language models are persuasive -- and that's a good thing' (https://tomstafford.substack.com/p/language-models-are-persuasive-and) | Channel C Verbatim: For less than a million dollars, anyone can generate personalized, conversational messages for every registered voter in America. The deeper threat isn't that AI can just imitate people -- it's that it can actively persuade people. -- MIT Technology Review

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability trend; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence; aggregate/trend result rather than a discrete remediable finding. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Policy Level: Non-binding policy uptake | Policy Response: International AI Safety Report 2026 cites study | Channel B Evidence: International AI Safety Report 2026 (Bengio et al.) cites study | Media Outlets: MIT Technology Review (https://www.technologyreview.com/2025/12/05/1128837/the-era-of-ai-persuasion-in-elections-is-about-to-begin/) | Social Highlights: Tom Stafford (independent psychology researcher) Substack 'Language models are persuasive -- and that's a good thing' (https://tomstafford.substack.com/p/language-models-are-persuasive-and) | Channel C Verbatim: For less than a million dollars, anyone can generate personalized, conversational messages for every registered voter in America. The deeper threat isn't that AI can just imitate people -- it's that it can actively persuade people. -- MIT Technology Review

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2025-12a-ALI1,Sources Checked (channel A),,AISI research page; Google Scholar; no company statements found.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
