Finding ID,Tier,Publication Date,Institution,Report ID,Report Title
SHANGHAIAILAB-2025-06-GOV1,B,2025-06-03,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-06,Argus Inspection: Do Multimodal Large Language Models Posses
SHANGHAIAILAB-2025-06-ALI1,B,2025-06-03,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-06b,Demystifying Reasoning Dynamics with Mutual Information: Thi
CIP-2025-07-HUM1,B,2025-07-11,Collective Intelligence Project (Weval),CIP-2025-07,DEEPSEEK Model Card (Weval)
CIP-2025-07-JAI1,B,2025-07-11,Collective Intelligence Project (Weval),CIP-2025-07,DEEPSEEK Model Card (Weval)
SHANGHAIAILAB-2025-07-GOV1,B,2025-07-13,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07,Reflection-Bench: Evaluating Epistemic Agency in Large Langu
SHANGHAIAILAB-2025-07-SOC4,B,2025-07-27,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07b,The Tug of War Within: Mitigating the Fairness-Privacy Confl
SHANGHAIAILAB-2025-07-GOV2,B,2025-07-27,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07c,EvoBench: Towards Real-world LLM-Generated Text Detection Be
NETWORK-2025-07-AUT1,B,2025-07-30,International Network of AI Safety Institutes,NETWORK-2025-07,Advancing Methodologies for AI Agent Evaluation (Int'l Netwo
NETWORK-2025-07-AUT2,B,2025-07-30,International Network of AI Safety Institutes,NETWORK-2025-07,Advancing Methodologies for AI Agent Evaluation (Int'l Netwo
NETWORK-2025-07-AUT3,B,2025-07-30,International Network of AI Safety Institutes,NETWORK-2025-07,Advancing Methodologies for AI Agent Evaluation (Int'l Netwo
NETWORK-2025-07-JAI1,B,2025-07-30,International Network of AI Safety Institutes,NETWORK-2025-07,Advancing Methodologies for AI Agent Evaluation (Int'l Netwo
CIP-2025-08-GOV2,B,2025-08-04,Collective Intelligence Project (Weval),CIP-2025-08c,CLAUDE SONNET Model Card (Weval)
CIP-2025-08-HUM6,B,2025-08-04,Collective Intelligence Project (Weval),CIP-2025-08c,CLAUDE SONNET Model Card (Weval)
CIP-2025-08-JAI11,B,2025-08-04,Collective Intelligence Project (Weval),CIP-2025-08c,CLAUDE SONNET Model Card (Weval)
CIP-2025-08-BIO7,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08,GPT-4.1 Model Card (Weval)
CIP-2025-08-JAI4,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-SONNET-4,CLAUDE-SONNET-4 Model Card
CIP-2025-08-SOC4,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-SONNET-4,CLAUDE-SONNET-4 Model Card
CIP-2025-08-JAI5,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-DEEPSEEK-R1,DEEPSEEK-R1 Model Card
CIP-2025-08-SOC5,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-DEEPSEEK-R1,DEEPSEEK-R1 Model Card
CIP-2025-08-HUM3,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3,MISTRAL-MEDIUM-3 Model Card
CIP-2025-08-HUM4,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3,MISTRAL-MEDIUM-3 Model Card
CIP-2025-08-ALI2,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08b,GROK-3 Model Card (Weval)
CIP-2025-08-JAI8,B,2025-08-06,Collective Intelligence Project (Weval),CIP-2025-08b,GROK-3 Model Card (Weval)
CIP-2025-08-JAI1,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET,CLAUDE-3-5-SONNET Model Card
CIP-2025-08-BIO2,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET,CLAUDE-3-7-SONNET Model Card
CIP-2025-08-BIO3,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET,CLAUDE-3-7-SONNET Model Card
CIP-2025-08-JAI2,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-OPUS-4,CLAUDE-OPUS-4 Model Card
CIP-2025-08-SOC2,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-OPUS-4,CLAUDE-OPUS-4 Model Card
CIP-2025-08-BIO5,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GEMINI-25-FLASH,GEMINI-2.5-FLASH Model Card
CIP-2025-08-HUM1,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GEMINI-25-PRO,GEMINI-2.5-PRO Model Card
CIP-2025-08-SOC6,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GPT-4O,GPT-4O Model Card
CIP-2025-08-JAI9,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GROK-3-MINI,GROK-3-MINI Model Card
CIP-2025-08-BIO11,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-O4-MINI,O4-MINI Model Card
CIP-2025-08-SOC7,B,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-O4-MINI,O4-MINI Model Card
CIP-2025-08-JAI3,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41,Claude Opus 4.1 Model Card (Weval)
CIP-2025-08-SOC3,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41,Claude Opus 4.1 Model Card (Weval)
CIP-2025-08-ALI3,B,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GROK-4,GROK-4 Model Card
CIP-2025-08-JAI7,B,2025-08-20,Collective Intelligence Project (Weval),CIP-2025-08-GPT5,GPT-5 Model Card (Weval)
CIP-2025-08-BIO12,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B,QWEN3-30B Model Card
CIP-2025-08-GOV1,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B,QWEN3-30B Model Card
CIP-2025-08-HUM5,B,2025-08-25,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-QWEN3-30B,QWEN3-30B Model Card
CIP-2025-08-BIO10,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU,HAIKU Model Card
CIP-2025-08-HUM2,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU,HAIKU Model Card
CIP-2025-08-JAI10,B,2025-08-26,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-HAIKU,HAIKU Model Card
JOINT-2025-09-BIO2,B,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE,Working with US CAISI and UK AISI to build more secure AI sy
CIP-2025-09-BIO3,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-20B,GPT-OSS-20B Model Card
CIP-2025-09-BIO4,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-20B,GPT-OSS-20B Model Card
CIP-2025-09-BIO2,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-120B,GPT-OSS-120B Model Card
CIP-2025-09-HUM2,B,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GPT-OSS-120B,GPT-OSS-120B Model Card
SCALEAI-2025-10-AUT1,B,2025-10-15,Scale AI,SCALEAI-2025-10,Beyond Seeing: Evaluating Multimodal LLMs On Tool-enabled Im
GRAYSWAN-2025-12-CYB3,B,2025-12-01,Gray Swan AI,GRAYSWAN-2025-12,Comparing AI Agents to Cybersecurity Professionals In Real-W
FARAI-2026-02-AUT1,B,2026-02-17,FAR.AI,FARAI-2026-02,Obfuscation atlas
FARAI-2026-02-JAI1,B,2026-02-17,FAR.AI,FARAI-2026-02,Obfuscation atlas
UKAISI-2026-02-ALI1,B,2026-02-21,UK AISI,UKAISI-2026-02c,When Do LLM Preferences Predict Downstream Behavior?
CRUX-2026-04-AUT1,B,2026-04-16,Princeton CRUX,CRUX-2026-04,CRUX #1: Tasking an agent with building and publishing an iO
CRUX-2026-04-AUT2,B,2026-04-16,Princeton CRUX,CRUX-2026-04,CRUX #1: Tasking an agent with building and publishing an iO
SCALEAI-2026-04-AUT6,B,2026-04-16,Scale AI,SCALEAI-2026-04,HiL Bench
SCALEAI-2026-05-AUT1,B,2026-05-07,Scale AI,SCALEAI-2026-05,Coding Agent Eval
SCALEAI-2026-05-AUT2,B,2026-05-07,Scale AI,SCALEAI-2026-05,Coding Agent Eval
SCALEAI-2026-07-ALI1,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY,DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Dru
SCALEAI-2026-07-AUT3,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY,DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Dru
SCALEAI-2026-07-BIO1,B,2026-06-30,Scale AI,SCALEAI-2026-06-DRUGDISCOVERY,DrugDiscoveryBench: Can Coding Agents Assist Early-Stage Dru
SECUREBIO-2026-07-JAI1,B,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
CRUX-2026-07-AUT1,B,2026-07-29,Princeton CRUX,CRUX-2026-07,Can AI agents conduct open-ended AI research? Early evidence
CRUX-2026-07-AUT2,B,2026-07-29,Princeton CRUX,CRUX-2026-07,Can AI agents conduct open-ended AI research? Early evidence
RAND-2019-07-SOC3,C,2019-07-11,RAND,RAND-2019-07,Algorithmic Equity: A Framework for Social Applications
RAND-2021-07-CYB1,C,2021-07-15,RAND,RAND-2021-07,Exploring the Feasibility and Utility of Machine Learning-As
RAND-2021-07-GOV1,C,2021-07-15,RAND,RAND-2021-07,Exploring the Feasibility and Utility of Machine Learning-As
RAND-2021-08-GOV1,C,2021-08-12,RAND,RAND-2021-08,A Pilot Study Investigating STEM Learners' Ability to Deciph
RAND-2021-08-BIO1,C,2021-08-26,RAND,RAND-2021-08b,Narrative Review and Evidence Mapping: Artificial Intelligen
RAND-2021-08-BIO2,C,2021-08-26,RAND,RAND-2021-08b,Narrative Review and Evidence Mapping: Artificial Intelligen
RAND-2021-08-BIO3,C,2021-08-26,RAND,RAND-2021-08b,Narrative Review and Evidence Mapping: Artificial Intelligen
RAND-2021-08-BIO4,C,2021-08-26,RAND,RAND-2021-08b,Narrative Review and Evidence Mapping: Artificial Intelligen
SCALEAI-2021-10-GOV1,C,2021-10-11,Scale AI,SCALEAI-2021-10,DEBAGREEMENT: A comment-reply dataset for (dis)agreement det
RANDEU-2022-04-BIO1,C,2022-04-25,RAND Europe,RANDEU-2022-04,"Labelling initiatives, codes of conduct and other self-regul"
RANDEU-2022-04-BIO2,C,2022-04-25,RAND Europe,RANDEU-2022-04,"Labelling initiatives, codes of conduct and other self-regul"
RANDEU-2022-04-BIO3,C,2022-04-25,RAND Europe,RANDEU-2022-04,"Labelling initiatives, codes of conduct and other self-regul"
FARAI-2022-09-GOV1,C,2022-09-21,FAR.AI,FARAI-2022-09,imitation: Clean Imitation Learning Implementations
RAND-2022-10-BIO1,C,2022-10-17,RAND,RAND-2022-10,Artificial Intelligence Applications Used in the Clinical Re
RAND-2022-10-BIO2,C,2022-10-17,RAND,RAND-2022-10,Artificial Intelligence Applications Used in the Clinical Re
RAND-2022-10-BIO3,C,2022-10-17,RAND,RAND-2022-10,Artificial Intelligence Applications Used in the Clinical Re
RAND-2022-10-GOV1,C,2022-10-17,RAND,RAND-2022-10,Artificial Intelligence Applications Used in the Clinical Re
SCALEAI-2023-09-GOV1,C,2023-10-05,Scale AI,SCALEAI-2023-10,A Holistic Approach For Test And Evaluation Of Large Languag
SCALEAI-2023-09-JAI1,C,2023-10-05,Scale AI,SCALEAI-2023-10,A Holistic Approach For Test And Evaluation Of Large Languag
SHANGHAIAILAB-2024-02-GOV2,C,2024-02-07,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02-SALAD,SALAD-Bench: A Hierarchical and Comprehensive Safety Benchma
SHANGHAIAILAB-2024-12-SOC2,C,2024-12-10,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-12,MLLMGuard: A Multi-dimensional Safety Evaluation Suite for M
SHANGHAIAILAB-2025-03-AUT1,C,2025-03-28,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-03,ADAM: An Embodied Causal Agent in Open-World Environments (I
NETWORK-2025-07-CYB1,C,2025-07-30,International Network of AI Safety Institutes,NETWORK-2025-07,Advancing Methodologies for AI Agent Evaluation (Int'l Netwo
PALISADE-2025-08-AUT1,C,2025-08-26,Palisade Research,PALISADE-2025-08-CABLE,Palisade Hacking Cable Technical Report
PALISADE-2025-08-CYB2,C,2025-08-26,Palisade Research,PALISADE-2025-08-CABLE,Palisade Hacking Cable Technical Report
JOINT-2025-09-CYB3,C,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE,Working with US CAISI and UK AISI to build more secure AI sy
JOINT-2025-09-JAI4,C,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE,Working with US CAISI and UK AISI to build more secure AI sy
SCALEAI-2025-09-GOV1,C,2025-09-19,Scale AI,SCALEAI-2025-09,SWEAP Eval Scale
GRAYSWAN-2025-12-JAI1,C,2025-12-01,Gray Swan AI,GRAYSWAN-2025-12,Comparing AI Agents to Cybersecurity Professionals In Real-W
LATTICEFLOW-2026-02-AUT1,C,2026-02-10,LatticeFlow AI,LATTICEFLOW-2026-02,First FINMA-Aligned Technical Blueprint Sets a New Standard 
RAND-2026-02-CYB1,C,2026-02-12,RAND,RAND-2026-02,AI Security Guide and  Risk Assessment Tool
FARAI-2026-02-HUM2,C,2026-02-17,FAR.AI,FARAI-2026-02,Obfuscation atlas
FARAI-2026-02-HUM3,C,2026-02-17,FAR.AI,FARAI-2026-02,Obfuscation atlas
CRUX-2026-04-AUT3,C,2026-04-16,Princeton CRUX,CRUX-2026-04,CRUX #1: Tasking an agent with building and publishing an iO
CRUX-2026-04-CYB1,C,2026-04-16,Princeton CRUX,CRUX-2026-04,CRUX #1: Tasking an agent with building and publishing an iO
SECUREBIO-2026-07-BIO6,C,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
SECUREBIO-2026-07-BIO7,C,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
SECUREBIO-2026-07-BIO8,C,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
SECUREBIO-2026-07-BIO9,C,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
SECUREBIO-2026-07-BIO10,C,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
SECUREBIO-2026-07-JAI2,C,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
