Original Finding ID,Final Finding ID,Change Type,Old Value,New Value,Reason / provenance,Source URL,Final active row
SCALEAI-2025-09b-GOV3,SCALEAI-2025-09b-GOV3,FINDING QUOTE,Google (Gemini variants): ±9–14%,"This variance occurred in our tests of models from OpenAI, Google, and Anthropic, with the following ranges of variance, suggesting a systemic challenge for current LLM provider APIs: Google (Gemini variants): ±9–14%.",Fuller verbatim source passage applied.,https://scale.com/blog/smoothing-out-llm-variance,51
SCALEAI-2025-09b-GOV3,SCALEAI-2025-09b-GOV3,TIER,A,C,"Evaluation-method reliability finding; provider models are measurement instruments, not accountable subjects.",https://scale.com/blog/smoothing-out-llm-variance,51
SCALEAI-2025-11b-ALI1,SCALEAI-2025-11b-ALI1,TIER,A,B,Benchmark hallucination rate without a predefined dangerous threshold or a concrete downstream harm.,https://scale.com/blog/enterprise-rl-agents,52
SCALEAI-2026-05ad-JAI1,SCALEAI-2026-05ad-JAI1,FINDING QUOTE,attack success rises from 1.8% to 34.0% for o3,"We evaluate ten frontier LLMs and find that clarification-seeking consistently and substantially amplifies vulnerability. For instance, attack success rises from 1.8% to 34.0% for o3 and from 2.2% to 35.7% for Gemini-3-Flash.",Fuller verbatim source passage applied.,https://labs.scale.com/papers/aspi,55
SCALEAI-2026-05ad-JAI2,SCALEAI-2026-05ad-JAI2,FINDING QUOTE,from 2.2% to 35.7% for Gemini-3-Flash,"We evaluate ten frontier LLMs and find that clarification-seeking consistently and substantially amplifies vulnerability. For instance, attack success rises from 1.8% to 34.0% for o3 and from 2.2% to 35.7% for Gemini-3-Flash.",Fuller verbatim source passage applied.,https://labs.scale.com/papers/aspi,56
SCALEAI-2026-05s-AUT3,SCALEAI-2026-05s-AUT3,TIER,A,B,"Solution lookup exposes benchmark contamination/harness design, not a response-trackable harmful model finding.",https://labs.scale.com/leaderboard/sweatlas-tw,60
SCALEAI-2026-05s-AUT4,SCALEAI-2026-05s-AUT4,TIER,A,B,"Solution lookup exposes benchmark contamination/harness design, not a response-trackable harmful model finding.",https://labs.scale.com/leaderboard/sweatlas-tw,61
OPENAI-2025-07-SELF-BIO1,OPENAI-2025-07-SELF-BIO1,TIER,A,B,Relative capability uplift without crossing a dangerous threshold; the hard VCT tasks still failed.,https://deploymentsafety.openai.com/chatgpt-agent,64
OPENAI-2025-07-SELF-BIO3,OPENAI-2025-07-SELF-BIO3,SOURCE URL,https://deploymentsafety.openai.com/chatgpt-agent,https://deploymentsafety.openai.com/chatgpt-agent/user-confirmations,More precise or repaired primary-source URL applied.,https://deploymentsafety.openai.com/chatgpt-agent/user-confirmations,66
SECUREBIO-2026-06b-BIO2,SECUREBIO-2026-06b-BIO2,SOURCE URL,https://securebio.org/blog/How-frontier-AI-models-perform-on-viral-DNA-assembly-tasks/index.html,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,More precise or repaired primary-source URL applied.,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,67
SECUREBIO-2026-06b-BIO3,SECUREBIO-2026-06b-BIO3,SOURCE URL,https://securebio.org/blog/How-frontier-AI-models-perform-on-viral-DNA-assembly-tasks/index.html,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,More precise or repaired primary-source URL applied.,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,68
SECUREBIO-2026-06b-BIO5,SECUREBIO-2026-06b-BIO5,SOURCE URL,https://securebio.org/blog/How-frontier-AI-models-perform-on-viral-DNA-assembly-tasks/index.html,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,More precise or repaired primary-source URL applied.,https://securebio.org/blog/How-frontier-AI-models-perform-on%E2%80%93viral-DNA%E2%80%93assembly-tasks/,69
SECUREBIO-2023-10-BIO1,SECUREBIO-2023-10-BIO1,PUBLICATION DATE,2023-10,2023-10-25,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/abs/2310.18233,76
SECUREBIO-2023-10-BIO1,SECUREBIO-2023-10-BIO1,TIER,A,B,"The concerning behavior occurs in an evaluator-created safeguard-removed fine-tune, so a response from the original developer is not reasonably attributable.",https://arxiv.org/abs/2310.18233,76
SHANGHAIAILAB-2025-07-JAI1,SHANGHAIAILAB-2025-07-JAI1,PUBLICATION DATE,2025-07,2025-07-03,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/pdf/2507.02844,77
SHANGHAIAILAB-2025-07-JAI2,SHANGHAIAILAB-2025-07-JAI2,PUBLICATION DATE,2025-07,2025-07-03,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/pdf/2507.02844,78
OPENAI-2026-04-SELF-CYB4,OPENAI-2026-04-SELF-CYB4,SOURCE URL,https://deploymentsafety.openai.com/gpt-5-5,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,More precise or repaired primary-source URL applied.,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,83
ANTHROPIC-2025-09-SELF-ALI1,ANTHROPIC-2025-09-SELF-ALI1,PUBLICATION DATE,2025-09,2025-09-29,Source-visible date applied. Weval rows use the card page Updated date.,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,84
ANTHROPIC-2026-XX-MYTHOS-ALI1,ANTHROPIC-2026-04-MYTHOS-ALI1,FINDING ID,ANTHROPIC-2026-XX-MYTHOS-ALI1,ANTHROPIC-2026-04-MYTHOS-ALI1,ID regenerated from the verified report date/identity.,https://www.anthropic.com/claude-mythos-preview-system-card,85
ANTHROPIC-2026-XX-MYTHOS-ALI1,ANTHROPIC-2026-04-MYTHOS-ALI1,REPORT ID,ANTHROPIC-2026-XX-MYTHOS,ANTHROPIC-2026-04-MYTHOS,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://www.anthropic.com/claude-mythos-preview-system-card,85
ANTHROPIC-2026-XX-MYTHOS-ALI1,ANTHROPIC-2026-04-MYTHOS-ALI1,REPORT TITLE,Mythos Preview System Card,Claude Mythos Preview System Card,Exact primary-source title applied.,https://www.anthropic.com/claude-mythos-preview-system-card,85
ANTHROPIC-2026-XX-MYTHOS-ALI1,ANTHROPIC-2026-04-MYTHOS-ALI1,PUBLICATION DATE,2026,2026-04-07,Source-visible date applied. Weval rows use the card page Updated date.,https://www.anthropic.com/claude-mythos-preview-system-card,85
ANTHROPIC-2026-XX-MYTHOS-ALI1,ANTHROPIC-2026-04-MYTHOS-ALI1,TIER,A,B,Comparative “more aggressive” characterization without a defined threshold or a concrete harmful act.,https://www.anthropic.com/claude-mythos-preview-system-card,85
CIP-WEVAL-CLAUDE-3-5-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET-SOC1,FINDING ID,CIP-WEVAL-CLAUDE-3-5-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/claude-3-5-sonnet,90
CIP-WEVAL-CLAUDE-3-5-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET-SOC1,REPORT ID,CIP-WEVAL-CLAUDE-3-5-SONNET,CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/claude-3-5-sonnet,90
CIP-WEVAL-CLAUDE-3-5-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/claude-3-5-sonnet,90
CIP-WEVAL-CLAUDE-3-7-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET-SOC1,FINDING ID,CIP-WEVAL-CLAUDE-3-7-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/claude-3-7-sonnet,91
CIP-WEVAL-CLAUDE-3-7-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET-SOC1,REPORT ID,CIP-WEVAL-CLAUDE-3-7-SONNET,CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/claude-3-7-sonnet,91
CIP-WEVAL-CLAUDE-3-7-SONNET-SOC1,CIP-2025-08-WEVAL-CLAUDE-3-7-SONNET-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/claude-3-7-sonnet,91
CIP-WEVAL-CLAUDE-OPUS-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-OPUS-4-SOC1,FINDING ID,CIP-WEVAL-CLAUDE-OPUS-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-OPUS-4-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/claude-opus-4,92
CIP-WEVAL-CLAUDE-OPUS-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-OPUS-4-SOC1,REPORT ID,CIP-WEVAL-CLAUDE-OPUS-4,CIP-2025-08-WEVAL-CLAUDE-OPUS-4,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/claude-opus-4,92
CIP-WEVAL-CLAUDE-OPUS-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-OPUS-4-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/claude-opus-4,92
CIP-WEVAL-CLAUDE-SONNET-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-SONNET-4-SOC1,FINDING ID,CIP-WEVAL-CLAUDE-SONNET-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-SONNET-4-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/claude-sonnet-4,93
CIP-WEVAL-CLAUDE-SONNET-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-SONNET-4-SOC1,REPORT ID,CIP-WEVAL-CLAUDE-SONNET-4,CIP-2025-08-WEVAL-CLAUDE-SONNET-4,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/claude-sonnet-4,93
CIP-WEVAL-CLAUDE-SONNET-4-SOC1,CIP-2025-08-WEVAL-CLAUDE-SONNET-4-SOC1,PUBLICATION DATE,,2025-08-06,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/claude-sonnet-4,93
CIP-WEVAL-DEEPSEEK-R1-SOC1,CIP-2025-08-WEVAL-DEEPSEEK-R1-SOC1,FINDING ID,CIP-WEVAL-DEEPSEEK-R1-SOC1,CIP-2025-08-WEVAL-DEEPSEEK-R1-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/deepseek-r1,94
CIP-WEVAL-DEEPSEEK-R1-SOC1,CIP-2025-08-WEVAL-DEEPSEEK-R1-SOC1,REPORT ID,CIP-WEVAL-DEEPSEEK-R1,CIP-2025-08-WEVAL-DEEPSEEK-R1,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/deepseek-r1,94
CIP-WEVAL-DEEPSEEK-R1-SOC1,CIP-2025-08-WEVAL-DEEPSEEK-R1-SOC1,PUBLICATION DATE,,2025-08-06,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/deepseek-r1,94
CIP-WEVAL-DEEPSEEK-SOC1,,REMOVE OVERLAP,Active corpus,Removed sheet,Removed overlapping generic family aggregate; model-specific DeepSeek-R1 card retained.,https://weval.org/cards/deepseek,
CIP-WEVAL-GEMINI-25-FLASH-SOC1,CIP-2025-08-WEVAL-GEMINI-25-FLASH-SOC1,FINDING ID,CIP-WEVAL-GEMINI-25-FLASH-SOC1,CIP-2025-08-WEVAL-GEMINI-25-FLASH-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/gemini-2.5-flash,95
CIP-WEVAL-GEMINI-25-FLASH-SOC1,CIP-2025-08-WEVAL-GEMINI-25-FLASH-SOC1,REPORT ID,CIP-WEVAL-GEMINI-25-FLASH,CIP-2025-08-WEVAL-GEMINI-25-FLASH,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/gemini-2.5-flash,95
CIP-WEVAL-GEMINI-25-FLASH-SOC1,CIP-2025-08-WEVAL-GEMINI-25-FLASH-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/gemini-2.5-flash,95
CIP-WEVAL-GEMINI-25-PRO-SOC1,CIP-2025-08-WEVAL-GEMINI-25-PRO-SOC1,FINDING ID,CIP-WEVAL-GEMINI-25-PRO-SOC1,CIP-2025-08-WEVAL-GEMINI-25-PRO-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/gemini-2.5-pro,96
CIP-WEVAL-GEMINI-25-PRO-SOC1,CIP-2025-08-WEVAL-GEMINI-25-PRO-SOC1,REPORT ID,CIP-WEVAL-GEMINI-25-PRO,CIP-2025-08-WEVAL-GEMINI-25-PRO,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/gemini-2.5-pro,96
CIP-WEVAL-GEMINI-25-PRO-SOC1,CIP-2025-08-WEVAL-GEMINI-25-PRO-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/gemini-2.5-pro,96
CIP-WEVAL-GLM-45-SOC1,CIP-2025-09-WEVAL-GLM-45-SOC1,FINDING ID,CIP-WEVAL-GLM-45-SOC1,CIP-2025-09-WEVAL-GLM-45-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/glm-4.5,97
CIP-WEVAL-GLM-45-SOC1,CIP-2025-09-WEVAL-GLM-45-SOC1,REPORT ID,CIP-WEVAL-GLM-45,CIP-2025-09-WEVAL-GLM-45,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/glm-4.5,97
CIP-WEVAL-GLM-45-SOC1,CIP-2025-09-WEVAL-GLM-45-SOC1,PUBLICATION DATE,,2025-09-29,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/glm-4.5,97
CIP-WEVAL-GPT-41-MINI-SOC1,CIP-2025-07-WEVAL-GPT-41-MINI-SOC1,FINDING ID,CIP-WEVAL-GPT-41-MINI-SOC1,CIP-2025-07-WEVAL-GPT-41-MINI-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/gpt-4.1-mini,98
CIP-WEVAL-GPT-41-MINI-SOC1,CIP-2025-07-WEVAL-GPT-41-MINI-SOC1,REPORT ID,CIP-WEVAL-GPT-41-MINI,CIP-2025-07-WEVAL-GPT-41-MINI,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/gpt-4.1-mini,98
CIP-WEVAL-GPT-41-MINI-SOC1,CIP-2025-07-WEVAL-GPT-41-MINI-SOC1,PUBLICATION DATE,,2025-07-11,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/gpt-4.1-mini,98
CIP-WEVAL-GPT-41-SOC1,,REMOVE OVERLAP,Active corpus,Removed sheet,Removed overlapping generic family aggregate; GPT-4.1-mini card retained.,https://weval.org/cards/gpt-4.1,
CIP-WEVAL-GPT-4O-SOC1,CIP-2025-08-WEVAL-GPT-4O-SOC1,FINDING ID,CIP-WEVAL-GPT-4O-SOC1,CIP-2025-08-WEVAL-GPT-4O-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/gpt-4o,99
CIP-WEVAL-GPT-4O-SOC1,CIP-2025-08-WEVAL-GPT-4O-SOC1,REPORT ID,CIP-WEVAL-GPT-4O,CIP-2025-08-WEVAL-GPT-4O,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/gpt-4o,99
CIP-WEVAL-GPT-4O-SOC1,CIP-2025-08-WEVAL-GPT-4O-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/gpt-4o,99
CIP-WEVAL-GPT-OSS-120B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-120B-SOC1,FINDING ID,CIP-WEVAL-GPT-OSS-120B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-120B-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/gpt-oss-120b,100
CIP-WEVAL-GPT-OSS-120B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-120B-SOC1,REPORT ID,CIP-WEVAL-GPT-OSS-120B,CIP-2025-09-WEVAL-GPT-OSS-120B,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/gpt-oss-120b,100
CIP-WEVAL-GPT-OSS-120B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-120B-SOC1,PUBLICATION DATE,,2025-09-29,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/gpt-oss-120b,100
CIP-WEVAL-GPT-OSS-20B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-20B-SOC1,FINDING ID,CIP-WEVAL-GPT-OSS-20B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-20B-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/gpt-oss-20b,101
CIP-WEVAL-GPT-OSS-20B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-20B-SOC1,REPORT ID,CIP-WEVAL-GPT-OSS-20B,CIP-2025-09-WEVAL-GPT-OSS-20B,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/gpt-oss-20b,101
CIP-WEVAL-GPT-OSS-20B-SOC1,CIP-2025-09-WEVAL-GPT-OSS-20B-SOC1,PUBLICATION DATE,,2025-09-29,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/gpt-oss-20b,101
CIP-WEVAL-GROK-3-MINI-SOC1,CIP-2025-08-WEVAL-GROK-3-MINI-SOC1,FINDING ID,CIP-WEVAL-GROK-3-MINI-SOC1,CIP-2025-08-WEVAL-GROK-3-MINI-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/grok-3-mini,102
CIP-WEVAL-GROK-3-MINI-SOC1,CIP-2025-08-WEVAL-GROK-3-MINI-SOC1,REPORT ID,CIP-WEVAL-GROK-3-MINI,CIP-2025-08-WEVAL-GROK-3-MINI,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/grok-3-mini,102
CIP-WEVAL-GROK-3-MINI-SOC1,CIP-2025-08-WEVAL-GROK-3-MINI-SOC1,PUBLICATION DATE,,2025-08-12,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/grok-3-mini,102
CIP-WEVAL-GROK-3-SOC1,,REMOVE OVERLAP,Active corpus,Removed sheet,Removed overlapping generic family aggregate; Grok-3-mini card retained.,https://weval.org/cards/grok-3,
CIP-WEVAL-GROK-4-SOC1,CIP-2025-08-WEVAL-GROK-4-SOC1,FINDING ID,CIP-WEVAL-GROK-4-SOC1,CIP-2025-08-WEVAL-GROK-4-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/grok-4,103
CIP-WEVAL-GROK-4-SOC1,CIP-2025-08-WEVAL-GROK-4-SOC1,REPORT ID,CIP-WEVAL-GROK-4,CIP-2025-08-WEVAL-GROK-4,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/grok-4,103
CIP-WEVAL-GROK-4-SOC1,CIP-2025-08-WEVAL-GROK-4-SOC1,PUBLICATION DATE,,2025-08-17,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/grok-4,103
CIP-WEVAL-HAIKU-SOC1,CIP-2025-08-WEVAL-HAIKU-SOC1,FINDING ID,CIP-WEVAL-HAIKU-SOC1,CIP-2025-08-WEVAL-HAIKU-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/haiku,104
CIP-WEVAL-HAIKU-SOC1,CIP-2025-08-WEVAL-HAIKU-SOC1,REPORT ID,CIP-WEVAL-HAIKU,CIP-2025-08-WEVAL-HAIKU,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/haiku,104
CIP-WEVAL-HAIKU-SOC1,CIP-2025-08-WEVAL-HAIKU-SOC1,PUBLICATION DATE,,2025-08-26,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/haiku,104
CIP-WEVAL-MISTRAL-MEDIUM-3-SOC1,CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3-SOC1,FINDING ID,CIP-WEVAL-MISTRAL-MEDIUM-3-SOC1,CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/mistral-medium-3,105
CIP-WEVAL-MISTRAL-MEDIUM-3-SOC1,CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3-SOC1,REPORT ID,CIP-WEVAL-MISTRAL-MEDIUM-3,CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3,Report identity/date normalized; ResearchRubrics duplicate report identity merged where applicable.,https://weval.org/cards/mistral-medium-3,105
CIP-WEVAL-MISTRAL-MEDIUM-3-SOC1,CIP-2025-08-WEVAL-MISTRAL-MEDIUM-3-SOC1,PUBLICATION DATE,,2025-08-06,Source-visible date applied. Weval rows use the card page Updated date.,https://weval.org/cards/mistral-medium-3,105
CIP-WEVAL-O4-MINI-SOC1,CIP-2025-08-WEVAL-O4-MINI-SOC1,FINDING ID,CIP-WEVAL-O4-MINI-SOC1,CIP-2025-08-WEVAL-O4-MINI-SOC1,ID regenerated from the verified report date/identity.,https://weval.org/cards/o4-mini,106
