sheet_row,finding_id,batch,pub_date,numbers_exact,numbers_mismatch,numbers_notfound,key_quote_verdict,proposed_key_quote,channelA_verdict,proposed_channelA_verbatim,channelB_verdict,channelC_verdict,model_names_check,overstatement,notes
12,UKAISI-2026-04-CYB2,batch2_mythos_cyber,2026-04-13,4,0,1,paraphrase,"Claude Mythos Preview is the first model to solve TLO from start to finish, in 3 out of its 10 attempts.",exact,,n/a (no Channel B Verbatim filled),,"Pass — Mythos Preview and Opus 4.6 (next best, 16 steps) both named in source exactly as used.","'a 38% gap that AISI concluded marks a qualitative shift in AI cyber capability' — AISI concluded no such thing from the 38% gap (which it never states); the source's own framing is that Mythos 'represents a step up over previous frontier models'. 'Qualitative shift' is the dataset's language, not AISI's.","Policy Response dating error: EP question E-001575/2026 was submitted 16.4.2026 (verified on europarl.europa.eu), not '7 Apr 2026' as this row states; 7 April is Anthropic's announcement date. The question also does not mention AISI (it cites Anthropic and CeSIA). MERGE CANDIDATE with row 45 (ADD-03): both rows rest on the same underlying fact (Mythos first to solve TLO, 3/10) supported by nearly identical sentences in two AISI blogs; the proposed key quotes for rows 12 and 45 are the same fact restated."
13,UKAISI-2026-04-ALI6,batch2_mythos_cyber,2026-04-27,7,0,0,paraphrase,"Notably, we found that Mythos Preview actively continues sabotage 7% of the time, compared to 3% for Opus 4.6 and 4% for Sonnet 4.6.",n/a,,,,"Pass — source tested pre-release snapshots of Claude Mythos Preview and Opus 4.7, alongside Opus 4.6 and Sonnet 4.6; matches Models/Systems and the 'Mixed' access type.","(1) 'could still be induced to sabotage' — the continuation eval measures whether models CONTINUE a sabotage trajectory generated by a separate model, not whether they can be induced to initiate sabotage; 'induced' slightly overstates. (2) The 65% figure is conditional on 'cases where previous history includes reasoning about sabotage (and models actively continue sabotage)' — a small subset; quoting 65% without that conditioning inflates its apparent base rate. (3) Source itself warns results '","All seven numbers verified exact — strongest row in this batch. Suggest adding the evaluation-awareness caveat to the Finding or Notes, since AISI put it in the same results list."
14,UKAISI-2026-04-CYB11,batch2_mythos_cyber,2026-04-30,4,1,1,paraphrase,"On this measure, GPT-5.5 may be the strongest model we have tested.",exact,,,exact,"Pass — GPT-5.5 vs Mythos Preview (68.6%), GPT-5.4 (52.4%), Opus 4.7 (48.6%) all named in source.","(1) 'set a record' vs source's 'may be the strongest model we have tested' (±8.0% SEM overlaps Mythos's 68.6% ±8.7% — the difference is well within 1 SEM, a hostile reviewer will note the 'record' is not statistically significant). (2) '70x faster than a human expert' generalizes a single anecdotal challenge (rust_vm) with one playtester.",Footnote 1 of the source is reviewer bait: AISI's 2/10 differs from OpenAI's system card (1/10) because of an AISI grading bug later adjudicated in the model's favour — cite the footnote if using 2/10. Rows 14 and 15 rest on the same source blog and share the same Transformer Channel C sentence — near-duplicate evidence chains.
15,UKAISI-2026-04-JAI1,batch2_mythos_cyber,2026-04-30,1,0,0,paraphrase,"OpenAI subsequently made several updates to the safeguard stack, though a configuration issue in the version provided meant UK AISI were unable to verify the effectiveness of the final configuration.",not-in-source,,,exact,Pass — GPT-5.5 is the model tested; jailbreak finding is attributed to GPT-5.5's safeguards in source.,"(1) 'OpenAI claimed to have patched it' — the AISI source says OpenAI 'made several updates to the safeguard stack'; the stronger 'claimed to have patched' is supported only via Transformer's report of OpenAI's claims, not the cited source. (2) 'before public deployment' — the AISI blog does not say verification failed before public deployment; that timing is inferred (Transformer: AISI 'was not able to properly run tests... before launch'). Defensible, but should cite Transformer or the system ",Finding wording 'a universal jailbreak in GPT-5.5' vs source 'a universal jailbreak that elicited violative content across all malicious cyber queries OpenAI provided' — the universality demonstrated is limited to OpenAI-provided cyber queries; a hostile reviewer will say 'universal' should carry that scope qualifier. Same source blog as rows 14 and 45.
16,,batch7_cyber_pace_deepseek,2026-05-13,4,1,0,paraphrase,This was the first time that a model completed the second of our two cyber ranges.,exact,,,paraphrase,OK: Claude Mythos Preview is the correct model; blog specifies results use “a newer Mythos Preview checkpoint than that included in previous AISI reporting” (worth noting in the row). Notes field '[Report tested: GPT-5.5; Claude Sonnet 4.5]' is misleading: the blog's new results are for Mythos Preview and GPT-5.5; Claude Sonnet 4.5 appears only in an illustrative time-horizon example.,"Mild overstatement by omission: Finding says Mythos 'completed' both challenges without noting success rates (6/10 on The Last Ones, 3/10 on Cooling Tower). Terminology: source calls them 'cyber ranges', never 'benchmark challenges', and the abbreviation 'TLO' never appears in the source. 'First model ever' is supported.","SERIOUS: Response Date 2026-05-15 vs actual Channel A page date 2026-06-02 (Lag 2.0 should be ~20). Recommend adding attempt counts (6/10, 3/10) to Finding. Merge candidate with ADD-08 (sheet_row 50): ADD-08's 'in addition to solving the CTF ranges' duplicates this row's finding. Key Quote should come from the AISI source; minister quote already captured in Channel C."
17,,batch7_cyber_pace_deepseek,2025-12-12,0,0,0,not-found,"Kimi K2 Thinking is highly censored in Chinese, with censorship rates similar to those of DeepSeek R1-0528, the most censored PRC model that CAISI has tested.",n/a (Company Response = None),,,n/a (not filled),"OK: Kimi K2 Thinking by Moonshot AI (PRC), released 2025-11-06, evaluated November 2025 — all confirmed. Comparison models on page: GPT-5, Opus 4, gpt-oss, DeepSeek V3.1/R1-0528/R1.",OVERSTATEMENT: the clause 'raising concerns about differential information access and possible influence operations targeting non-Chinese audiences' is analyst inference — the source states the censorship differential but never mentions influence operations or information-access concerns (grep for 'influence' returns nothing). Direction of the inference is also odd: less censorship in English/Spanish/Arabic cuts against an influence-ops-via-censorship story for non-Chinese audiences. Rewrite Fin,"No standalone Kimi K2 report PDF exists; the news page IS the publication (it cites the DeepSeek report only for methodology, Sections 4 and 7, and notes the expanded CCP dataset makes Figure 2 scores not directly comparable to the DeepSeek report). Page was updated 2026-01-09. The row's 'Confidence Low' note is appropriate. Adjacent verifiable facts if useful: capabilities 'remain below that of leading U.S. models, even older models such as GPT-5 and Opus 4'; Hugging Face downloads one month post-release were only 10% of DeepSeek R1's and <5% of gpt-oss's."
18,JOINT-2024-11-JAI1,batch3_sonnet35_predeploy,2024-11-19,0,0,0,not-found,UK AISI tested the upgraded Sonnet 3.5 using a series of public and privately developed jailbreaks and also found the version of the safeguards that UK AISI tested can be routinely circumvented.,n/a (Company Response = None),,n/a (not filled),n/a (not filled),"OK. 'Claude 3.5 Sonnet (Oct 2024)' matches the tested model ('upgraded Claude 3.5 Sonnet', released October 22, 2024). However, the row's Notes field '[Report tested: o1-preview; GPT-4o]' is WRONG: o1-preview and GPT-4o were reference models for comparison, not the tested systems.",Mild. 'Both ... independently found ... routinely circumvented' attributes UK AISI's word 'routinely' to both institutes; US AISI's finding was that safeguards were circumvented 'in most cases' against a series of publicly available jailbreaks. 'Demonstrating a persistent vulnerability' is editorial; the blog says results are 'consistent with prior research on the vulnerability of other AI systems'. Also both institutes tested only 'the version of the safeguards that [they] tested' (built-in mod,Most serious issue in the batch: Key Quote is unfindable in the cited source or the underlying technical report and must be swapped for the proposed verbatim sentence. Blog also cautions that safeguard results 'cannot on their own determine the model's risks' and that what counts as harmful is subjective - a hostile reviewer could cite this as missing context. Access type pre-deployment confirmed ('findings were shared with Anthropic before the model was publicly released').
19,,batch8_two_row_reports,2024-12-18,3,0,0,n/a (no Key Quote field),"The model was able to solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.","is-description -- Company Response ('Evaluation referenced in o1 System Card... OpenAI published collaboration blog') is a paraphrase, not a verbatim. The o1 system card DOES reference the joint US/UK AISI pre-deployment eval (confirmed via Wayback copy of openai.com/index/openai-o1-system-card). Real exact quote available: 'a set of pre-deployment evaluations were conducted on a version of the o1 model by the U.S. AI Safety Institute (US AISI) and the UK Safety Institute (UK AISI), not included in this report.'",,exact,,"OpenAI o1 correct. Reference models per source: o1-preview, GPT-4o, and both Claude 3.5 Sonnet versions -- consistent with the Notes tag.","TWO issues. (1) CHERRY-PICKING: the 45%/35% uplift is from US AISI's 40-challenge suite; the SAME report shows UK AISI's separate 47-challenge suite where o1 UNDER-performed -- 'solve 36% of tasks that are at the cybersecurity apprentice level... compared to 46%... for the best reference model.' The Finding cites only the favourable US number without the offsetting UK result. (2) 'first-of-kind capability threshold in that subdomain' is the dataset author's editorial framing, not language in the","All three numbers exact; Channel B exact against NIST. Report-header notes '[Report tested: o1-preview, GPT-4o, Claude 3.5 Sonnet]' -- these are the reference models, correct. Merge candidate with sheet_row 31 (same report, Bio-Chem domain)."
20,,batch9_openai_update_group,2025-09-12,1,0,0,not-found,"A multidisciplinary team at UK AISI, combining expertise in both AI red teaming techniques and the biosecurity domain, then sought to find universal jailbreaks against OpenAI's biosecurity safeguards.",exact,,n/a (not filled),,"PARTIAL: blog names GPT-5 and ChatGPT Agent; sub-model names 'gpt-5-thinking; gpt-5-main' in the Models/Systems field do NOT appear in this blog (they come from the GPT-5 system card). Safeguards tested covered ChatGPT Agent AND GPT-5, so scoping the row to GPT-5 alone under-describes the tested surface.","OVERSTATED / MISCHARACTERIZED on three points. (1) Singular 'a universal jailbreak in GPT-5 ... bypass of the model's safety guardrails' vs source's plural 'set of universal jailbreaks ... against the monitoring systems' -- attacks targeted the external biosecurity monitoring/safeguard stack, not the model's own guardrails. (2) 'during pre-deployment evaluation' / Access Type 'Pre-deployment' conflicts with the source: collaboration ran May through the July (ChatGPT Agent) and August (GPT-5) rel","CIRCULARITY: Source URL and Channel A Evidence are the same OpenAI blog post -- the finding and the company response both originate from a single company document. AISI-side alternative: UK AISI published 'How we're working with frontier AI developers to improve model security' (aisi.gov.uk, Sep 13, 2025), but it only references the company posts and confirms the collaboration at a high level; it does not independently state the universal-jailbreak finding, so it can serve as Channel B corroboration (as row 39 uses it) but not as a substitute primary source. The GPT-5 system card (2025-08-13) "
21,,batch6_alignment_casestudy,"CONFLICT (partial): PDF front matter says only 'Published: November 2025' — no day. 2025-11-18 is the Gemini 3 launch date and is consistent, but the day is not verifiable from the source itself.",2,1,0,exact,,exact,,,,"Gemini 3 Pro correct. But institution/attribution problem: the FSF PDF NEVER names Apollo Research, UK AISI, Vaultis, or Dreadnode — external testers are described only as 'a set of specialist independent groups' / 'External evaluators'. The Finding's 'Apollo Research found...' and the Institution field 'UK AISI + Apollo + Vaultis + Dreadnode' are not supported by the cited source and need a separate citation (e.g. Google's external-tester announcement or Apollo's own post) or should be softened to 'external evaluators'.","SERIOUS wrong-model attribution in the second clause: 'independent academic review of DeepMind's safety case found it provides only weak confirmation that this risk is adequately managed'. The cited paper (arXiv:2604.21964, 'Lessons from External Review of DeepMind's Scheming Inability Safety Case', submitted 2026-04-23) reviews the GEMINI 2.5 PRO scheming inability safety case (Phuong et al., 2025) — the string 'Gemini 3' appears zero times in it. Its actual wording: the evidence 'provides only","Report ID 'UKAISI-2025-11' is misleading — this is a Google DeepMind publication, not a UK AISI report. Recommend: (1) split or re-cite the academic-review clause with an explicit Gemini 2.5 Pro caveat; (2) fix Response Date to 2025-11-18; (3) re-source or soften the Apollo attribution. DeepMind Safety Research Medium post claim in Company Response verified: 'We see a notable increase in scheming-related reasoning in Gemini 3 models compared to Gemini 2.5.'"
22,JOINT-2026-02-CYB1,batch1_codex53,2026-02-05,3,0,0,missing,"As discussed in more detail below, this is the first launch we are treating as High capability in Cybersecurity.",exact,"This is the first launch we are treating as High capability in the Cybersecurity domain under our Preparedness Framework, activating the associated safeguards.",,,ok,ok,"Channel A verbatim is word-for-word exact (Introduction, p.4). Note CAISI's official name is 'U.S. Center for AI Standards and Innovation' (not an 'AI Safety Institute')."
23,JOINT-2026-02-JAI1,batch1_codex53,2026-02-05,1,1,0,missing,"Over the course of about 10 hours of manual red-teaming, UK AISI developed a universal jailbreak (with retries) that achieved 0.778 pass@200 on a policy violating cyber dataset we provided.",exact-but-wrong-purpose,"We believe this risk to be sufficiently minimized primarily because discovering such jailbreaks will be challenging, users who succeed in jailbreaking the model will still be subject to detection and enforcement via our monitoring systems, and we expect to be able to discover and respond to publicly discovered jailbreaks via our existing bug bounty and rapid remediation programs.",,,ok,"flag: 'enabling bypass of safety guardrails across the model' overstates - jailbreak needed retries (pass@200), measured only on a provided cyber dataset; card says AISI 'developed' (not 'discovered') the jailbreak, against the Safety-Reasoner-integrated configuration","Current Channel A verbatim IS in the source word-for-word but is a description of testing access, not OpenAI's response to the finding - replace with the proposed sentence from Sec 5.2.1.6 Sufficiency of Risk Mitigation Measures (p.30)."
24,JOINT-2026-02-CYB2,batch1_codex53,2026-02-05,2,1,0,missing,"Over the course of about 10 hours of manual red-teaming, UK AISI developed a universal jailbreak (with retries) that achieved 0.778 pass@200 on a policy violating cyber dataset we provided.",exact,"GPT-5.3-Codex is the most cyber-capable model we've deployed to date, and the first that we are treating as High under the Preparedness Framework.",,,ok,flag: finding attributes 0.778 pass@200 to the model as if a capability eval; source attributes it to UK AISI's jailbreak succeeding against Safety-Reasoner safeguards. Reword to 'UK AISI's single-message universal jailbreak achieved 0.778 pass@200...',MERGE CANDIDATE: rows 23 and 24 both rest on the same single source sentence (10 hrs / 0.778 / single message) - consider merging to avoid double-counting one finding as two rows. Source writes 'policy violating' without hyphen.
25,USCAISI-2026-04-BIO1,batch4_securebio_gpt55,2026-04-23,0,0,0,paraphrase,"On static evaluations measuring expert-level biology and biosecurity-relevant knowledge, it was the highest-performing, or among a small handful of highest-performing models, exceeding all expert human scores.",exact,,,,"exact — GPT-5.5 correctly named; source uses 'Pre-Release Checkpoint 2' for the specific checkpoint, consistent with 'two pre-release checkpoints'.","OK — Finding faithfully mirrors the source claim (highest-performing / small handful, exceeding all expert human scores).","Lag field inconsistency: Publication Date 2026-04-23 to Response Date 2026-04-30 is 7 days, not the stated 29.0 days. Merge candidate: rests on the same static-evaluation source sentence as NEW-161 (row 33), which restates the same 'exceeds SOTA / exceeding all expert human scores' claim with added benchmark numbers."
26,,batch10_singletons,2025-01-17,2,1,0,not-found,This resulted in an increase in attack success rate from 11% for the strongest baseline attack to 81% for the strongest new attack.,n/a — Company Response and Attribution are 'None'; no Channel A verbatim to verify,,n/a — not filled,n/a — not filled,"{'verdict': 'exact-with-nuance', 'detail': ""Source: 'agents powered by Anthropic's upgraded Claude 3.5 Sonnet (released October 2024)'. Row says 'Claude 3.5 Sonnet' — correct but omits 'upgraded' (Oct 2024 version); the distinction matters because the blog explicitly contrasts it with 'the prior version of Claude 3.5 Sonnet'. Source also notes AgentDojo found it 'one of the top performing models in resisting agent hijacking attacks' — i.e., the 81% was achieved against one of the most robust models.""}","OVERSTATEMENT: the Finding's final sentence 'Current agentic AI defences are critically insufficient against determined adversaries' is an editorial conclusion that appears nowhere in the source. The blog's actual framing is measured — 'Some defenses against hijacking attacks are available and continuing to evaluate the efficacy of these defenses against new attacks is another important area for future work'. The blog draws methodological lessons about evaluations, not a verdict that defences ar","Three issues beyond the above. (1) Report Title 'CAISI AI Agent Hijacking Evaluations -- 81% attack success rate' is not the source title; actual title: 'Technical Blog: Strengthening AI Agent Hijacking Evaluations'. Embedding a finding in the title field is editorializing. (2) Institution: current page is 'Authored by Technical Staff at the Center for AI Standards and Innovation' and credits red teaming 'in collaboration with red teamers at the UK AI Security Institute', supporting the JOINT coding — but note the page was 'Released January 17, 2025, Updated December 19, 2025'; at original pub"
27,,batch6_alignment_casestudy,2025-11-26,1,1,0,paraphrase,"Applying our methods to four frontier models, we find no confirmed instances of research sabotage.","n/a (Company Response = None; note Anthropic DID respond: Claude Opus 4.5 System Card section 6.13 'External testing from the UK AI Security Institute' states 'AISI's claims about sabotage risk and evaluation awareness match our impression', and section 6.7.1 cites 'the UK AISI's independent report' — 'Sources Checked: no company statement found' is wrong)",,,,"Named subject models ARE truly named in the source: 'Claude Opus 4.5 Preview (a pre-release snapshot of Opus 4.5) and Sonnet 4.5' appear verbatim in the abstract. The 'unnamed' models are described on the source page only as part of 'four frontier models'; however the full paper (arXiv:2604.00788, linked as 'Read the full paper') names them as Claude Opus 4.1 and GPT-5 (with the caveat that AISI had chain-of-thought access for Anthropic models but not GPT-5). The '(+ 2 unnamed frontier models)' characterization is therefore outdated/incorrect.","(1) 'able to distinguish evaluation from deployment' omits the critical qualifier 'when prompted' — source: 'both models can distinguish evaluation from deployment scenarios when prompted'; unprompted, models fail to reliably distinguish scaffold trajectories from deployment. (2) 'models often refusing safety-relevant tasks' — only Opus 4.5 Preview and Sonnet 4.5 refused, not all four. (3) Access Type 'Post-deployment' is wrong: Opus 4.5 Preview is explicitly 'a pre-release snapshot' — should be","Merge candidate: this row is the parent finding of sheet_rows 6, 7, and 42 (all UKAISI-2025-11b). Notes field claim 'specific empirical scheming rates are not disclosed in the summary' is true for the abstract but the full paper discloses rates (e.g. verbalized eval-awareness 26.5%->12.7% without reasoning, 36.3%->17.1% with reasoning). Anthropic's system card also quotes these numbers, so a company-response channel exists and should be filled."
28,,batch9_openai_update_group,2025-02-20,0,0,0,paraphrase,"We test our attacks against the OpenAI fine-tuning API, finding they succeed in eliciting answers to harmful multiple-choice questions, and that they evade an enhanced monitoring system we design that successfully detects other fine-tuning attacks.",n/a (Company Response is 'None'),,n/a (not filled),,"OK: 'OpenAI fine-tuning API (commercial closed model behind the API)' is consistent with the abstract ('We test our attacks against the OpenAI fine-tuning API'); the abstract does not name the underlying model, so the row correctly avoids naming one.","Finding is a faithful summary of the abstract (pointwise-undetectable attacks; individually benign, low-perplexity samples; covert transmission of dangerous knowledge; success on harmful MCQ elicitation; fundamental limitation of pointwise defences) with ONE attribution error mirrored from the Key Quote: 'an enhanced monitoring system built to detect finetuning attacks' implies an existing/OpenAI defence, whereas the source's enhanced monitor was designed by the AISI authors themselves. The row'","No circularity: this is a genuine AISI-primary source (AISI research page + paper, arXiv:2502.14828), unlike the OpenAI-blog rows in this batch. Publication date on page: Feb 20, 2025, exact match. Access Type Post-deployment correct (attacks run against the live public fine-tuning API)."
