priority,block,sheet_row,finding_id,check,detail,proposed_fix
,FINALIZED-67,6,UKAISI-2025-11-ALI5,report-group-incoherent,"Report UKAISI-2025-11b: rows [6, 7, 27, 234] disagree on ""Report Title"": ['Investigating Models for Misalignment', 'UK AISI Alignment Evaluation Case-Study (Claude Opus and Sonnet)']",Pick canonical value for whole report
,FINALIZED-67,6,UKAISI-2025-11-ALI5,report-group-incoherent,"Report UKAISI-2025-11b: rows [6, 7, 27, 234] disagree on ""Source URL"": ['https://www.aisi.gov.uk/blog/investigating-models-for-misalignment', 'https://www.aisi.gov.uk/research/uk-aisi-alignment-evaluation-case-stu']",Pick canonical value for whole report
,FINALIZED-67,6,UKAISI-2025-11-ALI5,report-group-incoherent,"Report UKAISI-2025-11b: rows [6, 7, 27, 234] disagree on ""Institution"": ['UK AI Security Institute', 'UK AISI']",Pick canonical value for whole report
,FINALIZED-67,6,UKAISI-2025-11-ALI5,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,6,UKAISI-2025-11-ALI5,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,7,UKAISI-2025-11-ALI6,reportid-mismatch,Finding ID prefix UKAISI-2025-11 != Report ID UKAISI-2025-11b,Align
,FINALIZED-67,7,UKAISI-2025-11-ALI6,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,7,UKAISI-2025-11-ALI6,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,7,UKAISI-2025-11-ALI6,proportionality-formula,"Proportionality ""Under-response (gap)"" != computed ""Accountability gap (no action)"" (Severity C1 × Action None)",Recompute or document override in Notes
,FINALIZED-67,8,UKAISI-2025-12-ALI13,reportid-mismatch,Finding ID prefix UKAISI-2025-12 != Report ID UKAISI-2025-12-16,Align
,FINALIZED-67,8,UKAISI-2025-12-ALI13,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,9,UKAISI-2026-03-CYB1,lag-wrong,Stated lag 14.0 != computed 22,Set Lag=22
,FINALIZED-67,11,UKAISI-2026-04-CYB1,report-group-incoherent,"Report UKAISI-2026-04: rows [11, 12, 14, 15, 34, 45, 97, 98, 99, 238, 254] disagree on ""Report Title"": [""Ask Don't Tell: Reducing Sycophancy in Large Language Models"", ""Our Evaluation of Claude Mythos Preview's Cyber Capabilities"", 'Our Evaluation of OpenAI GPT-5.5 Cyber Capabilities']",Pick canonical value for whole report
,FINALIZED-67,11,UKAISI-2026-04-CYB1,report-group-incoherent,"Report UKAISI-2026-04: rows [11, 12, 14, 15, 34, 45, 97, 98, 99, 238, 254] disagree on ""Publication Date"": ['2026-04-13 00:00:00', '2026-04-28 00:00:00', '2026-04-30 00:00:00']",Pick canonical value for whole report
,FINALIZED-67,11,UKAISI-2026-04-CYB1,report-group-incoherent,"Report UKAISI-2026-04: rows [11, 12, 14, 15, 34, 45, 97, 98, 99, 238, 254] disagree on ""Source URL"": ['https://www.aisi.gov.uk/blog/ask-dont-tell-reducing-sycophancy-in-larg', 'https://www.aisi.gov.uk/blog/our-evaluation-of-claude-mythos-previews-', 'https://www.aisi.gov.uk/blog/our-evaluation-of-openais-gpt-5-5-cyber-c']",Pick canonical value for whole report
,FINALIZED-67,13,UKAISI-2026-04-ALI6,reportid-mismatch,Finding ID prefix UKAISI-2026-04 != Report ID UKAISI-2026-04b,Align
,FINALIZED-67,13,UKAISI-2026-04-ALI6,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,13,UKAISI-2026-04-ALI6,proportionality-formula,"Proportionality ""Under-response (gap)"" != computed ""Accountability gap (no action)"" (Severity C1 × Action None)",Recompute or document override in Notes
,FINALIZED-67,16,UKAISI-2026-05-CYB2,traceability-tag,"Trackable row but Traceability Tag = ""too-recent""",Review
,FINALIZED-67,17,USCAISI-2025-12-SOC1,report-group-incoherent,"Report USCAISI-2025-12: rows [17, 150, 166, 198] disagree on ""Publication Date"": ['2025-12-01 00:00:00', '2025-12-12 00:00:00']",Pick canonical value for whole report
,FINALIZED-67,18,JOINT-2024-11-JAI1,institution-variant,"""Joint UK AISI + US AISI""","Normalize to ""Joint UK AISI + US CAISI"""
,FINALIZED-67,18,JOINT-2024-11-JAI1,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,18,JOINT-2024-11-JAI1,proportionality-formula,"Proportionality ""Under-response (gap)"" != computed ""Accountability gap (no action)"" (Severity C1 × Action None)",Recompute or document override in Notes
,FINALIZED-67,19,JOINT-2024-12-CYB1,institution-variant,"""Joint UK AISI + US AISI""","Normalize to ""Joint UK AISI + US CAISI"""
,FINALIZED-67,19,JOINT-2024-12-CYB1,chA-verbatim-missing,Action Level acknowledged but Channel A Verbatim empty,Add exact quote from company source
,FINALIZED-67,19,JOINT-2024-12-CYB1,chA-date-missing,Action Level acknowledged but Response Date empty,Fill
,FINALIZED-67,19,JOINT-2024-12-CYB1,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,21,UKAISI-2025-11-ALI11,report-group-incoherent,"Report UKAISI-2025-11: rows [21, 36, 80, 107, 152, 183, 205, 206] disagree on ""Report Title"": ['CTRL-ALT-DECEIT: Sabotage Evaluations for Automated AI R&D (NeurIPS 20', 'Gemini 3 Pro Frontier Safety Framework Report']",Pick canonical value for whole report
,FINALIZED-67,21,UKAISI-2025-11-ALI11,report-group-incoherent,"Report UKAISI-2025-11: rows [21, 36, 80, 107, 152, 183, 205, 206] disagree on ""Publication Date"": ['2025-11-01 00:00:00', '2025-11-13 00:00:00', '2025-11-18 00:00:00']",Pick canonical value for whole report
,FINALIZED-67,21,UKAISI-2025-11-ALI11,report-group-incoherent,"Report UKAISI-2025-11: rows [21, 36, 80, 107, 152, 183, 205, 206] disagree on ""Source URL"": ['https://arxiv.org/abs/2511.09904', 'https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_']",Pick canonical value for whole report
,FINALIZED-67,21,UKAISI-2025-11-ALI11,report-group-incoherent,"Report UKAISI-2025-11: rows [21, 36, 80, 107, 152, 183, 205, 206] disagree on ""Institution"": ['UK AISI', 'UK AISI + Apollo + Vaultis + Dreadnode']",Pick canonical value for whole report
,FINALIZED-67,25,USCAISI-2026-04-BIO1,report-group-incoherent,"Report USCAISI-2026-04: rows [25, 51, 52, 53, 103, 109, 131, 199, 200, 214, 256] disagree on ""Report Title"": ['Evaluation of DeepSeek V4 Pro', 'GPT-5.5 Biosecurity Evaluation (SecureBio with CAISI oversight)']",Pick canonical value for whole report
,FINALIZED-67,25,USCAISI-2026-04-BIO1,report-group-incoherent,"Report USCAISI-2026-04: rows [25, 51, 52, 53, 103, 109, 131, 199, 200, 214, 256] disagree on ""Publication Date"": ['2026-04-01 00:00:00', '2026-04-23 00:00:00']",Pick canonical value for whole report
,FINALIZED-67,25,USCAISI-2026-04-BIO1,report-group-incoherent,"Report USCAISI-2026-04: rows [25, 51, 52, 53, 103, 109, 131, 199, 200, 214, 256] disagree on ""Source URL"": ['https://securebio.substack.com/p/securebios-pre-release-assessment', 'https://www.nist.gov/news-events/news/2026/05/caisi-evaluation-deepsee']",Pick canonical value for whole report
,FINALIZED-67,25,USCAISI-2026-04-BIO1,report-group-incoherent,"Report USCAISI-2026-04: rows [25, 51, 52, 53, 103, 109, 131, 199, 200, 214, 256] disagree on ""Institution"": ['SecureBio + US CAISI', 'US CAISI']",Pick canonical value for whole report
,FINALIZED-67,25,USCAISI-2026-04-BIO1,lag-wrong,Stated lag 29.0 != computed 7,Set Lag=7
,FINALIZED-67,26,JOINT-2025-01-JAI1,reportid-mismatch,Finding ID prefix JOINT-2025-01 != Report ID CAISI-AGENT-HIJACKING-2025,Align
,FINALIZED-67,27,UKAISI-2025-11b-ALI1,institution-variant,"""UK AI Security Institute""","Normalize to ""UK AISI"""
,FINALIZED-67,27,UKAISI-2025-11b-ALI1,trackable-anonymised,"Action Trackable=yes but Models/Systems mentions anonymised/unnamed: ""Claude Opus 4.5 Preview; Claude Sonnet 4.5 (+ 2 unnamed frontier model""",Confirm subject model is named; move comparators to Notes
,FINALIZED-67,28,UKAISI-2025-02-JAI1,reportid-missing,Report ID blank,Derive from source report (prefix suggests UKAISI-2025-02)
,FINALIZED-67,28,UKAISI-2025-02-JAI1,institution-variant,"""UK AI Security Institute""","Normalize to ""UK AISI"""
,FINALIZED-67,29,UKAISI-2026-06-ALI3,reportid-mismatch,Finding ID prefix UKAISI-2026-06 != Report ID AISI-2026-PREFILL,Align
,FINALIZED-67,29,UKAISI-2026-06-ALI3,institution-variant,"""UK AI Security Institute (AISI)""","Normalize to ""UK AISI"""
,FINALIZED-67,29,UKAISI-2026-06-ALI3,traceability-tag,"Trackable row but Traceability Tag = ""too-recent""",Review
,FINALIZED-67,30,NEW-081,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,30,NEW-081,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,31,NEW-097,institution-variant,"""Joint UK AISI + US AISI""","Normalize to ""Joint UK AISI + US CAISI"""
,FINALIZED-67,31,NEW-097,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,31,NEW-097,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,32,NEW-153,reportid-missing,Report ID blank,Set Report ID = JOINT-2026-02 (shares Source URL)
,FINALIZED-67,32,NEW-153,institution-missing,Institution blank,Set Institution = Joint UK AISI + US CAISI (from JOINT-2026-02)
,FINALIZED-67,32,NEW-153,lag-missing,Dates present but Lag blank (computed 0),Set Lag=0
,FINALIZED-67,32,NEW-153,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,32,NEW-153,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,32,NEW-153,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,33,NEW-161,reportid-missing,Report ID blank,Set Report ID = USCAISI-2026-04 (shares Source URL)
,FINALIZED-67,33,NEW-161,institution-missing,Institution blank,Set Institution = SecureBio + US CAISI (from USCAISI-2026-04)
,FINALIZED-67,33,NEW-161,pubdate-missing,Publication Date blank,Set Publication Date = 2026-04-23 (from USCAISI-2026-04; verify vs source)
,FINALIZED-67,33,NEW-161,response-without-pubdate,Response Date present but Publication Date blank,Fill pub date first
,FINALIZED-67,33,NEW-161,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,33,NEW-161,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,33,NEW-161,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,34,NEW-070,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,34,NEW-070,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,35,NEW-082,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,35,NEW-082,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,36,NEW-106,lag-missing,Dates present but Lag blank (computed 0),Set Lag=0
,FINALIZED-67,36,NEW-106,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,36,NEW-106,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,37,NEW-146,reportid-missing,Report ID blank,Set Report ID = JOINT-2025-08 (shares Source URL)
,FINALIZED-67,37,NEW-146,institution-missing,Institution blank,Set Institution = Joint UK AISI + US CAISI (from JOINT-2025-08)
,FINALIZED-67,37,NEW-146,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,37,NEW-146,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,37,NEW-146,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,38,NEW-011,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,38,NEW-011,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,39,NEW-147,reportid-missing,Report ID blank,Set Report ID = JOINT-2025-08 (shares Source URL)
,FINALIZED-67,39,NEW-147,institution-missing,Institution blank,Set Institution = Joint UK AISI + US CAISI (from JOINT-2025-08)
,FINALIZED-67,39,NEW-147,pubdate-missing,Publication Date blank,Set Publication Date = 2025-09-12 (from JOINT-2025-08; verify vs source)
,FINALIZED-67,39,NEW-147,response-without-pubdate,Response Date present but Publication Date blank,Fill pub date first
,FINALIZED-67,39,NEW-147,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,39,NEW-147,metadata-missing,Models / Systems blank,Fill
,FINALIZED-67,39,NEW-147,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,39,NEW-147,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,40,NEW-151,reportid-missing,Report ID blank,Set Report ID = JOINT-2026-02 (shares Source URL)
,FINALIZED-67,40,NEW-151,institution-missing,Institution blank,Set Institution = Joint UK AISI + US CAISI (from JOINT-2026-02)
,FINALIZED-67,40,NEW-151,pubdate-missing,Publication Date blank,Set Publication Date = 2026-02-05 (from JOINT-2026-02; verify vs source)
,FINALIZED-67,40,NEW-151,response-without-pubdate,Response Date present but Publication Date blank,Fill pub date first
,FINALIZED-67,40,NEW-151,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,40,NEW-151,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,40,NEW-151,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,41,NEW-080,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,41,NEW-080,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,42,NEW-116,reportid-missing,Report ID blank,Set Report ID = UKAISI-2025-11b (shares Source URL)
,FINALIZED-67,42,NEW-116,institution-missing,Institution blank,Set Institution = UK AISI (from UKAISI-2025-11b)
,FINALIZED-67,42,NEW-116,pubdate-missing,Publication Date blank,Set Publication Date = 2025-11-26 (from UKAISI-2025-11b; verify vs source)
,FINALIZED-67,42,NEW-116,response-without-pubdate,Response Date present but Publication Date blank,Fill pub date first
,FINALIZED-67,42,NEW-116,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,42,NEW-116,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,42,NEW-116,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,43,ADD-01,id-format,"Finding ID ""ADD-01"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,43,ADD-01,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,43,ADD-01,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,43,ADD-01,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,44,ADD-02,id-format,"Finding ID ""ADD-02"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,44,ADD-02,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,44,ADD-02,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,44,ADD-02,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,45,ADD-03,id-format,"Finding ID ""ADD-03"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,45,ADD-03,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,45,ADD-03,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,45,ADD-03,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,46,ADD-04,id-format,"Finding ID ""ADD-04"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,46,ADD-04,lag-missing,Dates present but Lag blank (computed 0),Set Lag=0
,FINALIZED-67,46,ADD-04,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,46,ADD-04,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,46,ADD-04,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,47,ADD-05,id-format,"Finding ID ""ADD-05"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,47,ADD-05,chA-date-missing,Action Level acknowledged but Response Date empty,Fill
,FINALIZED-67,47,ADD-05,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,47,ADD-05,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,47,ADD-05,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,48,ADD-06,id-format,"Finding ID ""ADD-06"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,48,ADD-06,lag-missing,Dates present but Lag blank (computed 0),Set Lag=0
,FINALIZED-67,48,ADD-06,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,48,ADD-06,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,48,ADD-06,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,49,ADD-07,id-format,"Finding ID ""ADD-07"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,49,ADD-07,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,49,ADD-07,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,49,ADD-07,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,50,ADD-08,id-format,"Finding ID ""ADD-08"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,50,ADD-08,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,50,ADD-08,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,50,ADD-08,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,51,ADD-09,id-format,"Finding ID ""ADD-09"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,51,ADD-09,chA-date-missing,Action Level acknowledged but Response Date empty,Fill
,FINALIZED-67,51,ADD-09,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,51,ADD-09,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,51,ADD-09,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,52,ADD-10,id-format,"Finding ID ""ADD-10"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,52,ADD-10,lag-missing,Dates present but Lag blank (computed 0),Set Lag=0
,FINALIZED-67,52,ADD-10,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,52,ADD-10,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,52,ADD-10,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,53,ADD-11,id-format,"Finding ID ""ADD-11"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,53,ADD-11,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,53,ADD-11,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
,FINALIZED-67,53,ADD-11,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,54,ADD-12,id-format,"Finding ID ""ADD-12"" not in codebook scheme (INSTITUTION-YYYY-MM-DOMn / NEW-### / -sN)",Rename to scheme or extend codebook (ADD-## is undocumented)
,FINALIZED-67,54,ADD-12,report-group-incoherent,"Report JOINT-2025-05: rows [54, 55, 63, 64, 217] disagree on ""Publication Date"": ['2025-05-01 00:00:00', '2025-05-22 00:00:00']",Pick canonical value for whole report
,FINALIZED-67,54,ADD-12,lag-missing,Dates present but Lag blank (computed 0),Set Lag=0
,FINALIZED-67,54,ADD-12,chA-verbatim-not-verbatim,Channel A Verbatim identical to Company Response summary — not an exact quote,Replace with true verbatim from source
,FINALIZED-67,54,ADD-12,accesstype-missing,"Access Type """"",Assign from AISI access timing vs release date
