venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Dreadnode,LOLMIL: Living Off the Land Models and Inference Libraries,https://dreadnode.io/research/lolmil-living-off-the-land-models-and-inference-libraries,2025-10-14,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"From Compute to Congress: To Address CISA's Authority Gap, Reauthorize CISA 2015 and SLCGP",https://dreadnode.io/research/from-compute-to-congress-to-address-cisas-authority-gap-reauthorize-cisa-2015-and-slcgp,2025-09-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,PentestJudge: Judging Agent Behavior Against Operational Requirements (blog),https://dreadnode.io/research/pentestjudge-judging-agent-behavior-against-operational-requirements,2025-08-06,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Evaluating Offensive Cyber Agents: Kerberoasting,https://dreadnode.io/research/evaluating-offensive-cyber-agents-kerberoasting,2025-08-04,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Five Takeaways from the AI Action Plan,https://dreadnode.io/research/five-takeaways-from-the-ai-action-plan,2025-07-31,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Evals: The Foundation for Autonomous Offensive Security,https://dreadnode.io/research/evals-the-foundation-for-autonomous-offensive-security,2025-07-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,From Compute to Congress: Setting the Global Standard for AI Security,https://dreadnode.io/research/from-compute-to-congress-setting-the-global-standard-for-ai-security,2025-06-26,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Do LLM Agents Have AI Red Team Capabilities? We Built a Benchmark to Find Out,https://dreadnode.io/research/ai-red-team-benchmark,2025-06-18,NEEDS-FETCH,frontier card/eval — confirm named evaluator,,2026-08-01,triage
Dreadnode,AI Red Teaming Case Study: Claude 3.7 Sonnet Solves the Turtle Challenge,https://dreadnode.io/research/ai-red-teaming-case-study-claude-sonnet-solves-turtle,2025-06-18,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Dreadnode Response to the 2025 National AI R&D Strategic Plan,https://dreadnode.io/research/national-ai-research-and-development-strategic-plan-response,2025-06-03,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,From Compute to Congress: Decoding AI Policy,https://dreadnode.io/research/from-compute-to-congress-decoding-ai-policy,2025-05-15,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,The Automation Advantage in AI Red Teaming (blog),https://dreadnode.io/research/the-automation-advantage-in-ai-red-teaming,2025-04-29,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Dreadnode's Policy Recommendations for the U.S. AI Action Plan,https://dreadnode.io/research/policy-recommendations-us-ai-action-plan,2025-03-26,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Redefining AI Red Teaming in the Agentic Era: From Weeks to Hours (arXiv paper),https://arxiv.org/abs/2605.04019,2026-05-06,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,PentestJudge: Judging Agent Behavior Against Operational Requirements (arXiv paper),https://arxiv.org/abs/2508.02921,2025-08-04,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,AIRTBench: Measuring AI Red Teaming Capabilities in LLMs (arXiv paper),https://arxiv.org/abs/2506.14682,2025-06-17,INCLUDED,auto: matches known report,DREADNODE-2025-06,2026-08-01,triage
Dreadnode,The Automation Advantage in AI Red Teaming (arXiv paper),https://arxiv.org/abs/2504.19855,2025-04-28,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"From Benchmarks to Breaches: Scaling Offensive Security (talk, Offensive AI Con 2025)",https://www.youtube.com/watch,2025-10-06,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"Building with AI Rigging Workshop (talk, Pivot Con 2025)",https://github.com/vmsv/pivot2025-llmworkshop/tree/main,2025-05-07,EXCLUDED - no findings,auto: non-publication/PR/opinion by title,,2026-08-01,triage
Dreadnode,"Ghosts on the Node (talk, SOCON 2024)",https://github.com/dreadnode/conferences/blob/main/SOCON_2024/Ghosts%20on%20the%20Node.pdf,2024-03-11,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,DreadIndex (live offensive-security benchmark leaderboard),https://dreadnode.io/research/dreadindex,,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"Dreadnode at BlackHat, DEFCON, & AI Security Forum: Own Your Autonomous Security Stack",https://dreadnode.io/company/newsroom/black-hat-2026-def-con-ai-security-forum,2026-07-09,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"Dreadnode Launches 2.0, the First Complete Infrastructure Platform for Security Agents",https://dreadnode.io/company/newsroom/dreadnode-v2-security-agent-infrastructure-platform,2026-03-24,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"Dreadnode's Offensive AI Capabilities on Display in Vegas During Black Hat, Def Con, and the AI Security Forum",https://dreadnode.io/company/newsroom/dreadnode-black-hat-def-con-2025,2025-08-05,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Offensive AI Con Announced: First Conference Dedicated to the Use of AI in Offensive Security,https://dreadnode.io/company/newsroom/offensive-ai-con,2025-03-19,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Dreadnode Secures $14M to Build AI Systems that Advance the State of Offensive Security,https://dreadnode.io/company/newsroom/series-a,2025-02-25,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Introducing Citadel Radar: AI Firewall and Monitoring,https://citadel-ai.com/news/2026/06/24/citadelradar,2026-06-24,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Launches Lens Governance: Bridging AI Governance and AI Deployment,https://citadel-ai.com/news/2026/05/18/lens-governance,2026-05-18,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Joins Coalition for Health AI as Certified Assurance Resource Provider to Advance Safe and Responsible AI in Healthcare,https://citadel-ai.com/news/2025/10/16/chai-citadel-ai,2025-10-16,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Joins Singapore's Global AI Assurance Sandbox,https://citadel-ai.com/news/2025/09/25/global-ai-assurance-sandbox,2025-09-25,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,GPAI Code of Practice: what it means for you,https://citadel-ai.com/blog/2025/08/05/gpai-code-of-practice,2025-08-05,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Expands Eval Insight for AI Risk Management,https://citadel-ai.com/news/2025/06/26/eval-insight-expanded,2025-06-26,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"NEDO Selects Citadel AI for ""R&D on Advancing AI Safety""",https://citadel-ai.com/news/2025/04/30/nedo,2025-04-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Launches a Next-Generation Firewall for Generative AI,https://citadel-ai.com/news/2025/04/25/lens-custom-firewall,2025-04-25,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,LangCheck Studio: try LLM-as-a-judge in your browser!,https://citadel-ai.com/blog/2025/04/11/langcheck-studio,2025-04-11,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Advances AI Risk Management with Eval Insight,https://citadel-ai.com/news/2025/03/27/eval-insight,2025-03-27,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI and Deloitte Tohmatsu Announce Collaboration on AI Quality Evaluation and Monitoring,https://citadel-ai.com/news/2025/03/19/deloitte-tohmatsu,2025-03-19,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Introducing Citadel Lens for Validating Biometric Systems,https://citadel-ai.com/news/2025/01/17/lens-for-biometrics,2025-01-17,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Automated Red Teaming of LLM applications with LangCheck,https://citadel-ai.com/blog/2024/12/18/automated-red-teaming-of-llm-applications-with-langcheck,2024-12-18,INCLUDED,auto: matches known report,CITADEL-2024-12,2026-08-01,triage
Citadel AI,Secure your LLM apps with OWASP's 2025 Top 10 for LLMs and Citadel AI,https://citadel-ai.com/blog/2024/11/25/owasp-llm-2025,2024-11-25,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Introducing Model Cards and Data Cards in Citadel Lens,https://citadel-ai.com/news/2024/11/15/introducing-model-and-data-cards-in-citadel-lens,2024-11-15,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Introducing the EU AI Act Compliance Checker in Japanese,https://citadel-ai.com/news/2024/10/29/ai-act-compliance-checker,2024-10-29,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,NTT DATA's Generative AI Risk Assessment using Lens for LLMs,https://citadel-ai.com/news/2024/10/10/ntt-data-lens-for-llms,2024-10-10,NEEDS-FETCH,frontier card/eval — confirm named evaluator,,2026-08-01,triage
Citadel AI,Introducing our new domain!,https://citadel-ai.com/news/2024/10/04/introducing-our-new-domain,2024-10-04,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Lens for LLMs is Officially Launched!,https://citadel-ai.com/news/2024/09/30/lens-for-llms-launch,2024-09-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Japan's AI Guidelines for Business: what it means for you,https://citadel-ai.com/blog/2024/06/25/ai-guideline-for-business-2024,2024-06-25,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,RIKEN and Citadel AI Develop a Japanese Toxicity Dataset for LLMs,https://citadel-ai.com/news/2024/05/13/riken,2024-05-13,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Announcing Lens for LLMs: Combining Human and Automated LLM Evaluation,https://citadel-ai.com/blog/2024/04/23/lens-for-llms,2024-04-23,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,DeepEyeVision and Citadel AI's Joint Research on Improving AI Reliability in Ophthalmology,https://citadel-ai.com/news/2024/04/22/deepeyevision,2024-04-22,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,EU AI Act: what it means for you,https://citadel-ai.com/blog/2024/02/16/eu-ai-what-it-means-for-you,2024-02-16,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,ISO 42001 AI Management System: what it means for you,https://citadel-ai.com/blog/2024/01/26/iso-42001-what-it-means-for-you,2024-01-26,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI provides i-PRO, a global leader in sensing technologies for intelligent surveillance, with AI validation tools",https://citadel-ai.com/news/2023/11/30/i-pro,2023-11-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Announcing LangCheck: our multilingual, open-source toolkit to evaluate LLM applications",https://citadel-ai.com/news/2023/10/12/announcing-langcheck,2023-10-12,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI is featured in Toyo Keizai's ""100 Top Startups""",https://citadel-ai.com/news/2023/09/11/citadel-ai-sugoi-venture-100,2023-09-11,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI Announces ISO 27001:2022 Certification,https://citadel-ai.com/news/2023/08/29/citadel-ai-iso27001,2023-08-29,EXCLUDED - no findings,auto: non-publication/PR/opinion by title,,2026-08-01,triage
Citadel AI,"Citadel AI, a leader in trustworthy AI technology, raises a ¥520 million Series A",https://citadel-ai.com/news/2023/07/12/citadel-ai-series-a-jp,2023-07-12,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Takehito Matsuba, ex-Google and Mitsubishi Corporation executive, joins Citadel AI as COO",https://citadel-ai.com/news/2023/05/10/news-citadel-ai-new-coo-takehito-matsuba,2023-05-10,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,BSI and Citadel AI partner to solve the AI challenges of tomorrow,https://citadel-ai.com/news/2023/04/11/bsi-citadel-global-partnership,2023-04-11,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,An Overview of AI Standardization and Regulation in 2023,https://citadel-ai.com/blog/2023/03/07/trends-in-ai-standardization-and-regulations-2023-edition,2023-03-07,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Introducing Citadel Lens for Object Detection,https://citadel-ai.com/news/2023/02/21/citadel-lens-object-detection-jp,2023-02-21,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Introducing Citadel Lens for Images: Automated AI Testing and Synthetic Test Data Generation,https://citadel-ai.com/news/2022/10/13/citadel-lens-image-version,2022-10-13,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Case Study: How Suntory improved their AI performance with Citadel AI,https://citadel-ai.com/news/2022/09/01/suntory-case-study,2022-09-01,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Publishing NTT DATA's successful verification of Citadel Radar,https://citadel-ai.com/news/2022/07/07/nttdata-radar-verification,2022-07-07,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI and Groovenauts Team Up on AI Quality Testing,https://citadel-ai.com/news/2022/05/19/citadel-ai-groovenauts-alliance,2022-05-19,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI publishes a Japanese translation of NIST's guidelines on AI Bias,https://citadel-ai.com/news/2022/04/14/citadel-ai-nist-sp1270,2022-04-14,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Announcing Citadel AI's Business Alliance with the Suntory Group,https://citadel-ai.com/news/2022/04/04/citadel-ai-suntory,2022-04-04,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel Lens, accelerating your path from PoC to production, is now available in beta",https://citadel-ai.com/news/2022/03/01/citadel-lens-mar1-2022,2022-03-01,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI is nominated as a ""Next-Generation Startup"" on The Bridge",https://citadel-ai.com/news/2022/01/28/next-generation-startup-introshowcase-2022,2022-01-28,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI is one of the top 11 ""Next-Generation Startups"" on The Bridge",https://citadel-ai.com/news/2022/01/28/next-generation-startups-introshowcase-2022,2022-01-28,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Launching our new MLOps Engineering Blog,https://citadel-ai.com/news/2022/01/14/engineering-blog-jpn,2022-01-14,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI is one of the winners of the 2021 HONGO AI AWARD,https://citadel-ai.com/news/2021/11/03/2021-hongo-ai-award,2021-11-03,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI raises 100 million JPY in seed funding from UTokyo IPC and ANRI,https://citadel-ai.com/news/2021/10/04/citadel-ai-raises-100-million-jpy-in-seed-funding-from-utokyo-ipc-and-anri,2021-10-04,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Nikkei Business has published an interview with Rick Kobayashi (CEO),https://citadel-ai.com/news/2021/09/11/nikkei-business-rinkaku-sep11-2021,2021-09-11,EXCLUDED - no findings,auto: non-publication/PR/opinion by title,,2026-08-01,triage
Citadel AI,"NTT Data has featured an interview with us on ""OctoKnot""",https://citadel-ai.com/news/2021/07/07/nttdata-octoknot-article-jul072021,2021-07-07,EXCLUDED - no findings,auto: non-publication/PR/opinion by title,,2026-08-01,triage
Citadel AI,"Citadel Enterprise Solutions, end-to-end AI quality consulting, is now available",https://citadel-ai.com/news/2021/07/06/citadel-enterprise-solutions-jul062021,2021-07-06,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI is presenting at CDLE, by the Japan Deep Learning Association, on June 4",https://citadel-ai.com/news/2021/05/22/jdla-cdle-study-group-june04-2021,2021-05-22,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel Radar, your AI performance monitoring solution, is now available in beta",https://citadel-ai.com/news/2021/05/10/citadel-radar-beta-release-on-may-10-2021,2021-05-10,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI has joined FoundX (Founders, Apr 2021 Batch)",https://citadel-ai.com/news/2021/04/14/jp-foundx-founders,2021-04-14,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI has received a grant from 東大IPC,https://citadel-ai.com/news/2021/03/15/jp-todai-ipc,2021-03-15,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,"Citadel AI has joined FoundX (Pre-Founders, Oct 2020 Batch)",https://citadel-ai.com/news/2020/10/13/jp-foundx-pre-founders,2020-10-13,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI、内閣府のAI評価環境構築に関する調査業務に参画 (Japanese only),https://citadel-ai.com/ja/news/2026/07/31/cao-ai-evaluation-environment,2026-07-31,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,【登壇レポート】「AIエージェントによる組織学習の取り組み」を産総研主催「8th Grand Canvas」にて講演しました (Japanese only),https://citadel-ai.com/ja/blog/2026/07/29/8th-grand-canvas,2026-07-29,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,人とAIの安全な協調を支えるAIセーフティ基盤を構築しました ―設計・評価・運用の一貫したガイドラインと評価・実証基盤を整備― (Japanese only),https://citadel-ai.com/ja/news/2026/05/28/nedo-aist-corpy-citadel-ai-2025,2026-05-28,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,NEDO事業「AIの安全性確保に関する研究開発・検証等の推進事業／AIセーフティ強化に関する研究開発」の成果報告について (Japanese only),https://citadel-ai.com/ja/news/2026/04/03/nedo-citadel-ai-2025,2026-04-03,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,生成 AI 実践ガイドと企業事例集 (Japanese only),https://citadel-ai.com/ja/news/2026/04/03/gen-ai-practical-guide,2026-04-03,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,株式会社Citadel AI、AIガバナンスツールを製薬業界では初めて小野薬品にて本格展開し、生成AIによる安全・安心な業務改革を支援 (Japanese only),https://citadel-ai.com/ja/news/2026/03/30/ono-pharma,2026-03-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI の AI ガバナンスツールを東京海上ホールディングスが金融業界として初めて本格導入 (Japanese only),https://citadel-ai.com/ja/news/2026/03/24/tokio-marine-holdings,2026-03-24,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,日鉄ソリューションズ、Citadel AI の AI ガバナンスツールの販売パートナー契約を締結 (Japanese only),https://citadel-ai.com/ja/news/2025/11/10/nssol,2025-11-10,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI、Lensセーフティ・データセット提供開始 (Japanese only),https://citadel-ai.com/ja/news/2025/10/07/lens-safety-dataset,2025-10-07,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Eval-Centric AI: 生成AI時代の新たなフレームワーク (Japanese only),https://citadel-ai.com/ja/blog/2025/02/17/eval-centric-ai,2025-02-17,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI、日本経済新聞社主催の生成AIサミットにて最優秀賞（日経賞）受賞 (Japanese only),https://citadel-ai.com/ja/news/2024/10/21/citadel-ai-nikkei-prize,2024-10-21,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,安全な生成AI活用のためのガバナンス態勢整備・運用の実現に向けて Citadel AI、ＳＯＭＰＯリスクマネジメントとの業務提携開始 (Japanese only),https://citadel-ai.com/ja/news/2024/06/27/sompo-rc,2024-06-27,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI、大規模言語モデルの評価ツール「Lens for LLMs」を発表：評価精度の向上と評価作業の高速化を同時に実現 (Japanese only),https://citadel-ai.com/ja/news/2024/04/23/lens-for-llms-news,2024-04-23,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI、PwCコンサルティングとの協業を開始。AIの定量的な品質評価を含めたAIガバナンス体制構築支援を共同で提供 (Japanese only),https://citadel-ai.com/ja/news/2024/02/15/pwc,2024-02-15,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,生成 AI と社会的・倫理的課題 (1/3) (Japanese only),https://citadel-ai.com/ja/blog/2024/01/09/social-issue-of-gen-ai-1-3,2024-01-09,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,生成 AI と社会的・倫理的課題 (2/3) (Japanese only),https://citadel-ai.com/ja/blog/2024/01/09/social-issue-of-gen-ai-2-3,2024-01-09,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,生成 AI と社会的・倫理的課題 (3/3) (Japanese only),https://citadel-ai.com/ja/blog/2024/01/09/social-issue-of-gen-ai-3-3,2024-01-09,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,ユースケースから理解する LLM (3/3) 画像と文章を扱う LLM の代表的なユースケース (Japanese only),https://citadel-ai.com/ja/blog/2023/11/28/usecase-of-llm-3-3,2023-11-28,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,Citadel AI、NRIセキュアのAI品質・適合性検証サービス提供開始に向けて共同で検討開始 (Japanese only),https://citadel-ai.com/ja/news/2023/11/13/nri-secure,2023-11-13,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,ユースケースから理解する LLM (2/3) 文章を扱う LLM の代表的なユースケース (Japanese only),https://citadel-ai.com/ja/blog/2023/11/07/usecase-of-llm-2-3,2023-11-07,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,ユースケースから理解する LLM (1/3) ユースケースによる AI の再整理 (Japanese only),https://citadel-ai.com/ja/blog/2023/10/24/usecase-of-llm-1-3,2023-10-24,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,LLM のはじめかた: Citadel AI の LLM に対するこれまでの取り組み (Japanese only),https://citadel-ai.com/ja/blog/2023/09/27/introduction-to-llm-citadel-ais-llm-efforts-to-date,2023-09-27,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,機械学習システムとテスト (2/4) (Japanese only),https://citadel-ai.com/ja/blog/2022/07/19/machine-learning-systems-and-testing-2-4,2022-07-19,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Citadel AI,機械学習システムとテスト (1/4) (Japanese only),https://citadel-ai.com/ja/blog/2022/05/07/machine-learning-systems-and-testing-1-4,2022-05-07,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
