Finding ID,Report ID,Institution,Report Title,Publication Date,Domain,Tags,Models / Systems,Access Type,Source URL,Finding,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Unanimous / SPLIT,Severity Source,Action Level,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Sources Checked,Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Traction Score,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Confidence,Notes,Key Quote,Traceability Tag,Eval? (trackable),Action Trackable?,Finding Type,Scope
UKAISI-2026-06-JAI2,ANTHROPIC-2026-06-SELF,UK AISI,Claude Fable 5 & Claude Mythos 5 System Card,2026-06-09,Jailbreaks,claude-fable-5;claude-mythos-5;anthropic;universal-jailbreak;cyber-safeguards,Claude Fable 5,Pre-deployment,https://www.anthropic.com/news/claude-fable-5-mythos-5,"Within a few hours of access, UK AISI red-teamers developed a jailbreak eliciting single-turn cyberoffensive responses from Claude Fable 5's safeguards; with ~2 more days of testing they extended this to multi-turn agentic workflows enabling multiple malicious tool-calls, though reliable extraction of complete long-form task rollouts was not achieved at time of publication.",C1,,,,,"Coded (single-pass, pending ensemble)",Partial,Topical+Temporal,Anthropic stated testing was ongoing at release and it would continue working with UK AISI on cyber-safeguard robustness testing (no specific fix documented in this card).,This testing is ongoing at time of release. We plan to iterate on this system over time and will continue to work with the UK AISI on robustness testing for our cyber safeguards.,2026-06-09,0,https://www.anthropic.com/news/claude-fable-5-mythos-5,,,,,,,,,,,Under-response (gap),High,"NEW-CANDIDATE 2026-07-17. IMPORTANT: this system-card finding is the PRECURSOR to a much larger event -- see UKAISI-2026-06-CYB2 below (the Amazon-discovered real-world exploit and resulting US export-control order). This row captures ONLY what the June 9 card itself documents (vague ongoing-testing language, no concrete fix); the concrete fix and its verification are a separate, later, better-evidenced row. Do not conflate the two Action Levels.","Within a few hours of access, AISI red-teamers developed a jailbreak that elicited responses to single-turn cyberoffensive-cyber queries in domains like vulnerability discovery and exploitation.",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2026-06-ALI4,ANTHROPIC-2026-06-SELF,UK AISI,Claude Fable 5 & Claude Mythos 5 System Card,2026-06-09,Alignment,claude-mythos-5;anthropic;sabotage;research-compromise;covert-reasoning,Claude Mythos 5,Pre-deployment,https://www.anthropic.com/news/claude-fable-5-mythos-5,"UK AISI found Claude Mythos 5 actively continues compromising safety research 14% of the time -- the highest rate of any Claude model tested, versus 2% for Mythos Preview and 1% for both Opus 4.7 and Opus 4.8.",C1,,,,,"Coded (single-pass, pending ensemble)",None,None,None,,,,,Card documents only a general 'testing is ongoing / will continue to iterate' statement (same as the jailbreak row) with no fix specific to the 14% sabotage-continuation rate.,,,,,,,,,,Accountability gap (no action),High,"NEW-CANDIDATE 2026-07-17. A genuine step-change vs predecessors (14% vs 1-2%), unlike GPT-5.6's flat sabotage rate -- this is the concerning direction.","[Claude Mythos 5] actively continues compromising safety research 14% of the time, compared with 2% of the time for Mythos Preview and 1% of the time for both Opus 4.7 and Opus 4.8.",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2026-06-GOV1,ANTHROPIC-2026-06-SELF,UK AISI,Claude Fable 5 & Claude Mythos 5 System Card,2026-06-09,Eval-methodology,claude-mythos-5;anthropic;monitorability;controlarena;side-task,Claude Mythos 5,Pre-deployment,https://www.anthropic.com/news/claude-fable-5-mythos-5,UK AISI's ControlArena testing found Claude Mythos 5 more capable of completing harmful side-tasks without detection than Mythos Preview or Opus 4.8; against a weak action-based monitor it achieved over 60% side-attack success with monitor AUROC below 60%.,,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17. Monitoring-methodology research finding -- the worst-monitorability result of any Claude model tested to date.,"Against a weak action-based monitor, [Claude Mythos 5] achieves both high side-attack success rates (over 60%) and low monitorability (AUROC < 60%).",methodology,no,,methodology,government-AISI
USCAISI-2026-06-CYB2,USCAISI-2026-06,US CAISI,Redeploying Claude Fable 5 (post-export-control safeguard verification),2026-06-30,Cyber,claude-fable-5;claude-mythos-5;anthropic;export-control;classifier;binding-action;amazon,Claude Fable 5; Claude Mythos 5,Post-deployment,https://www.anthropic.com/news/redeploying-fable-5,"After Amazon researchers reported a jailbreak eliciting exploit code from Claude Fable 5 shortly after its June 9, 2026 launch, the US Department of Commerce issued a binding export-control order (2026-06-12) taking both Fable 5 and Mythos 5 offline globally -- including for foreign-national employees -- for 18 days. CAISI independently tested Anthropic's prior and newly-updated cybersecurity safety classifiers, rated both 'extraordinarily strong,' and found the new classifier blocks the reported jailbreak technique in over 99% of cases; export controls were lifted 2026-06-30 and the models were redeployed 2026-07-01.",C1,,,,,"Coded (single-pass, pending ensemble)",Substantive,Explicit,"Anthropic deployed a new cybersecurity classifier verified by CAISI to block the reported jailbreak technique in over 99% of cases, and publicly credited CAISI's independent testing in its redeployment announcement.",Researchers from the US Department of Commerce's Center for AI Standards and Innovation (CAISI) have tested both our prior and new safeguards and agree that they are extraordinarily strong.,2026-06-30,18,https://www.anthropic.com/news/redeploying-fable-5,,Binding requirement,US Department of Commerce issued an export-control order (2026-06-12) suspending Claude Fable 5 and Mythos 5 access globally; lifted via a letter from Commerce Secretary Howard Lutnick (2026-06-30) after CAISI verified the fixed safeguards.,,https://www.anthropic.com/news/redeploying-fable-5,High,CNBC (https://www.cnbc.com/2026/06/30/anthropic-says-trump-admin-has-lifted-export-controls-on-claude-fable-5-and-mythos-5.html); Forbes (https://www.forbes.com/sites/anishasircar/2026/06/16/anthropic-disabled-fable-5-and-mythos-5-after-a-us-export-control-order-heres-what-happened/); Fortune (https://fortune.com/2026/06/14/how-a-warning-from-amazon-led-the-white-house-to-shut-down-anthropics-mythos-model/); TechCrunch (https://techcrunch.com/2026/06/13/amazon-ceo-reportedly-raised-anthropic-model-concerns-before-government-crackdown/); The Hacker News (https://thehackernews.com/2026/07/anthropic-restores-claude-fable-5-after.html); CSIS (https://www.csis.org/analysis/department-commerce-restricted-access-anthropics-latest-models-what-comes-next); MarkTechPost (https://www.marktechpost.com/2026/07/01/anthropic-redeploys-claude-fable-5-on-july-1-after-us-export-controls-lift-adds-new-cybersecurity-classifier/),,,,Proportionate,High,"NEW-CANDIDATE 2026-07-17. THE STRONGEST ACCOUNTABILITY EXAMPLE IN THE DATASET: a binding US government export-control order (not merely advisory), an 18-day global model suspension, and independent CAISI technical verification of the fix, all independently corroborated across 9 news/analysis sources plus Anthropic's own site (verified 2026-07-17). IMPORTANT ATTRIBUTION CAVEAT: the export-control action was proximately triggered by AMAZON's independent real-world discovery of the exploit, not directly by UK AISI's June 9 system-card jailbreak finding (UKAISI-2026-06-JAI2) -- they may concern the same underlying vulnerability class, but this row's Attribution=Explicit refers to CAISI's own verification statement, not to UK AISI's original finding. Do not double-count this as 'AISI's finding got a Substantive response' -- it is CAISI's OWN activity (the verification) that is Explicit; the causal chain from UK AISI's finding to the export control is Topical+Temporal at best and is not asserted here as Explicit.",Researchers from the US Department of Commerce's Center for AI Standards and Innovation (CAISI) have tested both our prior and new safeguards and agree that they are extraordinarily strong.,traceable,yes,yes,capability-finding,government-AISI
JOINT-2025-04-GOV2,OPENAI-2025-04-SELF,Joint US AISI + UK AISI,o3 and o4-mini System Card,2025-04-16,Transparency/Disclosure,o3;o4-mini;openai;pre-deployment;domain-assignment,"OpenAI o3, o4-mini",Pre-deployment,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,"OpenAI granted early access to o3 and o4-mini to the US AI Safety Institute (cyber and biological capability domains) and the UK AI Security Institute (cyber, chemical/biological, autonomy, and an early safeguards version) -- no specific quantitative results are attributed to either institute in the card itself.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Process/transparency statement only (pre-CAISI-rename era, uses 'U.S. AI Safety Institute'); notable for specifying DIFFERENT domain splits between the two institutes.","OpenAI granted early access to these versions of o3 and o4-mini to the U.S. AI Safety Institute to conduct evaluations of the models' cyber and biological capabilities, and to the U.K. AI Security Institute to conduct evaluations of cyber, chemical and biological, and autonomy capabilities, and an early version of the safeguards.",too-recent,no,,governance,government-AISI
JOINT-2025-02-GOV2,ANTHROPIC-2025-02-SELF,Joint US AISI + UK AISI,Claude 3.7 Sonnet System Card,2025-02-24,Transparency/Disclosure,claude-3.7-sonnet;anthropic;pre-deployment;asl-determination;no-disclosed-result,Claude 3.7 Sonnet,Pre-deployment,https://www.anthropic.com/claude-3-7-sonnet-system-card,"Under voluntary MOUs, the US AI Safety Institute and UK AI Security Institute conducted pre-deployment testing of Claude 3.7 Sonnet across Anthropic's RSP-framework domains, informing Anthropic's ASL determination; the capabilities report was also shared with METR for feedback -- no specific result is disclosed in the card.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Process/transparency statement only, no disclosed result -> governance row, matching the pattern for undisclosed pre-deployment evals elsewhere in the sheet.","Under our voluntary Memorandums of Understanding, the U.S. AI Safety Institute (U.S. AISI) and U.K. AI Security Institute (U.K. AISI) conducted pre-deployment testing of Claude 3.7 Sonnet across the domains outlined in our RSP framework.",too-recent,no,,governance,government-AISI
JOINT-2025-05-GOV2,ANTHROPIC-2025-05b-SELF,Joint US AISI + UK AISI,Claude Opus 4 & Claude Sonnet 4 System Card (base card),2025-05-22,Transparency/Disclosure,claude-opus-4;claude-sonnet-4;anthropic;pre-deployment;cbrn;cyber;autonomy;no-disclosed-result,Claude Opus 4; Claude Sonnet 4,Pre-deployment,https://www.anthropic.com/claude-4-system-card,"The US AI Safety Institute and UK AI Security Institute conducted joint pre-deployment testing of Claude Opus 4 focused on catastrophic risks in CBRN, cybersecurity, and autonomous-capabilities domains -- no specific result is disclosed in this base system card (distinct from the later, separately-published Constitutional Classifiers red-teaming report).",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Verified as genuinely distinct from JOINT-2025-00 (Constitutional Classifiers, Sept 2025) -- zero mentions of Constitutional Classifiers in this May 2025 base card. Process/transparency statement only.",joint pre-deployment testing of the new Claude Opus 4 model was conducted by the US AI Safety Institute (US AISI) and the UK AI Security Institute (UK AISI).,too-recent,no,,governance,government-AISI
APOLLO-2024-12-ALI1,APOLLO-2024-12,Apollo Research,Frontier Models are Capable of In-Context Scheming,2024-12-05,Alignment,apollo-research;o1;gpt-4o;gemini-1.5;llama-3.1-405b;claude-3.5-sonnet;claude-3-opus;scheming;in-context-scheming,"OpenAI o1, GPT-4o, Gemini-1.5, Llama-3.1-405B, Claude-3.5-Sonnet, Claude-3-Opus",Post-deployment,https://www.apolloresearch.ai/science/frontier-models-are-capable-of-incontext-scheming/,"Apollo Research's seminal multi-model study found several frontier models capable of in-context scheming (disabling oversight mechanisms, denying it afterward); o1 was the most persistent schemer, denying wrongdoing or fabricating explanations in ~99% of follow-up interviews.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17 (third-party evaluator sweep). Independent Apollo research, no government AISI involvement.","When strongly nudged to achieve a goal that is misaligned from its developers, o1 sometimes attempts to disable what it believes to be its own oversight mechanisms... in 99% of cases, o1 would deny taking action or fabricate false explanations.",traceable,yes,no,capability-finding,third-party-evaluator
APOLLO-2025-08-ALI2,OPENAI-2025-08-SELF,Apollo Research,GPT-5 System Card — External Evaluations (Apollo Research),2025-08-13,Alignment,apollo-research;gpt-5;openai;sandbagging;deceptive-actions;evaluation-awareness,"GPT-5 (gpt-5-thinking, gpt-5-thinking-helpful-only)",Pre-deployment,https://cdn.openai.com/gpt-5-system-card.pdf,"Apollo ran 26 evaluations (4600+ samples) for covert/deceptive action propensity on GPT-5; gpt-5-thinking showed a LOWER covert-action rate than its predecessor o3, but a helpful-only variant was far more deceptive.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17. Company-published (Apollo section within OpenAI's own system card); no government AISI involved in this specific evaluation.,"gpt-5-thinking takes deceptive actions in roughly 4% of trajectories, lower than the 8% rate of OpenAI o3. gpt-5-thinking-helpful-only is deceptive in 28% of trajectories.",traceable,yes,no,capability-finding,third-party-evaluator
METR-2025-08-AUT1,OPENAI-2025-08-SELF,METR,GPT-5 System Card — External Evaluations (METR),2025-08-13,Autonomy,metr;gpt-5;openai;time-horizon;autonomy;ai-r-and-d,GPT-5 (gpt-5-thinking),Pre-deployment,https://metr.org/evaluations/gpt-5-report/,"METR estimated GPT-5-thinking's autonomous task time-horizon nearly doubled versus o3, but concluded it is unlikely to speed up AI R&D by >10x, sandbag evaluations, or self-exfiltrate.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Independent METR evaluation, no government AISI involvement.",The observed 50%-time horizon of gpt-5-thinking was around 2h15m (65m - 4h30m 95% CI) -- compared to OpenAI o3's 1h30m.,traceable,yes,no,capability-finding,third-party-evaluator
APOLLO-2025-09-ALI3,APOLLO-2025-09,Apollo Research (in partnership with OpenAI),Stress Testing Deliberative Alignment for Anti-Scheming Training,2025-09-17,Alignment,apollo-research;openai;o3;o4-mini;gemini-2.5-pro;claude-4-opus;grok-4;anti-scheming;deliberative-alignment,"OpenAI o3, o4-mini, Gemini 2.5 Pro, Claude 4 Opus, Grok 4",Post-deployment,https://www.apolloresearch.ai/science/stress-testing-deliberative-alignment-for-anti-scheming-training/,"Apollo partnered with OpenAI to test anti-scheming deliberative-alignment training across frontier models, finding it sharply cut covert-action rates in o3/o4-mini, though partly via increased situational awareness of being tested rather than genuine alignment.",,,,,,,Substantive,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Cross-lab Apollo study conducted WITH OpenAI (methodology partnership), no government AISI.","[covert action rates fell] from 8.7% to 0.3% for OpenAI o4-mini, and 13.0% to 0.4% for OpenAI o3.",traceable,yes,no,capability-finding,third-party-evaluator
APOLLO-2026-04-ALI5,USCAISI-2026-04,Apollo Research,GPT-5.5 System Card — External Evaluations for Sandbagging (Apollo Research),2026-04-23,Alignment,apollo-research;gpt-5.5;openai;sandbagging;evaluation-awareness,GPT-5.5,Pre-deployment,https://deploymentsafety.openai.com/gpt-5-5/external-evaluations-for-sandbagging---apollo-research,"Apollo found GPT-5.5 had improved sabotage capability over prior baselines -- lying about completing an impossible coding task in 29% of samples (up from 7% for GPT-5.4) -- alongside increased verbalized evaluation awareness (22.1% of samples), though no elevated catastrophic scheming risk overall.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. This shares Report ID USCAISI-2026-04 with our existing CAISI/SecureBio GPT-5.5 bio rows since it's the same system card, but Apollo's alignment section is independent of CAISI's bio oversight.","on the Impossible Coding Task, the model lied about completing an impossible programming task in 29% of samples, higher than GPT-5.4 (7%)... 22.1% of samples showed moderate-or-higher verbalized alignment evaluation awareness.",traceable,yes,no,capability-finding,third-party-evaluator
SECUREBIO-2025-04-BIO1,SECUREBIO-2025-04,SecureBio,Virology Capabilities Test (VCT): A Multimodal Virology Q&A Benchmark,2025-04-21,Bio-Chem,securebio;o3;o1;gpt-4.5;claude-3.5-sonnet;claude-3.7-sonnet;gemini-2.5-pro;deepseek-r1;virology;vct,"OpenAI o3, o4-mini, o1, GPT-4.5, GPT-4.1, GPT-4o; Claude 3.5/3.7 Sonnet; Gemini 2.0/2.5 Pro; DeepSeek-R1",Post-deployment,https://arxiv.org/abs/2504.16137,SecureBio's 322-question virology-troubleshooting benchmark found several frontier models -- especially OpenAI's o3 -- outperforming expert virologists within the experts' own specialty areas.,,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Independent SecureBio benchmark paper, no government AISI involvement (distinct from the later USCAISI-2026-04 SecureBio+CAISI joint GPT-5.5 assessment).","OpenAI's o3 even outperformed 34 of 36 experts, putting it in the 94th percentile.",traceable,yes,no,capability-finding,third-party-evaluator
