type,sheet_row,finding_id,column,old,new,reason
VERIFIED-FIX,19,JOINT-2024-12-CYB1,Key Quote,,"The model was able to solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.","Phase3: key quote was ""n/a (no Key Quote field)""; replaced with source-verified verbatim"
VERIFIED-FIX,19,JOINT-2024-12-CYB1,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,20,JOINT-2025-08-JAI1,Key Quote,Found universal jailbreak in GPT-5,"A multidisciplinary team at UK AISI, combining expertise in both AI red teaming techniques and the biosecurity domain, then sought to find universal jailbreaks against OpenAI's biosecurity safeguards.","Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,20,JOINT-2025-08-JAI1,Finding,"AISI discovered a universal jailbreak in GPT-5 during pre-deployment evaluation, enabling bypass of the model's safety guardrails; this finding was reported but not credited in the GPT-5 system card.","UK AISI red-teaming of GPT-5's biological-misuse safeguards (May-August 2025) produced a set of universal jailbreaks against the monitoring systems; the original Aug 7 GPT-5 system card did not credit UK AISI, though the updated card (Aug 13, sec 5.3.3.5) explicitly credits UK AI",Finding correction: live GPT-5 system card sec 5.3.3.5 DOES credit UK AISI — claim was true only of the Aug 7 original
VERIFIED-FIX,21,UKAISI-2025-11-ALI11,Report ID,UKAISI-2025-11,GDM-2025-11,"Report is a Google DeepMind publication (Gemini 3 Pro FSF), mislabeled as UK AISI report"
VERIFIED-FIX,22,JOINT-2026-02-CYB1,Key Quote,first OpenAI model at 'High' cybersecurity under Preparedness Framework,"As discussed in more detail below, this is the first launch we are treating as High capability in Cybersecurity.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,23,JOINT-2026-02-JAI1,Key Quote,universal jailbreak found in ~10 hours,"Over the course of about 10 hours of manual red-teaming, UK AISI developed a universal jailbreak (with retries) that achieved 0.778 pass@200 on a policy violating cyber dataset we provided.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,23,JOINT-2026-02-JAI1,Channel A Verbatim,"UK AISI was also provided access to a model with the Safety Reasoner integrated and blocking on harmful actions and high risk dual-use content, to test safeguards.","We believe this risk to be sufficiently minimized primarily because discovering such jailbreaks will be challenging, users who succeed in jailbreaking the model will still be subject to detection and enforcement via our monitoring systems, and we expect to be able to discover and",Phase3: verbatim was exact-but-wrong-purpose; replaced with exact company quote
VERIFIED-FIX,24,JOINT-2026-02-CYB2,Key Quote,0.778 pass@200 on policy-violating cyber dataset from single user message,"Over the course of about 10 hours of manual red-teaming, UK AISI developed a universal jailbreak (with retries) that achieved 0.778 pass@200 on a policy violating cyber dataset we provided.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,25,USCAISI-2026-04-BIO1,Key Quote,Highest-performing on static biosecurity knowledge -- EXCEEDS ALL expert human scores,"On static evaluations measuring expert-level biology and biosecurity-relevant knowledge, it was the highest-performing, or among a small handful of highest-performing models, exceeding all expert human scores.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,25,USCAISI-2026-04-BIO1,Lag (days),29.0,7,Date/Lag: recomputed: 2026-04-30 minus 2026-04-23 (was 29.0)
VERIFIED-FIX,26,JOINT-2025-01-JAI1,Key Quote,Novel attack strategies achieved 81% success rate vs. 11% for baseline defences against Claude 3.5 Sonnet.,This resulted in an increase in attack success rate from 11% for the strongest baseline attack to 81% for the strongest new attack.,"Phase3: key quote was ""not-found""; replaced with source-verified verbatim"
VERIFIED-FIX,26,JOINT-2025-01-JAI1,Finding,"Novel attack strategies against AI agents achieved 81% success rate in red-team exercises against Claude 3.5 Sonnet, compared to 11% for baseline defences. Multiple attack attempts raised average success rate from 57% to 80%. Current agentic AI defences are critically insufficien","CAISI red-teaming of agent hijacking showed new attacks raised success rates from 11% (strongest baseline attack) to 81% (strongest new attack) in the Workspace environment, and improved evaluation raised a key task's measured success from 57% to 80%.","Finding correction: source inversion fixed: 11% was strongest baseline ATTACK success, not ""baseline defences"""
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Key Quote,We find no confirmed instances of research sabotage.,"Applying our methods to four frontier models, we find no confirmed instances of research sabotage.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Action Level,None,Acknowledged,"Opus 4.5 System Card sec 6.13 explicitly responds to AISI report — ""no company statement found"" was false"
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Company Response,None,"Anthropic's Claude Opus 4.5 system card (sec 6.13, External testing from the UK AI Security Institute) acknowledged AISI's findings, stating AISI's claims about sabotage risk and evaluation awareness match Anthropic's own impression.",source-verified company response found
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Channel A Verbatim,,AISI's claims about sabotage risk and evaluation awareness match our impression,exact quote from Opus 4.5 System Card sec 6.13
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Channel A Evidence,,https://www.anthropic.com/claude-opus-4-5-system-card,company primary source
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Attribution,None,Explicit,system card names the AISI report
VERIFIED-FIX,27,UKAISI-2025-11b-ALI1,Sources Checked,AISI research page; Anthropic blog and model cards; no company statement found.,,superseded — response found
VERIFIED-FIX,28,UKAISI-2025-02-JAI1,Key Quote,the attacks succeed in eliciting answers to harmful multiple-choice questions and evade an enhanced monitoring system designed to detect other fine-tuning attacks,"We test our attacks against the OpenAI fine-tuning API, finding they succeed in eliciting answers to harmful multiple-choice questions, and that they evade an enhanced monitoring system we design that successfully detects other fine-tuning attacks.","Phase3: key quote was ""paraphrase""; replaced with source-verified verbatim"
VERIFIED-FIX,28,UKAISI-2025-02-JAI1,Report ID,,UKAISI-2025-02,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,28,UKAISI-2025-02-JAI1,Institution,UK AI Security Institute,UK AISI,Canonical institution spelling
VERIFIED-FIX,29,UKAISI-2026-06-ALI3,Institution,UK AI Security Institute (AISI),UK AISI,Canonical institution spelling
VERIFIED-FIX,30,NEW-081,Key Quote,,"DeepSeek’s most secure model (R1-0528) responded to 94% of overtly malicious requests when a common jailbreaking technique was used, compared with 8% of requests for U.S. reference models.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,31,NEW-097,Key Quote,,"When o1 was augmented with this additional tooling, its performance increased on the research questions beyond the use of the model alone, particularly on DNA and protein sequencing-related tasks.","Phase3: key quote was ""n/a (no Key Quote field)""; replaced with source-verified verbatim"
VERIFIED-FIX,31,NEW-097,Institution,Joint UK AISI + US AISI,Joint UK AISI + US CAISI,Canonical institution spelling
VERIFIED-FIX,32,NEW-153,Key Quote,,"CAISI observed that GPT-5.3-Codex continued making meaningful progress on difficult cyber tasks across many compaction windows, finding novel results even after 50M or more unique tokens and tens of hours of analysis.","Phase3: key quote was ""missing (the Finding embeds a quoted phrase which IS exact: 'continued making meaningful progress on difficult cyber tasks across many compaction windows' matches the card verbatim)""; replaced with source-verified verbatim"
VERIFIED-FIX,32,NEW-153,Channel A Verbatim,"OpenAI classified GPT-5.3-Codex as High capability for cybersecurity under its Preparedness Framework (a first) and activated its full cyber safeguard stack: dual-use safety training, two-tiered automated monitoring, a Trusted Access for Cyber program gating advanced capabilities","This is the first launch we are treating as High capability in the Cybersecurity domain under our Preparedness Framework, activating the associated safeguards.",Phase3: verbatim was is-description; replaced with exact company quote
VERIFIED-FIX,32,NEW-153,Report ID,,JOINT-2026-02,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,32,NEW-153,Institution,,Joint UK AISI + US CAISI,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,32,NEW-153,Access Type,,Pre-deployment,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,33,NEW-161,Key Quote,,"We found that Pre-Release Checkpoint 2 exceeds state-of-the-art scores on the Virology Capabilities Test (VCT), surpassing all other models that SecureBio has tested.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,33,NEW-161,Channel A Verbatim,Classified GPT-5.5 as High capability in the Biological and Chemical domain and activated the associated Preparedness safeguards.,"We are treating this launch as High capability in the Biological and Chemical domain, activating the associated Preparedness safeguards.",Phase3: verbatim was is-description; replaced with exact company quote
VERIFIED-FIX,33,NEW-161,Report ID,,USCAISI-2026-04,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,33,NEW-161,Institution,,SecureBio + US CAISI,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,33,NEW-161,Publication Date,,2026-04-23,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,33,NEW-161,Access Type,,Pre-deployment,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,33,NEW-161,Finding,"GPT-5.5 bio-chem capability vs human experts: 100th-percentile benchmark scores against human SMEs were VCT 52.0%, MBCT 56.2%, HPCT 64.7%, and WCB 53.2% (second-highest). On wet-lab troubleshooting across 322 held-out virology questions, all models exceeded the median expert base","GPT-5.5 pre-release checkpoints scored 52.0% on VCT, 56.2% on MBCT, 64.7% on HPCT and 53.2% (second-highest) on WCB in SecureBio's biosecurity assessment, with a 23% refusal rate on screening-evasion tasks.",Finding correction: removed fabricated sentence (22.1%/54%/322-held-out not in cited article; imported from VCT paper)
VERIFIED-FIX,34,NEW-070,Key Quote,,"GPT-4o was notably more sycophantic than GPT-5 and Claude Sonnet 4.5, suggesting that more recently released models may have benefited from targeted training against sycophantic tendencies","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,35,NEW-082,Key Quote,,DeepSeek models echoed four times as many inaccurate and misleading CCP narratives as U.S. reference models did.,"Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,36,NEW-106,Key Quote,,"Gemini 3 Pro reaches the alert threshold for this CCL, but not the CCL itself. As a precautionary measure we will continue to deploy mitigations, which we assess to substantially reduce the risk posed.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,36,NEW-106,Channel A Verbatim,Google DeepMind's Gemini 3 Pro Frontier Safety Framework report states the model meets the Cyber Uplift Level 1 early warning alert threshold (not the CCL) and commits to continue deploying cyber mitigations in this domain as a precaution.,"As a precautionary measure we will continue to deploy mitigations, which we assess to substantially reduce the risk posed.",Phase3: verbatim was is-description; replaced with exact company quote
VERIFIED-FIX,36,NEW-106,Report ID,UKAISI-2025-11,GDM-2025-11,"Report is a Google DeepMind publication (Gemini 3 Pro FSF), mislabeled as UK AISI report"
VERIFIED-FIX,37,NEW-146,Key Quote,,"The proof-of-concept attack developed by CAISI successfully bypassed various AI-based security protections, which led to a full exploit chain with a success rate of approximately 50%.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,37,NEW-146,Channel A Verbatim,Fixed both CAISI-identified ChatGPT Agent vulnerabilities within one business day of the report.,"These attacks were immediately reported to OpenAI, and fixed by OpenAI within one business day.",Phase3: verbatim was is-description; replaced with exact company quote
VERIFIED-FIX,37,NEW-146,Response Date,2026.0,2025-09-12,"Date/Lag: was ""2026.0""; OpenAI disclosure blog date (fix itself ~July 2025, noted)"
VERIFIED-FIX,37,NEW-146,Report ID,,JOINT-2025-08,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,37,NEW-146,Institution,,Joint UK AISI + US CAISI,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,37,NEW-146,Access Type,,Mixed,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,38,NEW-011,Key Quote,,61% of solutions were deemed feasible (the second highest performer).,"Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,39,NEW-147,Key Quote,,"OpenAI made a range of improvements to our product configuration to fix a set of configuration vulnerabilities that UK AISI identified, where malicious content could be inputted or exfiltrated without triggering moderation.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
VERIFIED-FIX,39,NEW-147,Channel A Verbatim,"OpenAI made product-configuration fixes for the vulnerabilities UK AISI identified where malicious content could be inputted or exfiltrated without triggering moderation, spanning engineering product fixes, policy-enforcement fixes, and focused classifier training to harden its m","OpenAI made a range of improvements to our product configuration to fix a set of configuration vulnerabilities that UK AISI identified, where malicious content could be inputted or exfiltrated without triggering moderation.",Phase3: verbatim was is-description; replaced with exact company quote
VERIFIED-FIX,39,NEW-147,Report ID,,JOINT-2025-08,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,39,NEW-147,Institution,,Joint UK AISI + US CAISI,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,39,NEW-147,Publication Date,,2025-09-12,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,39,NEW-147,Access Type,,Mixed,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,40,NEW-151,Channel A Verbatim,"OpenAI classified GPT-5 (gpt-5-thinking) as High capability in the Biological and Chemical domain under its Preparedness Framework and deployed it with the associated safeguards, including API-level controls (a new safety_identifier field), recidivism prevention, and monitoring.","Similarly to ChatGPT agent, we have decided to treat gpt-5-thinking as High capability in the Biological and Chemical domain under our Preparedness Framework, activating the associated safeguards.",Phase3: verbatim was is-description; replaced with exact company quote
VERIFIED-FIX,40,NEW-151,Report ID,,OPENAI-2026-02-SELF,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,40,NEW-151,Institution,,OpenAI (company self-report),Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,40,NEW-151,Publication Date,,2026-02-05,Phase1: metadata fill derived from report group sharing same Source URL
VERIFIED-FIX,41,NEW-080,Key Quote,,"Agents based on DeepSeek’s most secure model (R1-0528) were, on average, 12 times more likely than evaluated U.S. frontier models to follow malicious instructions designed to derail them from user tasks.","Phase3: key quote was ""missing""; replaced with source-verified verbatim"
