venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Allen Institute for AI (Ai2),Ai2 Newsletter - August 2019,https://allenai.org/newsletters/archive/2019-08-newsletter.html,2019-08,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - September 2019,https://allenai.org/newsletters/archive/2019-09-newsletter.html,2019-09,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - November 2019,https://allenai.org/newsletters/archive/2019-11-newsletter.html,2019-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - December 2019,https://allenai.org/newsletters/archive/2019-12-newsletter.html,2019-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - February 2020,https://allenai.org/newsletters/archive/2020-02-newsletter.html,2020-02,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - March 2020,https://allenai.org/newsletters/archive/2020-03-newsletter.html,2020-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - May 2020,https://allenai.org/newsletters/archive/2020-05-newsletter.html,2020-05,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - July 2020,https://allenai.org/newsletters/archive/2020-07-newsletter.html,2020-07,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - September 2020,https://allenai.org/newsletters/archive/2020-09-newsletter.html,2020-09,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - November 2020,https://allenai.org/newsletters/archive/2020-11-newsletter.html,2020-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - December 2020,https://allenai.org/newsletters/archive/2020-12-newsletter.html,2020-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - February 2021,https://allenai.org/newsletters/archive/2021-02-newsletter.html,2021-02,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - April 2021,https://allenai.org/newsletters/archive/2021-04-newsletter.html,2021-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - July 2021,https://allenai.org/newsletters/archive/2021-07-newsletter.html,2021-07,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - September 2021,https://allenai.org/newsletters/archive/2021-09-newsletter.html,2021-09,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - October 2021,https://allenai.org/newsletters/archive/2021-10-newsletter.html,2021-10,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - December 2021,https://allenai.org/newsletters/archive/2021-12-newsletter.html,2021-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),MAUVE Scores for Generative Models: Theory and Practice,https://www.semanticscholar.org/paper/447ddcb2b16c2cacabeec2933273918bd6fe1d79,2022,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),I Cast Detect Thoughts: Learning to Converse and Guide with Intents and Theory-of-Mind in Dungeons and Dragons,https://www.semanticscholar.org/paper/cfed20d73f727fc0ab78fd51ca9c33d9623ed304,2022,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Exploring the Challenges of Open Domain Multi-Document Summarization,https://www.semanticscholar.org/paper/66d5ea65186f21f4ff786aa6a1520243ecec94cb,2022,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),I2D2: Inductive Knowledge Distillation with NeuroLogic and Self-Imitation,https://www.semanticscholar.org/paper/66eae7128c34dd7967d79224eb9dbc978773c3d0,2022,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Objaverse: A Universe of Annotated 3D Objects,https://www.semanticscholar.org/paper/1b31dbf44e68b698120552366df03e6e35a1e428,2022,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - January 2022,https://allenai.org/newsletters/archive/2022-01-newsletter.html,2022-01,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - May 2022,https://allenai.org/newsletters/archive/2022-05-newsletter.html,2022-05,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - June 2022,https://allenai.org/newsletters/archive/2022-06-newsletter.html,2022-06,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - August 2022,https://allenai.org/newsletters/archive/2022-08-newsletter.html,2022-08,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - October 2022,https://allenai.org/newsletters/archive/2022-10-newsletter.html,2022-10,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Introducing Ai2's Beaker,https://allenai.org/blog/beaker-ed617d5f4593,2022-10-24,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - December 2022,https://allenai.org/newsletters/archive/2022-12-newsletter.html,2022-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Catwalk: A Unified Language Model Evaluation Framework for Many Datasets,https://www.semanticscholar.org/paper/4318e4ab5e2f5e2a50469aa043fe66c0744370a4,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Kilometer-scale global warming simulations and active sensors reveal changes in tropical deep convection,https://doi.org/10.1038/s41612-023-00525-w,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),"ACE: A fast, skillful learned global atmospheric model for climate prediction",https://www.semanticscholar.org/paper/782d8be5b04f6c665568d9dc9d0ee06c00158624,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Harmonic Mobile Manipulation,https://www.semanticscholar.org/paper/56cf87190eac341022d94dcbfe438288ea7094c0,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),IfQA: A Dataset for Open-domain Question Answering under Counterfactual Presuppositions,https://www.semanticscholar.org/paper/138a78320301b6a3500f7752146d1a560de3aa32,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Probabilistic Precipitation Downscaling with Optical Flow-Guided Diffusion,https://www.semanticscholar.org/paper/e19128bec627458f122465d99bf99561d5721cec,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Self-Refine: Iterative Refinement with Self-Feedback,https://www.semanticscholar.org/paper/3aaf6a2cbad5850ad81ab5c163599cb3d523436f,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),A Logic for Expressing Log-Precision Transformers,https://www.semanticscholar.org/paper/fd500e28ccfc92698604faa8a2b5b633bbec7af8,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Faith and Fate: Limits of Transformers on Compositionality,https://www.semanticscholar.org/paper/4d7c4c371d9742d3f2d9c338bfb898fc856e7349,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Fine-Grained Human Feedback Gives Better Rewards for Language Model Training,https://www.semanticscholar.org/paper/1b7921f9eb5e955c7643d5a080b575d2ce58b5bf,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),How Far Can Camels Go? Exploring the State of Instruction Tuning on Open Resources,https://www.semanticscholar.org/paper/7f1681ccbcde089984e4346b2685428599e17f8c,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),RealTime QA: What's the Answer Right Now?,https://www.semanticscholar.org/paper/dc5518e1db565a8c52084f27353461df474403d8,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SugarCrepe: Fixing Hackable Benchmarks for Vision-Language Compositionality,https://www.semanticscholar.org/paper/dedbac319177d04ce63fe00d2fec24bdaab90d6d,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SwiftSage: A Generative Agent with Fast and Slow Thinking for Complex Interactive Tasks,https://www.semanticscholar.org/paper/d671d62a1eb4d57343e4a0928297266dffc0c118,2023,PENDING-FETCH,eval-candidate; not yet full-text screened,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SciRepEval: A Multi-Format Benchmark for Scientific Document Representations,https://www.semanticscholar.org/paper/bc1586a2e74d6d1cf87b083c4cbd1eede2b09ea5,2023,PENDING-FETCH,eval-candidate; not yet full-text screened,,2026-08-01,title-triage
Allen Institute for AI (Ai2),A Question Answering Framework for Decontextualizing User-facing Snippets from Scientific Documents,https://www.semanticscholar.org/paper/8232fbb89fea58391111bad0dc30f299778dcb80,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Crystal: Introspective Reasoners Reinforced with Self-Feedback,https://www.semanticscholar.org/paper/6db6e6e71cc54435265643e19fcbdc7f3ba4c772,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Demystifying Prompts in Language Models via Perplexity Estimation,https://www.semanticscholar.org/paper/d03a9b2a0e090cc9fd2ba0a457ecea35372f1018,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Do All Languages Cost the Same? Tokenization in the Era of Commercial Language Models,https://www.semanticscholar.org/paper/17fbffb05fa14e21d1c506fd5f0f568b955fe983,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Editing Common Sense in Transformers,https://www.semanticscholar.org/paper/7a5873b31be87b0596fdfc7f66b5e11051c6b1d5,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation,https://www.semanticscholar.org/paper/bd5deadc58ee45b5e004378ba1d54a96bc947b4a,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),FANToM: A Benchmark for Stress-testing Machine Theory of Mind in Interactions,https://www.semanticscholar.org/paper/ef1a4ca7edb714b912c2cf7b02c46262e630c149,2023,PENDING-FETCH,eval-candidate; not yet full-text screened,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Increasing Probability Mass on Answer Choices Does Not Always Improve Accuracy,https://www.semanticscholar.org/paper/0b9541209442dc8192b3df60efb3bb59e953ff63,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Inference-Time Policy Adapters (IPA): Tailoring Extreme-Scale LMs without Fine-tuning,https://www.semanticscholar.org/paper/ca991e0283a1c30a46eb585d9eb499fc0ec8ecc2,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Language Models with Rationality,https://www.semanticscholar.org/paper/b7e6e4e17018fb410884e29aabc563ff03d1fdcf,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Machine Reading Comprehension using Case-based Reasoning,https://www.semanticscholar.org/paper/a1a228c4e9a3bffb43e4d9eed8cc9623b525aa99,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Measuring and Narrowing the Compositionality Gap in Language Models,https://www.semanticscholar.org/paper/53c20f7bf3fabc88e1403e00241eec009cc01ed8,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),"PaperMage: A Unified Toolkit for Processing, Representing, and Manipulating Visually-Rich Scientific Documents",https://www.semanticscholar.org/paper/3ecf3392b33d83749e7ac3957a61b1caa0d3b975,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SHARCS: Efficient Transformers through Routing with Dynamic Width Sub-networks,https://www.semanticscholar.org/paper/b065adeeded4d0c85b7624044058f7a3af1d55f2,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SODA: Million-scale Dialogue Distillation with Social Commonsense Contextualization,https://www.semanticscholar.org/paper/fa50f2bc03d6d53fe50f37a1978107b13af24ea7,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),TaskWeb: Selecting Better Source Tasks for Multi-task NLP,https://www.semanticscholar.org/paper/acbabae091bed349535537b05a9ee80467faf255,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements,https://www.semanticscholar.org/paper/dc6d91a8ee0d4fc22764bf254f90176e8eeed86f,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),We're Afraid Language Models Aren't Modeling Ambiguity,https://www.semanticscholar.org/paper/a1805da79e35a793b01416b71ec1ca28cf91fb15,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),What Makes it Ok to Set a Fire? Iterative Self-distillation of Contexts and Rationales for Disambiguating Defeasible Social and Moral Situations,https://www.semanticscholar.org/paper/55990bdf4c0e8dc5ae28a87d2a659ee4b7f56703,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),"""You Are An Expert Linguistic Annotator"": Limits of LLMs as Analyzers of Abstract Meaning Representation",https://www.semanticscholar.org/paper/f120490d06d1d30c389ed60b634b8bf69cd64efd,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SPOC: Imitating Shortest Paths in Simulation Enables Effective Navigation and Manipulation in the Real World,https://www.semanticscholar.org/paper/18ccf45e9ddecc03dfd7487e03adc80ac9c42b30,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Localized Symbolic Knowledge Distillation for Visual Commonsense Models,https://www.semanticscholar.org/paper/5c17fa02a4a4c0655b1873cf3e34fffbc1e7d601,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),RCT Rejection Sampling for Causal Estimation Evaluation,https://www.semanticscholar.org/paper/f2410b3da60ba080031d50b6e2217003173c0eb0,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),CHAMP: Efficient Annotation and Consolidation of Cluster Hierarchies,https://www.semanticscholar.org/paper/37ef3ba3b8308c7b69b064d3d0e793effb144972,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),LongBoX: Evaluating Transformers on Long-Sequence Clinical Tasks,https://www.semanticscholar.org/paper/d5e7c9eb41061be87d770cca7730f47d69a0cef7,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),The Alignment Ceiling: Objective Mismatch in Reinforcement Learning from Human Feedback,https://www.semanticscholar.org/paper/9cb7f7415fb0590186a3d903a8d5d7044b7a3fdc,2023,PENDING-FETCH,eval-candidate; not yet full-text screened,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Papeos: Augmenting Research Papers with Talk Videos,https://www.semanticscholar.org/paper/881761a6f3020e5eb1b77bba0064c9c8f926b7b8,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Synergi: A Mixed-Initiative System for Scholarly Synthesis and Sensemaking,https://www.semanticscholar.org/paper/3dbe30e02fc3547a87754361bde971d10a6dd3d5,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Entangled Preferences: The History and Risks of Reinforcement Learning and Human Feedback,https://www.semanticscholar.org/paper/cb660ea0c8c14097513a2a2199ed3a18799683be,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),A taxonomy and review of generalization research in NLP,https://www.semanticscholar.org/paper/19d79592cee5d8df68f833280b991b6a81b8cc91,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Put Your Money Where Your Mouth Is: Evaluating Strategic Planning and Execution of LLM Agents in an Auction Arena,https://arxiv.org/abs/2310.05746,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Making Retrieval-Augmented Language Models Robust to Irrelevant Context,https://www.semanticscholar.org/paper/3aee33831e0bdea1a1eaae21c7586e4f7c0396d6,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),SatlasPretrain: A Large-Scale Dataset for Remote Sensing Image Understanding,https://www.semanticscholar.org/paper/8e37004f661fcdfee84a8062e60d808f4953b5da,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),The Surveillance AI Pipeline,https://www.semanticscholar.org/paper/cd7b371f14e217234fad96857f7492cb5459a174,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),"When do Generative Query and Document Expansions Fail? A Comprehensive Study Across Methods, Retrievers, and Datasets",https://www.semanticscholar.org/paper/dcba37400ad86aaf0d47e5cdfa2fcfa98f089401,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),A machine learning parameterization of clouds in a coarse-resolution climate model for unbiased radiation,https://www.semanticscholar.org/paper/841a05a539190bce857cef1111790031c4230a1e,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),PromptCap: Prompt-Guided Task-Aware Image Captioning,https://www.semanticscholar.org/paper/a5cb8f26acb71edd77ff9a143d3ddaab2367eb40,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),TIFA: Accurate and Interpretable Text-to-Image Faithfulness Evaluation with Question Answering,https://www.semanticscholar.org/paper/1f02ba1c6fae779ec3d003340e72eaf82351cfb9,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Exploiting Generalization in Offline Reinforcement Learning via Unseen State Augmentations,https://www.semanticscholar.org/paper/3bdc8673ccd033c21ded2fc3a501ba981364effe,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Bound by the Bounty: Collaboratively Shaping Evaluation Processes for Queer AI Harms,https://www.semanticscholar.org/paper/a4d543cc77a0a643a271988f5b4b6699f421c85c,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),LEXPLAIN: Improving Model Explanations via Lexicon Supervision,https://www.semanticscholar.org/paper/f9a5af5b21563b9bdd09630a8dec62d515479678,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),When Not to Trust Language Models: Investigating Effectiveness of Parametric and Non-Parametric Memories,https://www.semanticscholar.org/paper/c6ee979c2da4b55a8486abae4cd720422ab09b26,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Objaverse-XL: A Universe of 10M+ 3D Objects,https://www.semanticscholar.org/paper/1b90e9e9734bed6b379ae87d688cb3b887baf597,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),COBRA Frames: Contextual Reasoning about Effects and Harms of Offensive Statements,https://www.semanticscholar.org/paper/185ace5661963e2e1eb998e739e4110272a6bb43,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Data-Efficient Finetuning Using Cross-Task Nearest Neighbors,https://www.semanticscholar.org/paper/d0c67804d7f8cc8d79c7346ec8a011f43a21c553,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Detoxifying Text with MaRCo: Controllable Revision with Experts and Anti-Experts,https://www.semanticscholar.org/paper/0cb79553e576c49dc89504101c75367196841142,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),DISCO: Distilling Phrasal Counterfactuals with Large Language Models,https://www.semanticscholar.org/paper/d0a970c06f6405610c607a16e59ea832770ad1bc,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),From Dogwhistles to Bullhorns: Unveiling Coded Rhetoric with Language Models,https://www.semanticscholar.org/paper/a5731b32060909bfc8848fa5f7e1e14ca3b53240,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),HINT: Hypernetwork Instruction Tuning for Efficient Few- and Zero-Shot Generalisation,https://www.semanticscholar.org/paper/HINT%3A-Hypernetwork-Instruction-Tuning-for-Efficient-Ivison-Bhagia/70d89d380ca5d20564e1dd8ed2f4c59f5c7b3656,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Interleaving Retrieval with Chain-of-Thought Reasoning for Knowledge-Intensive Multi-Step Questions,https://www.semanticscholar.org/paper/29be9045fb09f0c947fb24c76bd1136d47880d96,2023,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
